,이름,별점,리뷰,날짜
0,Muhammad Islam,5,Awesome place to be.. To feel relaxed refreshed. A new perspective to your vision. It can help you clear your mind. It will definitely make you smile and refreshes you highly recommended. Plus picture booths are not for free and must look through your eyes more.. Rather than just recording it,6 months ago
1,Naveen Gurazada,5,"The view from the top is amazing. I was excited to be at the top of South Korea's tallest building. The entry to the tower is also an awesome experience, I liked the way they presented its history. Then the lift ride was fascinating with the visuals. At the top here comes the Seoul city view with the Han river. At 550m height, the experience is really worth it. Don't miss it.  For discount book your tickets online in advance.",a week ago
2,Marta Amézquita,5,"Very great tourist destination. The view of Seoul it’s amazing, and in my opinion, the pink hour is the best time to go. The whole going up experience is great. The lift takes 60seconds to go all the way up.  We took the package that offers the observatory ticket price + dinner (you can choose between 5 different dishes) + coffee or tea. So it’s very worth it.",4 months ago
3,James Vijay,5,"Great engineering marvel similar to the New York WTC. It has 125floors and the lift takes you in a minute there. Entry fee is applicable, which is not that expensive. Lots of branded shops and restaurants. Very well maintained",a month ago
4,Yi Shiean Tan,5,"Another must visit spot if you were around the area! For someone who supposedly didn’t have fear of heights, my legs still went jelly looking down the transparent floor.  The Milk Bar also offers a tasty treat!",4 months ago
5,Chandler Stroede,5,"Absolutely worth every penny. If you came across this while planning excursions in Seoul, do it. The views from the top are breathtaking and show how vast the city actually is. The entire path into the building (including the elevator ride to the top) is a fun and interactive experience that is fun for solo travelers to families.",7 months ago
6,jh son,5,"It's good for shopping~ It's in the Big 3 shopping malls in Seoul, Korea.  Very spacious shopping mall.  It's good to pass time~ Not only shopping malls, but also aquariums, movie theaters, concert halls, duty-free shops, hair salons, massage shops, gyms, arcades, Lotte World amusement park, etc.",5 months ago
7,Florian Colin,5,"Very impressive tour, the visit is very fun and the value for money is interesting. Unobstructed view of Seoul, which allows you to understand the extent of this city! I recommend",2 months ago
8,Nate Inman,5,"One of the tallest towers in the World. This place is a must see when visiting the beautiful city of Seoul. There are many things to do within the tower such as an aquarium, mall, and plenty of restaurants.",2 months ago
9,Caramel Latte,5,Absolutely stunning view. There's a cafe right on the top which serves ice cream that's really tasty. I highly recommend you take the Seoul sky tour when you visit Seoul. You won't regret it.,a month ago
10,Dadpool011235 wilson,4,This place is so huge an there's so much to see!  They have all the high end name brand stores. Everything is beautifully elegant.,a month ago
11,Little T.,5,"Elegant 123-story skyscraper opened on April 3, 2017. It is the tallest building in Korea and the 5th tallest in the world. It is huge, but you don't feel that, because it is slim and narrows towards the top. Nearby park with the lake is beautiful too. Wonderful experience all year around.",8 months ago
12,Karolina Brzezicka,5,"Beautiful view from the observation deck, before we went to the elevator that took us to the 117th floor, we saw a small exhibition. A place worth a visit.",2 months ago
13,Kaan Tu,4,"Loved the view, it is quite crowded and in my opinion slightly overrated. But a unique experience in Seoul nonetheless. Would recommend",5 months ago
14,Shivani Jadhav,5,Yesterday was my first time visiting seoul and lotte tower..best experience of my life..and that too with new friends.. You should visit lotte tower once..you will feel like u r on top of the 🌎..JUST AMAZING🥰,a month ago
15,MANG THOMAS VAIPHEI,5,Best place to visit and make sure to visit if you are in Seoul ...236 days enjoyable || recommended 👌,3 months ago
16,paul nichols,5,"Awesome experience and obviously best views of the city. Also, very well organized and easy to get to the top.",a month ago
17,emmanemm,5,Amazing experience in the tallest building in Korea. We booked on KLOOK which makes it cheaper than in person. It was very busy during the sunset on Sunday I recommend going during the week instead but definitely go during sunset,9 months ago
18,Ramiro Herrera,4,"Went during the day and it's awesome! Night time, I think during certain times, there's a firework show... we didn't get to see that. There's a cafe and restaurant on the 120th floor but the prices are expensive FYI.",7 months ago
19,Andrew Chew,5,"Great views. 4 floors of viewing areas, spread the crowd.",3 months ago
20,Valerija Strelciunaite,5,Beautiful place for time spending with friends or family. From the top you can enjoy magnificent views of Seoul city,6 months ago
21,Pervesh Maheshwari,5,Recommend once visiting. Seems over hyped. Ticket seems bit expensive,a month ago
22,Dimpi Verma,5,The place of love. Go this valentine day with your partner.y0u definitely love the place.kimchi. sarangae,5 months ago
23,Nick T. (Nico),5,Great views of the city. If you go at dusk you'll see both day and night views.,a month ago
