,이름,별점,리뷰,날짜
0,Hafidz Zdifah,5,"Had so much fun here! A place to go with your partner or kids. Plenty of family-friendly rides with a handful of ""thrill"" rides. Ambience and atmosphere was magical with plenty of locals renting high school uniforms to dress up and take pictures - we joined in this experience too!  If you are looking for more thrilling rides would recommend Everland instead. Lotte World gives a more holistic family approach. Could easily spend a whole day here with the number of rides available. I used the Seoul Discovery Pass for this, be sure to note that redemption is at a separate booth.",2 months ago
1,Muhammad Islam,5,It was good and amazing place to be for whole day adventure. You must be free for whole day when visiting this adventurous land. You cannot fully enjoy in shorter time. So must visit.. It is a interesting theme advanture park.,6 months ago
2,Max Lee (Zedomax),5,"Lotte world theme park, Korea's first ever theme park that opened in 1989, I have been going here since it opened.  They have giant indoor theme park which is nice for hot summers and cold winters plus outdoor area called magic island also.",a week ago
3,jello j,5,"Even though it was the weekend, there were fewer visitors than I thought, so it was perfect to play. Of course, the popular rides were too long to ride.",a month ago
4,B J,4,"This is a 3.5 to 4 star experience. This is actually one of the few indoor things you can do in Seoul all day during the brutal summer weather. The place is massive there's a lot of things to do. Many many rides and activities. There's a very large cultural museum that will take a few hours just by itself. I give it lower stars because the more serious rides are mediocre at best and has longer lines than anywhere I have ever been to before. About 2.5 hours of wait time for example for the most popular ride. Here's a tip for foreigners. Websites likes viator and trazy offer substantial discount for foreigners (as of July 2022) if they show their passports at the entrance. It's about 35% discount on average. You do have to book a day ahead for it though not the day of. But if you are getting this discount then consider buying their Magic Pass which will make you skip lines at most of the rides except the super popular ones I believe. I wasn't able to get the discount cause of time constraints but if I had to redo, and had time, I'd get the discount with the magic pass, which night have made the overall experience far more pleasant.",3 weeks ago
5,Mohammed Y (‫بو جاسم‬),5,Very nice place. And you will have fun while you be there with your friends or family. But the only disadvantage is that you need to wait 30-60 minutes to play every game,4 weeks ago
6,Piyush sharma,5,"One of the must visit places in Seoul, should be definitely on top of the list while visiting this amazing country…….it is world’s biggest indoor amusement park and lives up to the expectations……professional staff….excellent food options, was not expected but could find a lot of vegetarian options also……accessibility is superb, park is located at jamsil station, line 2 and the exit is just 150-200 meters from the enterance and ticket counter…….advisable to visit on weekdays to avoid long queues on rides….park opens at 10 AM and is open till 9:00 PM, suggest to reach the place at 10, as 11 hours will also seem to pass by fast…….do not miss the closing light show projected in the castle…..a mush must visit place….",a month ago
7,Sunita Rathod,4,It's really enjoyable place with lots of different rides and food stalls. You'll enjoy for sure unless its not crowded with a big queue for every ride which was the case for me.,6 months ago
8,Korea Wanderer,4,Good economic park to visit with family. It has an indoor and outdoor park that makes it a great place to visit year round regardless of the weather. I would recommend buying the tickets through Trazy or Klook to save money.,4 months ago
9,illy novak,5,"Lotte World is divided into the outdoor lakeside Magic Island and indoor Lotte World Adventure which is the world's largest indoor amusement park 👀🌍  It offers a variety of rides so that anyone from adrenaline junkies to little kids get to enjoy 😉  My personal favourites were French Revolution and Atlantis Adventure 🚄 Next time I'm gonna challenge myself and do the Gyro Drop, a 100 meter drop at the speed of 115km per hour 😳  There are multiple photo zones spots across the park, one of them being at the top of Snow White castle on Magic Island. It is just as gorgeous at night, so I definitely recommend staying till the sun is down!",11 months ago
10,Paul Rydell,4,Pre-purchased tickets for foreigners that included 5 magic-passes. Took about 10 minutes to get in at opening.  Don't bother with the magic passes on the app. If you pre-purchased magic passes they are actually on your ticket. We had the numbers 1 2 3 4 5 printed on the tickets. Just go to the front of the line to the magic pass area and hand your ticket over and they will circle one of the numbers and let you in. The lines were 90-120 minutes for the more popular rides on a Friday in late July 2022. So the extra fee for magic passes was definitely worth it.  There are tons of great food options and the prices for food and snacks were very reasonable. Especially compared to US theme park standards.,3 weeks ago
11,Lauren Jelle,5,"Lotte World at Christmastime is amazing! Also, until Jan. 2, 2022, foreigners get 1/2 off the regular price. Show them the coupon at the end of my photos!",7 months ago
12,Lawrence Tan,4,Very fun place for all ages! Thrilling rides with high-spees roller coaster! Get a magic pass to skip some Qs!,4 months ago
13,Helen Angeles,5,"We had so much fun and it was a dream come true to visit this awesome place. If you're planning to visit Korea, you should include this on your list of places to visit.",3 weeks ago
14,Mark Christian Sy,4,Kinda like miniturized Disneyland. Too bad lots of attractions are still closed due to covid and rain. But a must go for kids and kids at heart.,a month ago
15,Nantawan Purawatt,4,We can stayed here all day many activities. We not much keen on Lotte world but we like pororo land there,4 months ago
16,Valerija Strelciunaite,5,"It is awesome place for all family. The location is great, because you can choose how to spent your time - go to amusement park or enjoy your walking around it in the park",6 months ago
17,Ryan Fersch,5,Very busy on the weekends. Some of the lines can be up to a three hour wait. Go during the weekdays if possible. Awesome experience overall!,4 months ago
18,David Lee,3,I still remember this place from my kid days. There is no update or new attraction since then. The pricing is pretty affordable if you reserve from Klook app. Be sure to receive electronic voucher or if you run into issue entering.,2 weeks ago
19,pokecrafter1,4,"Really good variety of rides for the whole family, remember to download the official app to have a smoother experience",2 weeks ago
20,Sarah Lee,4,"Adorable indoor theme park, great for kids and adults on a date. It was pouring rain so we couldn’t enjoy the outdoor rides, but the indoor roller coasters were fun! The entry fee is super duper reasonable too!",a month ago
21,Romance D'Amour,5,"I had a great experience here in time for halloween 2021, the adventure game will not let you down.",8 months ago
22,Ary Tri Prasetyo,3,"Got here after 11 and the place already packed, even on a weekday. Long queues not worth the wait. App to reserve rides completely useless as most times already out (even I checked every 15 minutes).",a week ago
23,김은우,5,"This place is the most beautiful amusement park in Seoul. This amusement park has a variety of rides, including thrilling rides and rides that anyone can ride. And this place is a lot of restaurants, so you can eat delicious food and snacks. You can take pretty pictures and leave memories. I think it would be good to come with children. The admission fee is 37000won. This place is located near Jamsil station.",4 months ago
24,Toedt,4,"My friends and I were able to make it an enjoyable experience and came back for their holloween event. A normal day trip is a decent experience, but the Halloween Night experience was amazing. Overall, the staff was outstanding, the the snacks were great, didn't manage to eat a meal. Compared to Amusement parks in the states this place is lackluster, but is able to provide an enjoyable experience if you have an open mind.",2 months ago
25,RáJess,5,It is the only amusement park in Seoul. It is located near the Lotte World Tower. It is like the Disneyland of Seoul. There are so many things to see and try inside the park. Two of the most exciting rides in the park are gyro drop and gyro swing. People often wait for a long time to try these rides. You must try one of these rides if you visit this place.,a year ago
26,Oyesegun Ayonrinde,5,Full day fun. Nice place to be,a month ago
27,ahmad mustaqim,5,"Amazing vibes and atmosphere although as expected, the queues for the more popular rides were insane. Had to wait over 2 hours for some rides and even though we came when gates opened, we waited for an hour to get on the first ride but the rides were all great. Recommend the French Revolution and surprisingly, the Comet Express",3 weeks ago
28,Lucy Pangelinan,4,"Plan to spend the whole day here if you want to use most of the rides. I came on a Monday at 4pm and was only able to get on 4 rides (they close at 10pm). Wish I spend extra for the Magic Pass. Couldn't even venture out to Magic Island with the time we spent in line. Lots of snack options. If you're redeeming Discover Seoul Pass, you'd have to go to the Group Tickets Counter at the back entrance.",3 weeks ago
29,Kris Fedorak,4,Went on a weekday 10:30-4:00 while local kids were in school. Despite this there were lots of high schoolers around. Seemed not very busy in the main halls but there were still significant lines at most rides (30+ min). The roller coaster had a 2 hour line around 1 pm. Lines were shorter outside as it was sunny. Lots of great amusement park rides and variety - some for the more adventurous with iron stomachs and others that are tame and better for little kids. Food options are not great.,a month ago
30,Alexander Bont,5,Lots of fun for the whole family. It has a lot of indoor attractions so even if it's raining you can still go here. If you don't like waiting in lines consider purchasing the magic pass which allows you to bypass the lines.,3 weeks ago
31,Brian Terkildsen,5,Went on a Friday morning before all the kids had to go back to school. Lots of people... Not much social distancing.,5 months ago
32,es L,4,"Great place to spend the entire day. We were there from mid morning through the night. The parade show was getting started when we reach so that's our first activity. Our tickets were valid for both indoor and outdoor rides. Due to winter season in the November, it was way too cold to enjoy the rides outside, plus it was raining throughout the day so we spent most of our time indoor. We only managed to enjoy some outdoor rides almost at the end of the day.",a year ago
33,Joshua Hoffman,4,Fun place and lots to do but with spacing requirements for covid the lines are incredibly long. Fast passes are more than the cost of tickets and only so many uses so makes it difficult. Definitely recommend going but wait for covid to relax,a year ago
34,Abo Wael Alonazi,4,"Lotte world is place for both shopping and entertainment If You want to go there my advise to you go early to be there 9:30 opening time you can spend good time But in your This place need full day to enjoy Good for family, kidds, Young, couple",a year ago
35,Abhinav Singh Suryavanshi,5,Went there with my wife and boy we had so much fun. I highly recommend going in early and have some magic passes ready (you definitely would need them.),a month ago
36,A N,4,Love Lotte world .. but always crowded and always most rides are under maintenance. Also i wish they build more rides for adults.. I've been there several times over years .. yet the place is the same no expanding or new rides .. yet i still love it,a month ago
37,Mehrine Fatehi,1,"Bad experience. We waited for 4h to do one attraction, the ice skating is not included in the price, even for food trucks there was a lot of waiting. Maybe with the Magic Pass it would be less painful but without I really wouldn't recommand.",2 months ago
