,NAME,STAR,CONTENT,DATE
0,Dyseny Family,5, KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn  ,an hour ago
1, KoReAn ,3,,an hour ago
2,Javier Toh,5,,2 hours ago
3, KoReAn ,4, KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn ,5 hours ago
4,Souhal Dahir,5,,14 hours ago
5,HELLO COCO# (SABAIDEE TV),1,,17 hours ago
6,Mimi Nurakmal,4,Shopping heaven but not many signboard for direction,18 hours ago
7,jennifer Lee,5,,20 hours ago
8, KoReAn ,5,,22 hours ago
9, KoReAn ,5,Translated by Google Namdaemun is often used because of its variety and low prices ,a day ago
10, KoReAn ,5,,a day ago
11, KoReAn ,5,,a day ago
12, KoReAn ,4,Translated by Google There are many things to see and it is good Cool in summer warm in winter Namdaemun Market has a special charm ,a day ago
13,Bam P,5,The place to go if youre looking for some street food and Korean ginseng But most shops closed at 5 so its best to visit in the morning,a day ago
14,Dominic TORRENS,4,,a day ago
15,Kim_ Daedi,5,,a day ago
16, KoReAn ,3,Translated by Google It is a traditional market for a long time and it was good to have delicious braised cutlassfish and grilled fish ,2 days ago
17,Sandy Cortez,5,,2 days ago
18,Lee Ricardo,5,Translated by Google Its always good to walk It has a wide variety of clothes and accessories Jewelry and good and cheap food ,2 days ago
19,Y H,3,,2 days ago
20, KoReAn ,3,,2 days ago
21,Muhammed al,3,Translated by Google It is one of the most famous fish markets  Original     ,3 days ago
22,Thanh NGUYEN,5,,3 days ago
23, KoReAn ,5,,3 days ago
24, KoReAn ,5,,3 days ago
25, KoReAn  (Kebin Jung),5,Translated by Google I stayed in Seoul this time so I stayed near Namdaemun Market When I had time I went to Namdaemun Market for a walk but I felt a bit regretful because I was still less energetic than before because of the ,3 days ago
26,Guillem GT,5,,4 days ago
27,Byung Sun Kwag,5,Translated by Google cleaner than ever A lot has changed ,4 days ago
28,Nan Kanpong,5,,5 days ago
29,Benjamin Van Haute,4,,5 days ago
30, KoReAn ,5,Translated by Google The weather is hot and the people who work hard are amazing I went back and forth to look for missing accessories There were not many ,5 days ago
31,Apurv Kumar,5,One stop shop for all things Korean,5 days ago
32,Jacek Lesinski,4,,5 days ago
33, KoReAn ,4,,6 days ago
34,Birgit Koch,4,Translated by Google Popular market with tourists  Original Beliebter Markt bei Touristen,6 days ago
35,HS P,5,Translated by Google The boss is friendly Instead of forcing it you listened to the customer and made the choice by understanding and explaining from the customers point of view ,6 days ago
36,,4,,6 days ago
37,SunJ Park,5,,6 days ago
38,spovia poul,5,,a week ago
39,Kyung Woo Kang,5,Translated by Google like  Original  KoReAn ,a week ago
40,Raghu Veer,4,This is a huge market where many international items like imported foods are available tho expensive still,a week ago
41,rui neto,5,Underground market ive loved it,a week ago
42, KoReAn ,5,Translated by Google Many shops are closed on Sundays  Original  KoReAn   KoReAn   KoReAn ,a week ago
43,Adam Hill,4,,a week ago
44, KoReAn ,5,,a week ago
45, KoReAn ,4,,a week ago
46,gagang potel,5,,a week ago
47, KoReAn  ( KoReAn ),4,Translated by Google Too many people mask required  Original  KoReAn   KoReAn   KoReAn   KoReAn   KoReAn ,a week ago
48,Younjung Yang,5,,a week ago
49,Andres CV,5,Translated by Google Market where you can find everything especially vitamins ,a week ago
50,Nanxy Sue,3,Translated by Google Too few items for sale  Original ,a week ago
51,Jonghyoun Choi,4,,a week ago
52, KoReAn ,4,,a week ago
53,Vasin Laohavisudhi,4,Translated by Google Its like a Sampeng but much bigger  Original  ,a week ago
54, KoReAn ,5,there is so much to see very interesting place,a week ago
55,Mallo Mlle,5,Translated by Google A bit of everything nice ride  Original Un peu de tout balade sympa,a week ago
56, KoReAn ,4,,a week ago
57,Spiritainer Doeun,5,Translated by Google Its all over the place There are a lot of people again ,a week ago
58, KoReAn ,5,,a week ago
59,DHAMOTHARAN U,4,,a week ago
60,Ali Abdullah,4,Translated by Google Nice place to just take the idea and take a walk I cant find anything special to buy ,a week ago
61, KoReAn ,5,Translated by Google Good product good food  Good  Original  KoReAn   KoReAn   KoReAn    KoReAn ,a week ago
62, KoReAn ,4,Translated by Google Seoul representative market  Original  KoReAn   KoReAn ,a week ago
63,ne jjo,4,,a week ago
64,yong ho kim,5,,a week ago
65,Erika Nelly,5,,a week ago
66,Sherwynd Lui,2,,a week ago
67, KoReAn ,5,,a week ago
68, KoReAn ,5,,a week ago
69,Roux Frdric,5,Translated by Google It is huge there are everywhere It is not necessarily a market as we understand it elsewhere There are several blocks of buildings each 4 or 5 stories tall on either side of the street There are shops ,a week ago
70,JunHo SEO,4,You can enjoy various things,a week ago
71, KoReAn ,4,,a week ago
72, KoReAn ,3,Translated by Google There are a lot of places that are closed on Sunday  Original  KoReAn   KoReAn   KoReAn ,2 weeks ago
73, KoReAn ,5,Translated by Google Lots of things to see and do  Original  KoReAn   KoReAn   KoReAn ,2 weeks ago
74, KoReAn ,5,Translated by Google Strat  Original  KoReAn ,2 weeks ago
75, KoReAn ,4,,2 weeks ago
76, KoReAn ,5,Translated by Google After visiting after a long time I looked around the market and ate delicious braised cutlassfish and grilled samchi Today too Delicious braised cutlassfish and steamed egg ,2 weeks ago
77,k. m.s,5,Translated by Google I ate braised cutlassfish and it was all delicious Unfortunately there was no seat so I ate alone in the corner ,2 weeks ago
78,Stanure Choe,5,,2 weeks ago
79,ok KoReAn ,3,,2 weeks ago
80,Seokhyun Kim,5,,2 weeks ago
81,Alex Bushmin,5,Translated by Google Very good place  Original   ,2 weeks ago
82, KoReAn ,4,Translated by Google I hear it because of the camera  Original  KoReAn   KoReAn   KoReAn ,2 weeks ago
83, KoReAn ,5,Translated by Google Lots to see and eat  Original  KoReAn ,2 weeks ago
84,Alice Pia,5,Translated by Google The accessory shop near Exit 6 of Hoehyeon Station is cheap This is a restaurant that only sells meat and kimchi steamed dumplings ,2 weeks ago
85, KoReAn ,4,Translated by Google I like to shop this and that  Original  KoReAn   KoReAn   KoReAn ,2 weeks ago
86,Halid Yldrm,4,,2 weeks ago
87,ddongmoTV KoReAn TV (kansai  KoReAn ),5,,2 weeks ago
88, KoReAn ,4,Translated by Google Go to Namdaemun Market Flower Market and buy artificial flowers There are various types and they are cheap ranging from 1000 won to 3000 won ,2 weeks ago
89,Demetrio Barros,5,Yum yum plenty for all Food and stuff to please all sorts But the Egg Maca Chou was my favourite Not to be missed,2 weeks ago
90,Anuta Bashtova,5,Translated by Google You can find anything but a more touristy place  Original ,2 weeks ago
91,Josh Suzuki,4,Organized chaos is the most apt description of this space It is packed with vendors and with  a little searching you can find pretty much anything you are looking for,2 weeks ago
92, KoReAn ,1,,2 weeks ago
93, KoReAn ,4,,2 weeks ago
94,Jamie You,5,,2 weeks ago
95,Sanghyun Bsek,4,Translated by Google Great place to visit  Original  KoReAn   KoReAn ,2 weeks ago
96, KoReAn ,4,,2 weeks ago
97, KoReAn ,4,,2 weeks ago
98,Emily Taylor,5,Its cute and a lot of friendly people,3 weeks ago
99, KoReAn ,5,Translated by Google A place where you can buy all your daily necessities at the price you want ,3 weeks ago
100, KoReAn ,4,Translated by Google There were few people coming to the market due to the corona virus but lately people seem to be coming back here and there Peoples faces are bright and the smiles spread across the faces of the ,3 weeks ago
101, KoReAn ,4,Translated by Google Cleaner shopping streets abundant food and sights  Original  KoReAn   KoReAn   KoReAn   KoReAn   KoReAn ,3 weeks ago
102,JINQ,5,Translated by Google Its good to watch  Original  KoReAn ,3 weeks ago
103,Renee Tng,5,Came to hairtail alley to try braised hairtail stew They alley has dozens of restaurants all selling the same dish I just picked one where the staff seemed inviting Delicious stew but beware of small soft bones,3 weeks ago
104, KoReAn - KoReAn ,5,,3 weeks ago
105,Tiger An,5,,3 weeks ago
106,Z4 KoReAn ,1,Translated by Google Imitation Heaven But this is where I go to buy imported sheep to make highballs ,3 weeks ago
107, KoReAn  - KoReAn ,4,Translated by Google I went to Namdaemun Market 20 years ago Its still   Original 20 KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   ,3 weeks ago
108, KoReAn ,5,,3 weeks ago
109,Rosario Cannata,3,Translated by Google Characteristic  Original Caratteristico,3 weeks ago
110, KoReAn ,2,Translated by Google It is still a complex place and it feels like a major accident is bound to happen Still there seem to be many people who want to taste the traditional market ,3 weeks ago
111,Alex Park,5,,3 weeks ago
112, KoReAn ,5,Translated by Google I went shopping  Original  KoReAn ,3 weeks ago
113, KoReAn ,5,Translated by Google very good  Original  KoReAn ,3 weeks ago
114,,5,,3 weeks ago
115, KoReAn ,4,,3 weeks ago
116,Yang Bella,2,,3 weeks ago
117,krish 1,5,Translated by Google Braised cutlassfish dinner at the alley It was nice to go to Namdaemun after a long time ,3 weeks ago
118,Louis Poon (Louis),5,,3 weeks ago
119, KoReAn ,5,Translated by Google Its a place I go to often I went to buy a present for my mother and girlfriend ,3 weeks ago
120,Kijo,5,,3 weeks ago
121, KoReAn ,5,Translated by Google I came with my glasses on but there will be more and more foreigners ,3 weeks ago
122,Akas Ovi,5,Affordable stuffs to buy,3 weeks ago
123, KoReAn ,3,,3 weeks ago
124,Lidia Garcia,5,Translated by Google You will find everything and at a great price  Original ,3 weeks ago
125, KoReAn  ( KoReAn ),5,Translated by Google I just like it There is a smell of life and there are many restaurants ,3 weeks ago
126, KoReAn ,5,Translated by Google A place where there is nothing missing from everything in Korea I love sightseeing and shopping ,3 weeks ago
127,jongmin han,2,Good,3 weeks ago
128, KoReAn ,1,Translated by Google Purchased at a beauty store to buy hair dye The price is cheap and the product is good ,3 weeks ago
129, KoReAn 6 KoReAn 8,3,,4 weeks ago
130, KoReAn ,5,,4 weeks ago
131,TOM WANG,5,Translated by Google good shopping  Original ,4 weeks ago
132, KoReAn ,4,,4 weeks ago
133, KoReAn ,5,Translated by Google Happy hour  Original  KoReAn ,4 weeks ago
134,Moosam Kim,5,,4 weeks ago
135,kyungduk yoo,5,,4 weeks ago
136,SH Sim (s3i4),4,,4 weeks ago
137, KoReAn ,4,Translated by Google Its complicated haha The underground import mall is cool but its hard to see haha ,4 weeks ago
138,K S,4,Translated by Google Its fun because there are so many delicious shops I can especially recommend the vegetable hotteok ,4 weeks ago
139,vivi Atiny,5,Translated by Google Nice walk with lots of good things to eatthe people are lovely there I love it I agree  ,4 weeks ago
140,Yusuke Iwase,5,,4 weeks ago
141,Daisy Kim,4,Translated by Google The market has lost power due to the corona virus Still the Korean market It is invisible to the naked eye but it changes and develops again ,4 weeks ago
142, KoReAn ,4,Translated by Google soso  Original  KoReAn ,4 weeks ago
143,Chan Lee,5,Always an interesting place for hundreds of years you can never explore the whole thing,4 weeks ago
144,mavi Pain,5,Translated by Google It is a place where you can wander around and buy beautiful products with great pleasure ,4 weeks ago
145,Michael KoReAn ,5,Translated by Google The central cuttlefish is delicious and friendly  Original  KoReAn    KoReAn   KoReAn ,4 weeks ago
146,MAYUMI FUKUI,4,Translated by Google Namdaemun sells everything and as it has been said since I first came to Korea I sell everything at a low price Business hours vary depending on the store but while Dongdaemun is the main night Namdaemun is open ,4 weeks ago
147,fracis Tager,4, KoReAn   KoReAn ,4 weeks ago
148,jon son,5,Best way to experience reasonably priced shopping with endless varieties of traditional market food  Also best exchange rate for foreign currency,4 weeks ago
149,sister dragon,3,,4 weeks ago
