,STAR,CONTENT
0,5.0,I liked it very much I recommend it to everyone
1,5.0,Good aquarium Heavily themed for children Recommend using the discover Seoul app as this is included
2,3.0,Good
3,5.0,Its an excellently built aquarium Full of themed zones lots of exhibiting creatures and an entertaining show Suitable for all ages to visit
4,4.0,good place for under Water world
5,5.0,Am good place
6,5.0,Absolutely worth a visit So many things to see I cant write about them all There are time slots where the public can see the animals being fed which is also very nice Probably the best aquarium Ive been to
7,5.0,It such a memorable experience 
8,5.0,Really nice aquarium for kids and adults We went on a Saturday in the summer and it was packed there were so many people We managed to get around fine though There were a ton of really great exhibits they have a huge shark tank seals manatees penguins and other various animal life My son loved an exhibit where you stick your hand in and little fish eat at the dead skin on your hand He thought this was the coolest thing ever It was clean and there were clean toilets throughout to stop at The price was decent and what I expected for something in the Coex mall It was a good thing to do with kids
9,5.0,Good for kid and adult
10,5.0,Awesome place where you can watch sea creatures and enjoyHas many sharks including Great White jelly fish and also beavers
11,5.0,Beautiful and varied place I highly recommend visiting it
12,5.0,It took about 15 minutes on foot from Sansei Station on Subway Line 2 I noticed on the way back but I arrived at Hoonji Station on Subway Line 9 in about 5 minutes
13,3.0,Online booking does not except intl cards so pay up full price  Its ok but overpriced for what you get to see
14,5.0,Great we love it
15,4.0,One out of the great places to spend time with kids Stamping game is an interesting stuff for younger ages You can get a discount through web searching
16,5.0,Good place to spend times with family
17,5.0,nice cute animals
18,3.0,I have to be a little honest here when I came first time to South Korea and went to the Aquarium in Coex I was fascinated and I really loved it BUT it was my first time visiting an Aquarium After that I had the opportunity to visit the one in Berlin and then another one in Spain Now coming back in 2022 10 years later I found it to be overpriced for what it is offering It is a nice place clean and well maintained However in 10 years I hardly see any improvement this probably depends on the fact that this Aquarium is located in a Shopping Mall If you havent been to any Aquarium  you will love it otherwise you could find yourself feeling a little bit disappointed
19,5.0,Very pretty place
20,5.0,The aquarium is awesome Maybe this is my first visit I really liked it I felt like I was underwater The aquarium is divided into 6 rooms The Legacy of the Inca Empire; Forests and lands of the Amazon; Inhabitants of the World Ocean; Open pool; Sea Predators; Secrets of the deep sea At the beginning you can take a brochure and as you pass through each hall you put stamps Perhaps it is interesting for children But I went with pleasure looked and put seals  as a keepsake You can also do a peeling massage on your hands fish A must visit
21,5.0,Awesome
22,5.0,Absolutely fantastic
23,5.0,My kids were very happy we visited
24,5.0,One of the must visit places in Korea There are all the varieties of fishes Had an amazing experience here Children will enjoy it the most It is better to book tickets in advance online to avoid queues
25,5.0,Very pleasantly surprised Its a lot bigger on the inside than I expected it to be and it even had a few non aquatic animals I will say few of the fish did seem a bit ill and some of the tanks could be bigger
26,5.0,Nice experience
27,4.0,The tunnel under the water with the sharks swimming around wasnt as nice was the one in Guam There was a decent variety of aquatics and I keep getting the vibes that place was geared for kids with the Octonauts Cartoon theme throughout  There are seats for rest in a few areas One hour here is enough unless you stop to watch all the exhibits
28,4.0,Very cute aquarium
29,2.0,Price is excesive for what you get Not very big aquarium
30,4.0,Very Nice Place to visit
31,5.0,Variety of water species Great entertainment for kids
32,5.0,Great aquarium hidden amongst the COEX shops and restaurants Interesting composition combining pedagogy and discovery
33,5.0,Super
34,2.0,the fish looks depressed
35,5.0,My 2 year old enjoyed it almost as much as I did
36,4.0,Enjoyable aquarium which is laid out nicely with some nice setpieces
37,4.0,Very nice experience and diverse collection with sitting facilities and information desks
38,5.0,Had a good time with the kids
39,5.0,I love it
40,4.0,Very modern and high tech facade Would love to have more directory of the shops around the huge building
41,5.0,Unforgettable
42,5.0,Really loved the aquarium Nicely planned and designed
43,5.0,Great place for family day
44,5.0,This is by far the best aquarium in Seoul hands down   So many sea animals
45,5.0,Good experience
46,2.0,Poor Aquarium and overpriced for a half hour to fourty minutes round
47,5.0,A lot to see  nice photo spots
48,5.0,Greet place
49,5.0,This place never dissapoint
50,5.0,amazing place
51,5.0,Lovely place The best when visiting with kids
52,5.0,It is quite interesting to get to know marine life let alone packaged in a certain theme or form such as places to eat traditional houses and so on The location is located inside a mall and has several objects that can spoil our eyes If you want to visit it is better to make a booking in advance to speed up entry to the area usually given a handtag before entering by the officer Lets be adventurous
53,5.0,One of the best and most atypical I have visited The price on site is 32000 won I advise you to take it on the internet or on a tourist app to buy it You save a great deal As for the visit great diversity immersion and many surprises Good visit
54,5.0,Great for family days or simply to visit and enjoy the atmosphere Lots of seating areas feeding times and a fun passport stamp booklet for children
55,4.0,Nicely set up
56,1.0,Might be a good place for kids if you want your kids to grow up with terrible morals and no respect for animals and life Came here in December of 2021 thinking COEX aquarium was a major tourist destination but was immensely disappointed when I saw 20 clown fish in a 20 gallon fish tank To add to it there were about 20 OTHER fish living in the tank There were no plants no anemones for the clown fish to live in AND it was the first tank on display  There were two manatees A dangerously endangered species literally in a tank not even two manatees long No plants Cruelty  Visit COEX aquarium to experience cruelty at its maximum potential
57,3.0,The price is cosmic and he himself is small There is something to compare therefore for such a price they should at least show a show there At the exit there is a store with all sorts of toys at somewhat inflated prices to provide a tantrum for children who want everything at once
58,5.0,Had an amazing time at the CoEx Aquarium
59,5.0,Best aquariums with all kinds of aquatic animals
60,5.0,very fun there is a price list in Russian
61,3.0,Cool experience even for adults
62,4.0,Amazing
63,4.0,Ah i missed reviewing this one A small but neat aquarium me think  the staffs were kind and helpful pretty aquariums setting they dont have that many fish varieties but thats okaaay Located inside coex mall just in case youre confused 
64,4.0,Very nice
65,5.0,One of the best aquarium place My own opinion I like it more than the one at Osaka Not too big but good organized
66,5.0,Good aquarium
67,4.0,Great
68,4.0,Very nice reduction if you follow the Instagram account of the aquarium
69,5.0,Very beautiful place and so many different type of fish available here
70,5.0,Its good experienced I love to be there There many kind of fishes and its really refreshing
71,4.0,Nice place for vacation
72,5.0,Nice place to bring small children
73,5.0,Hi  COEX AGUARIUM is located in the Cannes area Very wonderful place to hold a tour and recreation in general There is aquarium below 0 marks The territory under Earth is very big there is everything to satisfy all the desires  I advise everyone
74,5.0,Cool there are sharks there
75,5.0,Good
76,1.0,Mind blowing amazing
77,5.0,Interesting
78,5.0,One of the best places
79,5.0,Its cheaper if you book your entrance ticket via the internet
80,2.0,Dont expect much here as the place is quite small Not much variety of fishes Mainly common lake fishes takes up 80 of the space
81,5.0,Recommend it especially if you dont have such a place in your own country 
82,3.0,I feel very small and shallow probably because I am accustomed to Kaiyukan I was surprised that the skin diver came down
83,4.0,Tickets are a bit expensive and havent come After the visit I feel that the layout is very good the museum is big enough and there are many species An aquarium worth visiting
84,5.0,Excellent location to be in peace while watching fishes The shark tank is insanely beautiful and all the tanks are very clean
85,4.0,Good aquarium but not stroller or wheelchair accessible
86,5.0,I liked it very much I made a lot of beautiful photos By the way if you come there with your family they will make a good discount we got about 40 The kids liked it
87,5.0,Penguins
88,4.0,Aquarium was well maintained and it boasts of wide variety of aquatic animals It was just mesmerizing If would be equipped with audio guide then nothing can beat this
89,5.0,best tour point in the seoul this have many beautiful photo spot
90,3.0,I dont know The space for fishes to move around are very limited And even some of the aquarium are quite crowded and dirty In short I feel sorry for the fishes or other animals over there
91,4.0,Worth to spend time with kids
92,5.0,Best in Seoul
93,5.0,We loved this especially with the kiddos 
94,5.0,Huge and wonderful place
95,4.0,Cool place fo relax and enjoy mood
96,3.0,A lot of small fish tanks I dont feel huge aquarium But so many types of fishes
97,5.0,Amazing collection of fish sharks rays and turtles
98,5.0,Cutest aquarium ever  Love the theme 
99,5.0,Lots to see Tunnel isnt very long
100,4.0,Cool
