,STAR,CONTENT,DATE
0,5,I liked it very much I recommend it to everyone,16 hours ago
1,5,Good aquarium Heavily themed for children Recommend using the discover Seoul app as this is included,a day ago
2,3,Good,4 days ago
3,5,Its an excellently built aquarium Full of themed zones lots of exhibiting creatures and an entertaining show Suitable for all ages to visit,a week ago
4,4,good place for under Water world,a week ago
5,5,Am good place,2 weeks ago
6,5,Absolutely worth a visit So many things to see I cant write about them all There are time slots where the public can see the animals being fed which is also very nice Probably the best aquarium Ive been to,2 weeks ago
7,5,It such a memorable experience ,2 weeks ago
8,5,Really nice aquarium for kids and adults We went on a Saturday in the summer and it was packed there were so many people We managed to get around fine though There were a ton of really great exhibits they have a huge shark tank seals manatees penguins and other various animal life My son loved an exhibit where you stick your hand in and little fish eat at the dead skin on your hand He thought this was the coolest thing ever It was clean and there were clean toilets throughout to stop at The price was decent and what I expected for something in the Coex mall It was a good thing to do with kids,2 weeks ago
9,5,Good for kid and adult,2 weeks ago
10,5,Awesome place where you can watch sea creatures and enjoyHas many sharks including Great White jelly fish and also beavers,2 weeks ago
11,5,Beautiful and varied place I highly recommend visiting it,3 weeks ago
12,5,It took about 15 minutes on foot from Sansei Station on Subway Line 2 I noticed on the way back but I arrived at Hoonji Station on Subway Line 9 in about 5 minutes,3 weeks ago
13,3,Online booking does not except intl cards so pay up full price  Its ok but overpriced for what you get to see,3 weeks ago
14,5,Great we love it,3 weeks ago
15,4,One out of the great places to spend time with kids Stamping game is an interesting stuff for younger ages You can get a discount through web searching,3 weeks ago
16,5,Good place to spend times with family,4 weeks ago
17,5,nice cute animals,4 weeks ago
18,3,I have to be a little honest here when I came first time to South Korea and went to the Aquarium in Coex I was fascinated and I really loved it BUT it was my first time visiting an Aquarium After that I had the opportunity to visit the one in Berlin and then another one in Spain Now coming back in 2022 10 years later I found it to be overpriced for what it is offering It is a nice place clean and well maintained However in 10 years I hardly see any improvement this probably depends on the fact that this Aquarium is located in a Shopping Mall If you havent been to any Aquarium  you will love it otherwise you could find yourself feeling a little bit disappointed,4 weeks ago
19,5,Very pretty place,4 weeks ago
