,STAR,CONTENT,DATE
0,5,Super easy to check in Fast immigration friendly and helpful staff I love Korea already,3 days ago
1,5,Very nice and Beautiful It was lovely to fly again after a long time The staff are so helpful and Courteous It was  delight,6 days ago
2,5,its was nice  all staffs and politics its perfect,a week ago
3,2,Easy access to central Seoul,a week ago
4,4,There was a problem but JAL kindly took care of it There is only a donut shop as a restaurant Ignore anyone who calls you for a taxi,a week ago
5,4,Nice,2 weeks ago
6,5,Great airport everything runs fast,3 weeks ago
7,4,It was a good airport I really appreciate the staffs and security all are so kind patient and supportive Thank you all for the wonderful travelling experience through this airport,3 weeks ago
8,5,We were let through because the line was too long by the boarding zone The staff was so friendly Theres also so many places to eat and ofcoz a convenient store,3 weeks ago
9,4,Satisfied,3 weeks ago
10,5,Clean and tidy not crowded,4 weeks ago
11,4,An airport in South Korea specializing in domestic flights and international flights in East Asia It is closer to the city and there are fewer queues for entry and exit,a month ago
12,3,Wellaligned gates and English Service is available for visitors  There are few places for smoking,a month ago
13,4,Small clean wellknown airport the second airport in Seoul opens at 430 in the morning,a month ago
14,5,One of the few airports where you can enjoy a toilet with a washlet outside of Japan When I returned to Haneda by connecting from Kazakhstan I was impressed by the washlet here,a month ago
15,5,Clean Spacious Kind,2 months ago
16,5,Very convenience and clean,2 months ago
17,5,Convenient airport,2 months ago
18,5,Compared to Indira gandhi airport in India Seoul airport is very clean and less crowded India should learn somethings from these countries,2 months ago
19,5,Good,2 months ago
20,5,Its a weekend and as busy as usual,2 months ago
21,5,Nice,3 months ago
22,5,Very easy to get bags and get out for a taxi,3 months ago
23,5,easy to connect with bus and subway,4 months ago
24,4,Area is good Well maintained,4 months ago
25,5,Good airport,4 months ago
26,3,Good oneExcept parking fee on this,5 months ago
27,5,Good,5 months ago
28,2,Cool,5 months ago
