,CONTENT,VADER
0,One of My favorite sites Lets go there for the delicious foods and    ,Positive
1,There are many delicious restaurants,Positive
2,I think it is the largest arcade town in Asia In addition it is good that it is divided into specialty stores for each area,Positive
3, 35 The price is not too expensive and it is delicious Very busy but the staff are friendly I like Yukhoe Bibimbap the most but since it has a strong seasoning I didnt notice a big difference from other ,Positive
4, Recently Netflixs program called Chefs on the Road was introduced to Seoul Gwangjang Market which is a crowded place with more foreign tourists ,Neutral
5, Food and traditional items are really cheap Much cheaper than Insadong and lots of fun ,Positive
6, Its wonderful that all the restaurants are gathered together and the atmosphere of the 80s can be seen but its too hot ,Positive
7,Will visit this market every time I come to Korea Very interesting place with lots of fantastic food options Try their traditional toast and mung bean pancakes,Positive
8, It was a happy day because there was so much variety and so much good food ,Positive
9, happy time with family was ,Positive
10, Gwangjang Market Bindaetteok is also delicious The combination of yukhoe and flavor is also excellent Im a little sad that Im going to eat more ,Positive
11,The atmosphere! Go early evening. Buzzing. Feast your eyes on local delights. Have fun with the locals. What an experience. Be prepared for your clothes to smell after! It was fun. Not the cleanest but it was all about the experience and food.,Positive
12,Probably the most memorable spot in our trip - the bowl of freshly made noodles in piping yummy hot soup is simply heavenly for a cold morning in Seoul. Plus the very friendly & sporting owner posed for a bright and cheery photo!,Positive
13,"A fun and memorable experience to go while in seoul. Tasty confort mama food. All with its unique and traditional recipe, a good food market with a lot of variations. Good prices and kind people",Positive
14,"A favorite place of ours. We go often and try new places to eat each time. You can find everything from A-Z here. Busy, crowed place. Just sit on an open chair and feast. Great prices. Once COVID a goes away things will get back to normal hopefully.",Positive
15,"This place was nothing special from other markets around South Korea.  Still worth a visit, just to take in the atmosphere. Most of the food is typical street food, recommend finding a place that has a lot of people. This usually indicates it’s a pretty good place.  There are a few Netflix famous spots, but don’t let that be your deciding factor.",Positive
16,"U can enjoy a lot of korean street food and Korea souvenir , gift , snacks , fruits are available here!",Positive
17,This traditional market is the best way to know more about the local food culture. The aroma of the korean delicacies surrounds the area where most of the food vendors were concentrated and you will be spoilt for choice at the market. We feel like a local when we sit in front of the stall to try the famous mungbean pancake which is freshly made on the spot and it taste not too bad. There are also shops that sells korean snack and souvenirs that are cheaper than the ones sold at myeongdong shopping street.,Positive
18,"Delicious netflixfamous Mungbung pancakes, steamy hot knifecut noodles from the netflixlady, dokkbokki, soondae, soju, streetfood between locals at its top with heatwarming seats",Positive
19,"Unfortunately on the second day of the lunar year, apart from the street food stalls and restaurants, only like 5 fruit stores and stores selling souvenirs and other things were open. We managed to get some probably overpriced kitchenware.  Amongst the four streets in the market, three were on food. The vibrant food stalls were interesting to visit. And yes, the benches were “hot”. The ladies and men serving were nice and there was menu in English, Chinese and Japanese. We also saw Chinese translators seemingly from the Tourist Associations standing by.  Should visit",Positive
20,"A true treasure in Seoul. I miss this place more than anything. The people, be it vendors or those who sit next to you, are incredibly welcoming and friendly. The food is incredible no matter where you go, pick what you like, but also take the advice of the friendly vendors beckoning you to their booths. Love this place dearly and you will too.",Positive
21,Loved the market as they are primarily run by local Koreans. Definitely recommend to eat at the makeshift stores like a local - the seats are heated and many sell local dumpling noodles which make it so satisfying to have during the winter.  This is also the place where you can visit the store which appeared on Netflix’s “street food”. Recommend to have the mung bean pancake and beef tartare.  Should definitely visit this place as it is near to Dongdaemun as well so you can always head there after this market,Positive
22,"Lots of stalls selling common street food. Extremely crowded and be prepared for lots of shoving and pushing. Found a stall selling fish shape pancake or waffles. The couple manning the stall were very organised and thoughtful. Their pancakes had only three types of fillings - red bean, custard or pizza. Tried all three and would personally recommend the custard filling. They were very generous with the filings.",Positive
23,"From Dongdaemun subway station, it was approx.15-min walk to market. We went on Jan.1, and the market was busy, packed with people. There were some stalls closed, but many were still open. Market has lots of food options, and things to buy, so you can spend hours there!",Neutral
24,A local market where you can find many authentic Korean food and shops selling souvenirs and snacks. Price are affordable. Sellers are friendly. Love it!,Positive
25,We went on New Year’s Day so only the food stalls and a few snack and clothing stalls were open. The oil stench was strong from all the mug bean pancakes and there are dozens of stalls selling pretty much the same thing but we were too I adventurous to sit down especially when we have just had lunch an hour before that. The last thing you want is to horde a couple of seats and not consume enough.,Positive
26,"Great place to have lunch. If you want to try transitional cuisine, that’s the place. There are plenty options in a super affordable price. Loved it, specially the dumplings!!!!",Positive
27,"The street food at this market is amazing, weather was cold when we were there but still great to eat at one of the street stalls, seats were heated, so many different stalls with so many different street foods, tourists everywhere taking photos, this is a great stop for tourists and locals a like.",Positive
28,"C ( 19.11.29 ) Though Kwangjang Market had various item, but there was famous for Korean street food, Korean-style raw beef, mung-bean pancake, gimbap, and so on. If want to eat Korean street food, there was very good market to enjoy it. The inside road was small and many people was crowded. The price was nor expensive for trying food. The gourmet traveler must visited there.",Positive
29,Don’t miss this place as you will find all the flavors the food and the Korean atmosphere! You can shop and take away or eat inside on small casual tables it’s so genuine!,Positive
30,"I think it is the beat food market in South Korea!!! So much great food you need to try, I would recommend coming here more than one so you can try everything",Positive
31,"If you want taste authentic Korean foods as locals eat, you must go to Kwangjang Market. No where can beat this place for its variety and price. I ate there siting on narrow bench in very crowded center aisle. It was quite an experience. Fried sweet rice pancakes are very good. If you see many local people waiting in line for some food, just try it too. You have to visit this place when you are in Seoul because it is very difficult for tourist to find those traditional Korean food else where in the city.",Positive
32,This is a very cool place to visit. Lots of different things to see. I recommend it! Just walking around is neat,Positive
33,"I love this place because there are a lot of Korean food here. I ate bibimbap and teokbokki, but the taste was not really good. Somehow I still love the place because you can feel the traditional of Korea and how the local interact with each other.",Positive
34,"Kwangjang market is a really good cultural experience of Seoul - it's busy and noisy and a bit smelly sometimes and the food looks like nothing you would ever see in Europe! It's a great place to wander round even if you aren't brave enough to eat there - and yes, you can see the lady from the Netflix series...",Positive
35,This market isn’t as busy as Namdaemun market but is fully enclosed. The stalls are pretty repetitive but variety of food is still good nonetheless.,Positive
36,The market was an interesting experience to see and try out the korean street food! It is a bit crowded especially around lunch and dinner time but I think it’s worth visiting. Make sure to try the food there!!,Positive
37,"As food markets or night markets go, this one is no more than average. It is part of a larger produce, fish, chicken and meat (and some clothing) market.  Its obvious advantage is that it is covered and so a reasonable destination even in inclement weather. It also has two clear disadvantages: 1- the variety of food served is very limited. You have stall after stall serving the exact same thing. 2- the aisles are narrow. We were there late afternoon on a weekday, and there were spots where passage was difficult. I wonder whether passage becomes more difficult in the evening or on weekends.",Negative
38,"Anyone who saw Netflix street food will recognise Yoonsun Cho. The lady who makes and sells knife cut noodles and Mandu in Kwangjang Market Seoul. Since the show she’s busier than ever but still make and serve the most delicious food. We loved the kimchi in particular. The green kimchi was fresh and different, delicious.  We learnt that some of the market traders are jealous of her fame, they need to grow up as she attracts more people from around the world.  The mungbean pancakes was also absolutely outstanding. The market is large and offers plenty of choices. Lots of blood sausage, bibimbap, gimbap and plenty other extraordinary delicious Korean specialities worth trying.  The market is also well know for steak tartar. The soy sauce pickled crabs are delicious.  The market also offers clothing and homewares but definitely worth visiting for the food!  It’s a bus place, be patient and go with the flow you will have an amazing time!",Positive
