,CONTENT,VADER
0, After lunch at Mazesoba I went to Giordano then to Jo Malone and for dinner I went to Broxi and ate a burger ,Neutral
1, There is a lot to see and frequent I happened to stop by Gordon Ramsay Burger because there was no line but at a very wicked price the taste is okay More surprising than a hamburger is a Coke of 5000 won lol ,Positive
2,Amazing Must see,Positive
3, The Lotte Tower Observatory is the best Even on a cloudy day you can see Seoul at a glance There are several tourist attractions so it is worth visiting the observatory ,Positive
4, Visited the day after the Gangnam area was flooded Something wasnt what I expected ,Neutral
5,Very nice view,Positive
6,Breathtaking views,Positive
7,Seoul is soul of asia ,Neutral
8,Without expectation will be good to visit If expect too much not sure I think if visit weekday will be better as this place is too crowded,Positive
9, Hmm very disappointing There isnt much to see Each person may feel differently but there is no theme suitable for Seoul Sky and its in the middle ,Negative
10,Amazing By far the best observation tower I have ever gone up The views of Seoul were breathtaking Very spacious at the top and somehow we spent more than an hour up there If you want to have dinner at the very top around 50000 per person make sure you make a reservation in advance,Positive
11, It was hard to find the place I wanted The first visit felt like wandering through a maze as the space was very spacious and the escalator and elevator connections were not easy The Seoul view from Sky was ,Negative
12,Seeing many people waiting for the  elevator  was   one i hate  and  without no seeing anything   from inside the elevator made me  unhappy and all the time that I being  forced to look up the celling creating various colorful lighting show ,Negative
13, The view of Seoul from the observatory is the best The windows also seem to be well maintained and the indoor lighting is not too much so there is no difficulty in taking night shots ,Positive
14,High end luxury brands,Neutral
15, Shopping sights food entertainment allpurpose tower with just one shot ,Positive
16, Even though I live nearby Im not interested so I didnt go there but I got a discount ticket so I went Its full of apartments around The feeling of seeing from a high place seems to be different from Namsan ,Neutral
17, I go once twice wellj ,Neutral
18, Parking is a bit inconvenient but Sky Lounge is scary and fun ,Negative
19,The most beautiful view in all of Seoul,Positive
20, An indescribable experience A great view and distant view The ride in the elevator was an experience ,Positive
21, The things I didnt like were that the restaurant did not have a parking discount the toilet was dirty and the interior was hot The good things are the delicious cheesecake the Lotte Cinema Sound Bread and ,Positive
22,Worth it  The fifth highest building in the world  Amazing view  A thrill ride from beginning to end  This is what I call a birds eye view If you arent afraid of heights than youll love it,Positive
23,Must go place,Neutral
24, There are so many things to enjoy inside When you get off at Jamsil Station everything is connected ,Positive
25, 30 minutes until ticket confirmation Additional 40 minutes to the elevator Only people with strong legs go ,Positive
26, As expected Lotte World Tower Aquarium and observatory are worth visiting ,Positive
27,Quite expensive To get there u have to wait almost 1 hour To go down maybe much longer,Neutral
28, South Korea is development innovation scientific breakthroughs modern style in all areas of life Admire Korea ,Positive
29,Very good place,Positive
30,Its a very tall tower with a great view,Positive
31,Great view up there,Positive
