,CONTENT,VADER
0,      ,Neutral
1, I went on a trip with a foreign friend and I enjoyed watching the night view ,Positive
2, Its been a while since I took the Busan Songdo Cable Car so it was crowded and hot ,Neutral
3,Rad,Neutral
4, Beautiful the city from above but the times written on the site and on Google to go up the tower were until 11pm and at 930pm we were told that we could no longer go up ,Negative
5, Not enough parking spaces Its been 10 years since I came here more people ,Neutral
6,Boring,Negative
7, The mens restroom on the first basement floor is in good condition A lot of people come and go every day ,Positive
8, You can enjoy the night view of Gangbuk in Seoul by cable car The only downside is that the parking lot is expensive ,Positive
9,To  fro from Seoul Tower crowded at times,Neutral
10,Quote a lovely place with a good view Worth taking a trip up here if you are i seoul I recommend going there during the evening but not so late that everything is closed Right after sundown is perfect,Positive
11,Staff were professional and courteous Appreciated the friendly humor,Positive
12, There is nothing interesting except the cable car The kids had so much fun riding the cable car ,Positive
13, Parking is a bit expensive but it is recommended for a memorable trip ,Positive
14, 11000 won one way It was 14000 won round trip The trail is wellmaintained so descending on foot is not a problem ,Positive
15,Worth a visit and see Seoul from the top,Positive
16, best of scenery Great for a quick beer ,Positive
17, I went because my child wanted to ride the cable car but the parking fee was wicked ,Negative
18,Good ride from Seoul city Nearby Myeongdong station 5min taxi,Positive
19, You may have to wait a bit on the weekend but it was nice that the line went out quickly ,Positive
20,The scenery is outstanding ,Positive
21,Very packed in one car,Neutral
22,If you dont wanna walk  take the Cable Car,Neutral
23, I didnt have high expectations as I didnt have a good relationship with the cable car but I felt better than expected The night view is wonderful I also went to Mt Seorak but I felt even better because it was a ,Positive
24,Scary and fun at the same time,Neutral
25, The night view was also beautiful It would be nice to come on a clear day ,Positive
26, Its nice to be able to climb The price has gone up a lot ,Positive
27, Not good in many ways not recommended unless its off time ,Negative
28, Highly recommended unless its a bit hot inside and youre not afraid of safety ,Negative
29,Resealable price for  cabin car  Nice view and yummy food  at the top of Tower,Positive
30,Legit and a great view of paradise specifically at night,Positive
31, Even in hot summer when you go to the top a cool breeze blows ,Positive
32,Cable car experience was enjoyable,Positive
33,Dont go on weekend  cuz they accept too much visitors  you always stuck in the line whereever you go in namsan tower,Positive
34, Its a hot but very relaxing trip I got a discount with a tok deal purchase ,Positive
35, The price is too expensive 14000 won round trip for adults 10500 won round trip for children The price is high but it is stuffy smelly and hot because 3040 people are put ,Positive
36, You have to wait a long time If it wasnt for the summer I wouldnt have used it ,Neutral
37,Breath taking,Neutral
38, Its a little hot but it takes a few minutes to get on its fast the view is beautiful ,Positive
39, Expensive expensive nothing to see even parking is too expensive ,Neutral
40, Roundtrip cable car 28000 light waiting line too long Park in the nearby public parking lot under Namsan Mountain ,Neutral
41, The time to ride the cable car is not very long but the building waiting for the ride turns on the air conditioner but the inside of the cable car is too hot because there is no air conditioner ,Negative
42,Efficient clean cable car that provides a quick and easy way up to Namsang Tower Nice facilities at the bottom station,Positive
43, The atmosphere of the old tower has changed a lot The air conditioning is good ,Positive
44, Its been a while since Ive been here but its still the same The waiting area was cool and airconditioned ,Positive
45, Cable cars and parking fees are expensive When I went up to the top of Namsan Tower it was a market place and there wasnt much to see than I thought ,Positive
46,I personally think the cable car is over priced They try to fit as many people as they can in the cable car so you cant really enjoy the scenery and experience for the price you pay We had seniors with us so we took the cable car If ,Negative
47, The price is a bit high for a short distance It is recommended for the elderly or the infirm to climb on foot ,Positive
48,Good,Positive
49,Too packed for covid era,Neutral
50, The best way to climb Mount Nam is to use the cable car while avoiding the weekend period Climbing the stairs is very tiring ,Positive
51, Its a normal cable car its a bit expensive ,Neutral
52,Amazing,Positive
53, Dont bring a car take a taxi when you get off take a bus ,Neutral
54,The view at night is gorgeous,Positive
55, I know that the cable car has been around for quite some time but it seems to be well maintained The whole thing was made of glass so it was good to see the whole view because it was full of people Im glad it ,Positive
56,A lovely experience recommended,Positive
57,Easy way to get up to Seoul Tower Great views on cable car and at tower,Positive
58, Its a pity that a lot of people ride together in a cable car so its only for going near the summit as if there are about two cable cars ,Negative
59,You can go by feet not really a added value to go with the cable,Negative
60, Its been a long time since I rode the cable car and it was good ,Positive
61,This is the only way to ascend up to Seoul Tower for your first trip Its inexpensive and a very smooth ride If you are American military you can purchase a discounted combination ticket of the gondola ride and a trip up to the top of the tower,Positive
62,nice trip up so i didnt have to walk those stairs but took the stairs down there were a lot of people going onto that cable car and i didnt feel like being a sardine in it bought a round trip ticket but oh well it wasnt expensive or anything,Positive
63, While waiting for the cable car the air conditioner inside the room was so full that it was cold very cool ,Positive
64, It is easy to climb even in hot weather You can see the whole city of Seoul ,Positive
65,Easy to go up to the tower,Positive
66,Easy way to get to the tower waiting time is not long,Positive
67,It was a quick and easy journey up and down Cool scenery as well,Positive
68,I guess the best way to enter in the N Seoul Tower,Positive
69,Namsan Cable Car  Excellent well managed safe,Positive
70, Parking is especially difficult on weekends and public holidays ,Neutral
71, Parking fee 20000 won for 2 hours No discount even if you use the cable car It seems like an expensive parking lot ,Positive
72,Nice ride many food choices at the tower even Cinnabon Theres an elevator that can make it easier to get there Walking up to the cable car can be exhausting for some people,Positive
73,Friendly Staff good price,Positive
74, I went for a couple beer set but I couldnt eat it because it was late If you go the next day after rain when the clock is good the scenery is ,Positive
75, The view is pretty good when you take the cable car Seoul at your feet ,Positive
76, Waiting for the gable car takes too long The best thing to do is to go up and see the night view There are too many lines for the cable car that came down The price is also expensive Its hard to get a taxi late ,Positive
77, Top but beware accessibility for people with disabilities is not easy ,Negative
78, During my 100 visits to Namsan Ive only ridden it twice this time third ride ,Neutral
79,Very good,Positive
80, It is the fastest way to get to Seoul Tower and with a very beautiful view of the city and the forest It is approximately a 2minute drive and the view from the Tower to the city is spectacular  ,Positive
81, Its dense but rides well enough to breathe Its a big deal if you move ,Positive
82, See the surrounding view of Seoul suitable for children and elderly people ,Neutral
83,a little crowded decent price great view save your calves,Positive
84,Was busy but had a great time The parking can be challenging so be patient,Positive
85, Its a short ride and on a foggy day its raining Please use public parking lots where possible Parking in front of the boarding point is too expensive ,Positive
86,Amazing views of the city and surrounds on a clear day,Positive
87, I dont really recommend it because its expensive compared to the travel time and facilities and there are many other ways to get to the top Compared to cable cars in other tourist destinations the view while ,Negative
88, Because Im always in Seoul I get hit even more One day I will have a child and I will definitely find you again Then well talk about this ,Positive
89, I am very satisfied that I can climb to the top with no effort ,Positive
90, It is a place that does not come with a good value for money You cannot see the surrounding scenery and it feels like you are overcrowding people ,Positive
91, Eat pork cutlet and go up Its better to have coffee from the top and come down ,Positive
92,Comfortable,Positive
93,On sunny and clear days you can enjoy a wonderful view,Positive
94,Great experience  with a nice view,Positive
95,Defenetly need to be visit View from the top is the best,Positive
96, It is a bit expensive but you can enjoy the night view comfortably with low quality ,Positive
97, Its a short but good cable car to enjoy the view of Seoul isnt it 11000 won one way ,Positive
98,Nothing special but if you dont want to hike up to Seoul tower then definitely take the sky car Convenient,Positive
99, Please dont overfill the cable car as its over when its full by the window ,Positive
100,Safety I love it,Positive
101,Very nice and helpful employees,Positive
102,Expensive for what it is Once at the top theres another 50 steps to get to the tower ticket office,Positive
103,Good place to visit,Positive
104, Just a must to do While walking it is beautiful and you can take beautiful pictures When you get to the top the view is magnificent ,Positive
105, A vehicle in which you are taken to Puaj Namsan Well worth a visit ,Positive
106,Use the cable car to easily reach the Seoul Tower A great view awaits you especially at night a visit is particularly worthwhile,Positive
107, After the rain the weather was clear and it was very nice ,Positive
108, Because it was a holiday the line was very long I waited about an hour I bought a roundtrip ticket but when I got off I just got off and got a refund When I came down the stairs were huge so when I went up I ,Positive
109, There were a lot of people From a distance I thought I would go slowly and enjoy it enough but when I rode it in person it was pretty fast ,Positive
110,It is very busy and the road is short Theres no need,Negative
111,Very well organised boarding,Positive
112, Its a holiday so its really complicated Its a clear Seoul for about an hour to ride the cable ,Positive
113, There is a terrible waiting line and a lack of undiscounted parking spaces but it is very expensive and a bit cheap but it is difficult because it is far away Its really so No I cant forget all the hardships ,Negative
114, The problem is that Ive been waiting too long Take the number 1 near the Chariri subway station and go up ,Negative
115,Nice although a little bit expensive,Positive
116, I parked for a while to use Namsan parking lot and there is a coffee shop in the building so I went in and ordered coffee but the price is high and the taste is not as strong as Mega or Ediya coffee which is cheap ,Negative
117, It runs every 10 minutes and costs 10000 won You can choose between going up on foot or using this cable car which takes less than 5 minutes to go up ,Positive
118,Great experience,Positive
119,Good and fast ride,Positive
120,too many people during weekend,Neutral
121,In weekend its very popularyou have to wait cable carbut you can walk to the top,Positive
122, The place where Neymar visited and caused a fire You only have to ride it once Its not cheap but ,Negative
123, The easiest way to get to Namsan if you absolutely dont want to walk Alternatively there would also be buses and taxis that go almost all the way to the summit And of course the hiking trails but they are very ,Positive
124,Fun ride  I suggest walking down cool views of the tower you wont get from the car ride,Positive
125,Superhero,Neutral
126, Riding the cable car is always fun but it feels too short ,Positive
127, On a hot day its okay to hit the mountain If its good the parking fee is crazy ,Positive
128, Dont you have this Think of walking Uhhuh Namsan Cable Car is here but parking is difficult on weekends ,Negative
129, The weather was nice and the open Seoul sky was beautiful I highly recommend Namsan Cable Car ,Positive
130, Refugee camps Children can be crushed so be careful ,Negative
131,Just Funny,Positive
132, A lot of couples go there on the weekend When I went on a weekday I saw foreign tourists and people who came on a memorable trip ,Neutral
133, It is more convenient to climb Namsan than by bus It is about a 10minute walk from Myeongdong Station There is no big difference between the oneway and roundtrip prices ,Negative
134, A group of four with two elementary school children wentFriday evening The scenery was nice and everything was good I waited 40 minutes to go up and ,Positive
135,Amaying view over the city Was here early evening 630 pm I would prefer round trip ticket  the entrance tobthe tower is included Tip Watch the video in the elevator,Neutral
136,Waited for almost 2hr to get the ride and the cable car was super packed,Positive
137,Beautiful sight of Seoul from above We went at night and it still was great to see at that time,Positive
138,Waited about a half hour to up,Neutral
139,It was safe but Im scare,Negative
140,Good experience,Positive
141, Koreas first cable car to Namsan a representative attraction in Seoul ,Positive
142, I went to the comfortable side I didnt mean it but lol ,Positive
143, Too expensive and parking too expensive Im glad its a good day ,Positive
144, Good for family and good for lovers but the distance is a bit short ,Positive
145, It was nice to have a variety of attractions and cultures ,Positive
146,Was a really fun way to get to Namsan Tower Do recommend,Positive
147, Cable car roundtrip recommended It is recommended to come at sunset time and take a look View restaurant  ,Positive
148, It feels a bit expensive and there are many people who only walk when going up and ride only when going down ,Neutral
149, it was good The waiting time wasnt as long as I thought but I took off one star because of parking ,Positive
150,It was nice view of nature from the cable car although there was crowd due to Childrens day holiday Return ticket costs 13k,Positive
151, On public holidays you will have to wait for 2 hours Its a bit futile when its all over ,Negative
152, Beautiful environment5 a must visit place when you are in Seoul In the evenings it is quite a beautiful sight ,Positive
153, Its worth riding at least once out of curiosity I dont want to recommend the second time I feel like I lost a lot in terms of cost performance ,Negative
154,Waiting time was not too long Very organized,Neutral
155, The cable car ends at 11 If you go after 10 oclock you can either ride up and walk down or live there with a bunga bunga ,Neutral
156,Considering how short the ride is it is quite pricey Nice view on the city especially from the observation deck If you are lazy like me you can use it to get to the top of the mountain and then on the way back use stairs to save a penny,Positive
