,CONTENT,VADER
0, National Museum of Korea special exhibition a collectors invitation I couldnt get a ticket so I went with an onsite ticket It opens at 10am but ,Positive
1, It was nice to be able to easily recognize the ancient modern and modern times of Korea by being displayed and categorized by parts ,Positive
2, Interesting place a lot of exhibits you can buy souvenirs inside ,Positive
3, I didnt expect it But it was so good Its pretty good and Ill be back again ,Positive
4, A place where you can see the largest history Time to enjoy the cool and admire the wisdom of our ancestors ,Positive
5, I only came once and couldnt get a good look  It is recommended to come several times and see each area ,Negative
6, I love the childrens museum Its so small you can see it all in time I think its good for ages 6 and up ,Positive
7, It was a pity that I couldnt hear the commentary because the children were free to watch ,Positive
8, It was a journey through time and space as if I had personally visited the site in history ,Neutral
9,The museum is enormous be sure to arrive early there I spent 4 hours inside and still didnt see everything By the way I went to Gyeongju right after visiting the museum so it felt like a school field trip if you have the opportunity I highly recommend you to do that,Positive
10, The relics inside were amazing and I was particularly impressed with the Banga Thought Event ,Positive
11, It was nice to see the masterpieces of Lee Kunhees exclusive artist ,Positive
12, I came here to see the Geunee Collection but it was good to capture the concept and tell the story visually and audio instead of just displaying items ,Positive
13, Its been a long time since Ive visited but it was also very helpful and good ,Positive
14,Preferred the War memorial since it felt more relevant Still great for a free museum though,Positive
15, I cant see many at once Guess Ill have to go there more often ,Negative
16, There was a lot to see and it was clean and well maintained I did a docent tour and hearing the commentary made the museum tour two or three times more interesting We recommend that both children and adults visit ,Positive
17, It is also a representative museum in Korea I have seen wonderful special exhibitions in a pleasant indoor air ,Positive
18,Nice museum  Family friendly,Positive
19,Another must see in Seoul,Neutral
20, There were historical objects in the museum so I was able to understand them well Aztec special exhibition Silla Joseon etc were displayed beautifully ,Positive
21, Among the museums in Korea there are many and diverse artifacts in the collection so it is good for cultivating humanities knowledge ,Positive
22, 1st anniversary exhibition of the late Chairman Lee Kunhee a collectors invitation ,Neutral
23, me country look back ,Neutral
24, There are many very beautiful ancient artifacts on display ,Positive
25, It was raining on my summer vacation and I came to play impulsively but there are so many things to see I will visit again next time it was so good ,Positive
26, Hundreds of thousands of genuine artifacts are on display and are very sparkling ,Positive
27,Great place to learn about history of Korea,Positive
28, It was a holiday so it took quite a while to get into the parking lot There are a lot of special exhibitions and a lot of people ,Positive
29, I went to the National Museum of Korea to see the Aztec exhibition The exhibitions of the National Museum of Korea always provide a topnotch exhibition experience The downside is that the exhibition hall is a bit ,Negative
30,National Museumwas great This place looks like a mall It is so masove that it took me three hours to go thru the first floor I recommend going as soon as it opens to explore more of it,Positive
31, If you are looking for a museum be sure to visit I was really good The first floor is from the GojoseonJoseon period The second floor is for a reason for appreciation ,Positive
32, A place where you can feel the taste of one of the few buildings ,Neutral
33, Parking is difficult Parking available at the Hangeul Museum ,Negative
34,This quality is great for free,Positive
35, For those who havent been I recommend you to go In the excellent facilities you can see many national treasures of the homeland such as Goryeo celadon calligraphy and paintings and statues of banga thought as ,Positive
36, The parking space is very spacious and comfortable and the parking fee is not too expensive The overall site area is large and there are various special exhibitions ,Positive
37, The building is beautiful the artwork is good and the scenery is very good A place I want to go to often ,Positive
38,Loved it,Positive
39, I came to see a collectors invitation exhibition I could feel the collectors keen eye and the hard work of the people in charge of planning the wonderful exhibition ,Positive
40, The Lee Kunhee Exhibition is literally a cultural heritage ,Neutral
41, The parking fee is very cheap and there are restaurants and cafes inside the museum so it is good to take a break and look around Admission is also free ,Positive
42, There is a lot to see and it is spacious and the inside is cool and nice but firsttime visitors are likely to get lost ,Negative
43, The video experience hall which is part of the effort to break away from the old Central Museum is worth seeing ,Positive
44, Visiting special and permanent exhibitions Since its Culture Day the last Wednesday of every month you get a 50 discount on admission ,Positive
45, Its not that close but its worth visiting whenever I have time ,Positive
46, Best Best place if you have strong legs If you are interested in history ,Positive
47, Its always good to go to museums with your kids Im glad the kids are still following along ,Positive
48, I really like the free opening of the National Museum ,Positive
49, The national park is pleasant and the exhibition is also useful ,Positive
50, Isnt it a must visit place A museum representing the country ,Neutral
51, The restaurant is so crowded the wait is over an hour and a halfthere is nothing to eat at the convenience store ,Neutral
52, There is no other place like this in summer unconditionally Go ,Positive
53,Nicely organized and pleasant environment Good place to spend half a day or an entire day with family,Positive
54, Various exhibitions outdoor pleasant and scenic lack of shade to sit and rest ,Positive
55, Maybe its because of the Lee Kunhee exhibition even on weekdays there are a lot of people There are so many things to see all day long Food courts and cafes are full of ,Neutral
56, A special exhibition hall that exhibits good works and admission is free The contents were clear and the entrance fee was cheap so it was a very good ,Positive
57, Watch a special exhibition of Azteca one of the three ancient civilizations of the Americas along with the Maya and Inca civilizations It can be viewed at a leisurely pace in about an hour The exhibition period ,Positive
58, Nice building great exhibits free entry very good souvenir shop ,Positive
59, I went to the childrens history class This facility is well equipped so I learned it well and brought it back  ,Positive
60, Its been a while since I last visited as a childs vacation homework It was pleasant and good considering the exhibition movement and rest ,Positive
61, parking lot crowded too many people The exhibition is also crowded ,Neutral
62, It was nice to be able to see two Buddhas at once at the Bangasayusang statue Usually you can see one and a half of them but it is said that two Buddhas came together this time ,Positive
63, I love the childrens museum and I love the media exhibitions these days I went with my family from abroad and it was so good to know more about Korea ,Positive
64, Satisfied with the exhibition Lee Kunhee lots of people ,Positive
65, A collector is now on a distant planet Become a star and make our emotions shine makes ,Neutral
66,I hope to visit me and everyone who sees these photos,Positive
67, I went right after school vacation The Childrens Museum used to be a kids cafe The general Icheonbong media of Geumgangsan Mountain is impressive on the entire wall next to the main exhibition hall especially the ,Positive
68, There are many people who take authentication photos in the mirror pond A Twosome near Mirror Pond has the disadvantage that you can only sit outdoors ,Negative
69,Mesopotamian cultural heritage exhibited at National Museum of Korea,Neutral
70, Super museum fluid pleasant and lots of very beautiful pieces You feel good there and you learn a lot there not complete cartels too often ,Positive
71, Needless to say it is a useful and nice place You can see a lot of relics with children and it is a historic building It is a beautiful place to walk because it is connected to Yongsan Family Park ,Positive
72, I enjoyed the exhibition hall all the spectators The level of spectators has increased significantly as they quietly consider ,Positive
73, A place I want to visit again and again Again it would be better to avoid weekends and crowded times for a good viewing experience ,Positive
74, The site is also spacious and it is convenient to be able to reach nearby by an underpass from the station The inside of the museum is also large and clean ,Positive
75,Come with lots of energy this place is HUGE But worth it As almost every public space in Seoul transportation and access is pretty easy It has the most convenient food court cause you sure gonna get hungry after all that walking,Positive
76, It really is a good place for children to experience and learn because they can see artifacts from each period and also have museum events Parking is convenient and adequate Not good to eat Its wide so it can be ,Positive
77,Adventure hi tech and lots of history and friendly people great parking and food available,Positive
78, Great place for family outing There are many events on weekends ,Positive
79, Great for spending time with the kids on the weekend For popular exhibitions you need to make a reservation in advance etc Please note that the parking lot is a bit crowded in the afternoon and there is a queue ,Positive
80, The museum is large and huge fun for lovers of history and civilizations The building is a masterpiece ,Positive
81, Parking is easy There are stairs leading out of the building ,Positive
82, The exhibition was very good It is recommended to buy tickets for the exhibition Lee Kunhee in advance ,Positive
83, I went to the exhibition to commemorate the 1st anniversary of Chairman Lee Kunhees donation I bought a ticket at the site but only 450 tickets are sold every 30 minutes so it is better to come early in the ,Positive
84, I love the architecture the building  outsine and inside of the museum   ans YES you HAVE TO see it  even if you are not a fan of a museums like myself  you will be amazed ,Positive
85, It seems that there is a need to limit the number of people entering the exhibition hall It seems that it is necessary to apply not only to the special exhibition but ,Positive
86, Great place to visit on a hot summer day with kids Too bad the restaurant Sold out too soonnot much to eat ,Positive
87,Amazing history and beautiful objects,Positive
88, Concert Hall Childrens Museum Cafe I like it A lot of people ,Positive
89, From 5 3 to 8 28 People who moved the sun Aztec relics were on display and I had a good view of history and culture ,Positive
90, It was really good The exhibition hall was displayed in an easytounderstand manner Satisfying the surrounding scenery and food ,Positive
91, Its sad that I only found out about such a good museum in Seoul but the facilities are clean and well maintained ,Positive
92, It is convenient to use nearby parks and facilities without visiting the museum ,Neutral
93,Nice museum with 3 floor at the 1st floor more exposition about the history of Korea through age 2nd floor is more about private collection who had been gave by collectors And last floor about treasure and exposition about India and ,Positive
94, A museum I havent visited in a long time It was clean and well organized so it looked good I am very satisfied with the various exhibitions ,Positive
95,Wonderful exhibits in an amazing building All of the signs were multilingual which made it very approachable,Positive
96, Its been a really long time since I went but its still big I saw a collectors invitation Its crowded so I think its better to go early ,Positive
97, The National Museum of Koreas Room of Thought  Two statues of Banga from 1400 years ago designated as national treasures are ,Positive
98, Even though Ive only seen regular exhibitions I read and thought and looked at each It seems like it took half a day ,Positive
99, Places to visit often not too staff ,Neutral
100, It was very large and I could see it slowly Admission is free so please visit once ,Positive
101,A very impressive place both the building and the displays The souvenir shop has clever items too,Positive
102, These are relics and buildings that are not inferior to those presented worldwide Planning is also great ,Positive
103, There are many places to see and I ate pork cutlet there and it was delicious ,Positive
104,Aztecs exhibition was beautiful ,Positive
105, It is a very special buildingpeople can wander freely and rest wherever they wantschool students learn history with their teachers and take notes in their notebooksthe most modern facilities are used and you can ,Positive
106,This is an absolutely massive world class museum Everybody thats visiting Seoul should put time aside to come visit this place Ichon subway station gets you inside from the station directly Best part about this museum is that its FREE ,Positive
107, It is always the best place and I think that breathing is too long by taking the space too wide ,Positive
108, Arrived at 1040 am and sold tickets at 1230 am I applied for an audio application while waiting and went to the bathroom in advance so I had a good time watching ,Positive
109, I went to the exhibition A Collectors Invitation to commemorate the 1st anniversary of the donation of the late Chairman Lee Kunhee and I was deeply moved by the support of an entrepreneur for art There are many ,Positive
110, I went to Lee Kunhees special exhibition and its good I highly recommend it ,Positive
111, From the Prehistory Hall you can see the 5000year history of Korea There are so many large exhibition halls that it is difficult to see them all in one day These days its really good as a luxury collection by ,Positive
112, Its the weekend so there are a lot of people ax though ,Neutral
113, A museum representing Korea From the park at the entrance of the building Beautiful place even inside the building ,Positive
114, I like the contents of the 1st anniversary exhibition of Lee Kunhee There is a lot to see ,Positive
115, Its a good place to escape the heat You can study history ,Positive
116,Amazing but boring to my son who is not intetested in learning about old history,Negative
117,Give yourself enough time there is so much to see and read inside,Neutral
118, I saw the Lee collection and it was a great experience the building and its surroundings are awesome ,Positive
119, WoW Egyptian Civilization Exhibition Hall also the Worlds Highest Level Museum ,Positive
120, There are free exhibitions and there are many things to see ,Positive
121, National Museum of Korea It is directly connected from Exit 2 of Ichon Station so it is convenient to use public transportation Admission is free except for special exhibitions so you can go and enjoy it without ,Positive
122, Ive been to the Lee Kunhee collection exhibition Fortunately the collection of our culture in this way has become our legacy Thank you to the deceased ,Positive
123, The largest museum in Korea a great place for a picnic with children especially the private room on the second floor is a mustsee course ,Positive
124, A good place to be with anyone at any time  Painting Asia exhibition is until the end of this week ,Positive
125, Wasnt expecting it but Im satisfied Its different from the museum I used to think It seems like Ive been to the museum for a long time Ill go back often ,Positive
126,There were so many amazing things to see here,Positive
127, Impressed by the 10story stone pagoda at Gyeongcheonsa Temple Site ,Positive
128, I came to see Chairman Lee Kun  hee s special exhibition  ,Positive
129, Good exhibits detailed explanations good for kids education ,Positive
130, I went with my children to visit the Azteum exhibition After 3 oclock there werent many people and I had a good time looking around ,Positive
131,Very pretty and educational,Positive
132, This place is free A place I would like to go to every day if I lived close by ,Positive
133,This is my new favorite museum For so many reasons but primarily the quality of the artifacts the well thought out exhibits the informative and engaging signage and the friendly employees I spent two days here and would love to go back,Positive
134,Beautiful,Positive
135, I went to see a collectors invitation exhibition We recommend purchasing ,Positive
136, Beautiful place the attention of the people is incredible ,Positive
137, It is highly recommended for the Asteca Memorial Exhibition ,Positive
138, It was possible to walk around and the exhibition was good ,Positive
139, I went to the theater  watching performances If you go to the museum the parking fee is 2000 won ,Positive
140, A place I visit two or three times a year All of our history is there A good place to educate children It looks good if you go to the nearby Hangeul Museum and Yongsan Family Park together ,Positive
141, I think to myself when Im depressed good place to heal It feels like the soles of your feet are sticking together on the marble floor ,Positive
142,Lots of historical items in regards to south Korea and its technology development Its one bus ride that drops you off right in front of the multiple museums in that area Exhibition hall is free,Positive
143, I feel it every time I come here but the digital immersive cinema is the best ,Positive
145, When I was in middle school I visited a certain museum on a school trip but I guess I just looked around because I wasnt interested At that time I did not know where I was visiting and I was busy playing with my ,Neutral
146, so very nice place A place that makes me feel so good every time I come ,Positive
147,A must see when in Seoul,Neutral
148, There is a stamp collecting event until December so its better to go even if its hard because children will be watching with themes rather than vaguely boring viewings ,Positive
149,Nice museum Plenty to see Even had an Aztec exhibit,Positive
150, After visiting the Blue House I didnt have enough time so I went to the Zumagansan style It was my second visit after moving to Yongsan ,Neutral
151, On June 19 21 Taekwon flew and watched a musical with the youngest The fountain for children to play in is open every hour from the hour to 30 ,Positive
152, I visited to see a collectors invitation exhibition and it was good that the greenery was more abundant over the years and it was connected to the subway but I think it would be better if there were more trees You ,Positive
153, Without the courage of Chairman Lee Kunhee and Samsung how could we have been able to see such a wonderful work while we were alive ,Positive
154,You can look around history very easily and in detail Nice place to good education for kids specially Very spacious clean also they have wheel chair service You have to visit and see the real,Positive
155,National museum permanent exhibition had free entrance there will be audio option as well where as special exhibitions fee was 5000won Special exhibition mostly contained paintings,Positive
156,I am no history buff but definitely learned a lot on this trip The exhibits were very well curated We spent around 5 hours in total,Positive
157, I stopped by because I had some time left but it was unexpectedly good to see the work donated by Chairman Lee Kunhee It was a pity that I couldnt hear Yang Heeeuns narration due to wifi instability ,Positive
158, There is no entrance fee It was very large and spacious inside which was very nice They are displayed by era and the movement lines are drawn on the floor so it was very convenient to look around If you want ,Positive
159,Good museum Its not insanely big or anything Which there were more paintings and drawings A lot of pottery and ancient artifacts,Positive
160, Good I bought the souvenir design because it was so pretty  ,Positive
161,The musuem is very well managed with cleanliness and great view I love the atmosphere there Easy to access by bus,Positive
162,The outside area of the museum is beautiful and the inside exhibits of Koreas history are also great if youre into history and relics There were also multimedia displays and animations that completely transport you A lovely place to ,Positive
163,Free admission fee if you are not watching special ones and be aware of screaming children if you are visiting on weekend,Negative
164, After seeing the special exhibition Lee Kunhee and walking along the road to take a walk after going out It was nice to have benches where you can sit and rest and the trees are well ,Positive
165, It was good to take a walk in the surrounding park and many amenities were well equipped ,Positive
166, We visited the Childrens Museum It was nice to have a reservation in advance and to be able to enjoy it with a limited number of people ,Positive
167, Admission is free except for special exhibition halls spacious and nice ,Positive
168, Best weather the next day after rain The park is nice too ,Positive
169, Yongsan Family Park is also next to it so its good to run around with children ,Positive
170, Great to visit with kids and family Even if its not for educational purposes its also good for outings ,Positive
171, The square was spacious and cool and the musical performance Ariarari in the theater was so colorful and fun that I couldnt take my eyes off of it for even a moment  ,Positive
172,Great museum quite compact beautiful gardens and well thought out displays The restaurant was situated down and great food well priced I fell in love with the room of quiet contemplation,Positive
173,Great,Positive
174, The best museum in our country Its better because its free ,Positive
175, so very good Highly recommended just for the room of thought ,Positive
176,Some wonderful exhibits And fantastic architecture,Positive
177, The exhibition is fun and large so its good to look around like a park ,Positive
178, The infrastructure for the permanent exhibition hall and dining and rest areas is well established nice to spend time with kids ,Positive
179,Interesting historical exhibition worth to see and feel the past of Korea,Positive
180, There is a lot to see and it is always well maintained The parking fee is also cheap ,Positive
181, Parking lot is fine Viewing and facilities are fine ,Positive
182, I stopped by the private room and went to the Lee Kunhee collection  ,Negative
183,It is a great place to go and learn about the history of Korea There is so much to see and will require at least half a day if you want to explore around,Positive
