,STAR,CONTENT,SCORE,COMPOUND,VADER
0,5.0,Beautiful old village you should definitely try to wear an Hanbok while visiting this area its very fun,Positive,0.8805,Positive
1,5.0,So amazing place there house designs are very attractive Its the best when you wear hanbok You can freely take a picture but you cant speak so loud so that you cant disturbed peoples live there,Positive,0.8741,Positive
2,5.0,A nice clean and peaceful place to live Lots of generous people  I love being here and I love living here,Positive,0.9657,Positive
3,5.0,Walk around the culture in Seoul,Positive,0.0,Neutral
4,5.0,Village of old houses some are visited The architecture is remarkable,Positive,0.5574,Positive
5,5.0,Good like Kotagede Yogyakarta Indonesia,Positive,0.6597,Positive
6,4.0,Cute traditional town it is very uphill Cute little observatory at the top charge 5000 won entry but they include a drink,Positive,0.6956,Positive
7,5.0,Beautiful ancient house,Positive,0.5994,Positive
8,5.0,Place that is really worth the detour do not listen to the negative opinions The architecture is breathtaking,Positive,0.1263,Positive
9,5.0,Amazing place mustsee in Seoul,Positive,0.5859,Positive
10,5.0,Hard to climb but worth it,Positive,0.2846,Positive
11,4.0,Beautiful but better go to the north part,Positive,0.743,Positive
12,5.0,Breathtakingly beautiful You can just walk around alongside well preserved traditional houses You can even see Namsan tower when the sky is clear  Reminder you should use your inner voice as residents actually dwell in the houses,Positive,0.8442,Positive
13,5.0,Try to follow the trail through the village Beautiful traditional Hanok style houses,Positive,0.5994,Positive
14,4.0,I nice place to visit a short walk from Seoul Royal Palace Gyeongbokgung There isnt much but still quite worth seeing  To get to the main photogenic spot keep walking straight into the alley from the map marker where you go quite a bit up hill Theres also maps around the area that guide you though a route through multiple villages in the same area if you wish to see more  Theres a traditional dress both men and women rental shop down the road from the entrance to the alley which is quite a popular thing for tourists to do,Positive,0.9291,Positive
15,3.0,Underwhelming Maybe because it was raining,Negative,0.0,Neutral
16,5.0,A historic village that you can walk through and take pictures at Our group encountered a tourist helper and she gave us a map and a brief explanation on how to get around the village and the photo spots in it,Positive,0.34,Positive
17,4.0,Cool old part of the city We didnt have much time here and it was just really hot We also had a stroller with two kids and it was a lot of walking and hills The neighborhood is really cool though I would love to come back and take pics while wearing a hanbok,Positive,0.8439,Positive
18,5.0,A very beautiful place This is a residential area so when you walk down the street its better to talk in a whisper there was even a woman standing there and making comments You can go on foot by bike or something like a carriage But the place is hilly there are ups and downs You get great photos especially in hanboks,Positive,0.8989,Positive
