,STAR,CONTENT,SCORE,COMPOUND,VADER
0,4.0,a summer resort in the city,Positive,0.0,Neutral
1,5.0,2 expositions absolument divine en 2 heures Dont une sur la metahorizons Et lautre de Tim burton ,Positive,0.5574,Positive
2,5.0, Exhibition Name Tim Burton Special Exhibition Venue DDP Learning Center Design Exhibition Hall  Period 22430912 ,Positive,0.4019,Positive
3,5.0,Tim Burton exhibit was incredible Awesome place,Positive,0.6249,Positive
4,5.0, You can see everything about Tim Burton Great exhibition and wonderful from DDP We could see the building at the same time ,Positive,0.8316,Positive
5,2.0,Very confusing corridors xs where to go,Negative,-0.2944,Negative
6,5.0, A place to spend a cool day enjoying the design on a hot day ,Positive,0.6908,Positive
7,5.0, Ive never been there before but theres a lot more to see than I thought There are paid exhibitions such as the Tim Burton exhibition and there are also ,Positive,0.0,Neutral
8,5.0,A very interesting place at a busy area of Seoul so many options of cafes restaurants bars and stores around it Its thrilling to think that a baseball field once lied there instead of the DDP,Positive,0.5413,Positive
9,5.0, I went to the Tim Burton exhibition Its good to just watch the exhibition as it flows ,Positive,0.4404,Positive
10,5.0,art is subjective but i think most people will like the exhibitions and overall design of this plaza i like it thats why i rated it 5 ,Positive,0.8069,Positive
11,5.0,Its free and you can relax,Positive,0.7351,Positive
12,1.0,This is a very nice place and big surrounding many reknown shopping market,Negative,0.4754,Positive
13,5.0, I saw the Dali exhibition ate lamb skewers at a nearby Russian restaurant and ate dessert at a rolling pin ,Positive,0.0,Neutral
14,5.0,Very nice building it is world famous,Positive,0.4754,Positive
15,3.0, Its good to see but the bus access nearby is very disappointing ,Negative,-0.5844,Negative
16,3.0, I came here for the first time before seeing a movie at Dongdaemun Megabox But in the movie time I just go and look around ,Negative,0.0,Neutral
17,3.0, For firsttime visitors the building guide seems to be too confusing ,Negative,-0.2263,Negative
18,5.0,A great place to hang out and look at art exhibitions that may suit your taste,Positive,0.6249,Positive
19,5.0, It is a pleasant place with its exterior and interior architecture We went to the Tim Burton exhibit here Lets go  ,Positive,0.5106,Positive
20,5.0,Beautiful Architecture,Positive,0.5994,Positive
21,5.0, It takes over an hour from Suwon by public transportation An exhibition I watched with my daughter after a long time ,Positive,0.0,Neutral
22,5.0,Zaha Hadids masterpiece is a spectacle to watch Its just mesmarizing There are enough amenitis for every designer It facilitates and inspires For Seoul this magnifient architecture works as a global landmark,Positive,0.8074,Positive
23,5.0,Massive magnificently designed building with a few exhibitions inside the structure itself is the real showpiece here though at night it looks ever better,Positive,0.8074,Positive
24,5.0, Clean spacious and close to the subway  Going to see the Tim Burton exhibition there were a lot of people in the exhibition hall so it was crazy ,Positive,0.0094,Neutral
25,5.0,good place to visit,Positive,0.4404,Positive
26,5.0, There are practically no permanent exhibitions like the National Museum of Art in Tokyo there are only special exhibitions and the admission fee is expensive but beware of the price ,Positive,0.25,Positive
27,5.0,Its a free spot to go and check out a neat building They also hold exhibits there too Right now is tim burton until september of this year,Positive,0.743,Positive
28,3.0, It was good because there were no people It was very special to see the building design ,Negative,0.5709,Positive
29,3.0,Its more like museum and relaxing place Not much things to do,Negative,0.7178,Positive
30,4.0, It was good because it was close to the subway station but I thought that it might be a bit difficult for firsttime visitors to get in and out of it ,Positive,-0.3182,Negative
31,2.0, Two rooms were closed Location not very obvious as to discovery such as traffic Unclear layout and path ,Negative,-0.25,Negative
32,1.0, I paid 11000 won and it came out in 5 minutes Nothing to see I recommend it to people with a lot of money but I heard a lot of the air conditioner popping so it was great to hear so much ,Negative,0.8334,Positive
33,5.0,A visiter,Positive,0.0,Neutral
34,5.0,Very beautiful place ,Positive,0.6361,Positive
35,4.0,exceptional structure,Positive,0.0,Neutral
36,5.0, The photo zone in the basement is beautiful so its good to take pictures and its good to sit and talk ,Positive,0.8822,Positive
37,5.0, There was a sudden power outage because it rained a lot so I was embarrassed ,Positive,-0.4173,Negative
38,2.0,I dont know whats all the hype about this place To call a building futuristic or shaped like a spaceship is just another way of saying its not organized and easy to get lost in I didnt understand whats the point of this ,Negative,-0.2973,Negative
39,5.0,Very good experience  Visited for the Tim Burton Expo I was surprised in a good way ,Positive,0.8067,Positive
