,STAR,CONTENT,SCORE,COMPOUND,VADER
0,5.0, It is located in the basement of Lotte World Shopping Mall 2 and is easily accessible by getting off line 8 It is convenient as it has a restaurant on the basement floor and a shopping aquarium in one place ,Positive,0.34,Positive
1,5.0, Aquarium is always fun Until the end with a seal on top ,Positive,0.6249,Positive
2,3.0, Its honestly disappointing compared to the scale of the building Its small ,Negative,-0.0516,Negative
3,5.0,Just awesome with beluga,Positive,0.6249,Positive
4,5.0, It was nice to walk around coolly in the summer so there were a lot of people ,Positive,0.4215,Positive
5,2.0, childrens favorite place Its too bad because there are too many people Because its vacation the kids ,Negative,-0.128,Negative
6,5.0, Parking takes a while since its the weekend Even in summer the inside is cool It is spacious and there are many kinds to see ,Positive,0.3182,Positive
7,5.0,Excellent plan to come with friends or family Very beautiful and organized and its not expensive We paid 28 euros for 2 tickets,Positive,0.8999,Positive
8,4.0, The downside is that parking is expensive everything else was good ,Positive,0.2263,Positive
9,1.0, Feels like a mall in a small space It seems that the separation of space by theme is a bit lacking short of money ,Negative,0.3612,Positive
10,5.0,The aquarium was a wonderful experience Lots of different species to look through Had a good time,Positive,0.765,Positive
11,4.0, It was difficult because there were too many people Its worth going but you shouldnt go with too big a fantasy ,Positive,-0.0772,Negative
12,1.0, The space is too small for the size of the fish In particular the space where the sea lion show was performed seemed like a harsher space for sea lions ,Negative,-0.1779,Negative
13,5.0,It was a magical timethe animals all seemed to be happy too,Positive,0.5719,Positive
14,5.0,Wonderful ,Positive,0.5719,Positive
15,5.0,Surprised by the Aquarium Was a little packed to start but the Beluga whale was very cool to see,Positive,0.5913,Positive
16,4.0, Its hard to see even a 4 star beluga because of the lack of manatee ,Positive,-0.4019,Negative
17,5.0,Children like each other very much,Positive,0.3612,Positive
18,5.0, It was because there were a lot of people but I had so much fun playing with my children ,Positive,0.8158,Positive
19,4.0, It was a weekday and there were so many people But the kids liked it and had a lot of fun Especially the otter beluga and stingray are so cute ,Positive,0.9377,Positive
20,4.0, Good to go with kids 0801 Mon There were a lot of people Most of the visitors were families with strollers and children ,Positive,0.4404,Positive
21,5.0, Hello  I am disabled I went to the aquarium in Seoul Jamsil Station with my brother it was strange really good from 2021 July 19 to 2022 7 19 Look good ,Positive,0.6794,Positive
22,3.0, There are really too many people haha The fish are so amazing but there are too many people ,Negative,0.6037,Positive
23,1.0, Babies are all on the display frame and they are rich and lowreachingI have been watching all the children from all over the countryI will not visit again ,Negative,0.5574,Positive
24,4.0, It would be nice if there was a plan for activation such as consideration for visitors and events ,Positive,0.4215,Positive
25,1.0, I hope they pay more attention to comfort and consideration for visitors ,Negative,0.6444,Positive
26,2.0, not large in size Even on weekdays there are many children screaming or running around but parents do not stop them I was watching with my children in front of the aquarium first but I saw a group of strange ,Negative,-0.17,Negative
27,5.0, Yesterday from Busan to Yongin The beauty of Jamsil Lotte Aquarium To the mystery of indoor aquarium creatures ,Positive,0.5859,Positive
28,3.0, It was good It was good There are too many mites Its okay to go as a couple ,Negative,0.7717,Positive
29,4.0,Really crowded but it was beautiful,Positive,0.7469,Positive
30,5.0, You have to see Beluga from downstairs ,Positive,0.0,Neutral
31,4.0, Very nice and friendly aquarium well signposted cjemin spread over 3 floors if I remember correctly But even though it was amazing to see a narwhal it needs more space ,Positive,0.8758,Positive
32,4.0, Beluga is so cute It makes me feel comfortable just sitting and watching ,Positive,0.8001,Positive
33,5.0, There are dolphins beluga whales and experiences so there are plenty of things to see ,Positive,0.0,Neutral
