,STAR,CONTENT,SCORE,COMPOUND,VADER
0,5.0, After lunch at Mazesoba I went to Giordano then to Jo Malone and for dinner I went to Broxi and ate a burger ,Positive,0.0,Neutral
1,5.0, There is a lot to see and frequent I happened to stop by Gordon Ramsay Burger because there was no line but at a very wicked price the taste is okay More surprising than a hamburger is a Coke of 5000 won lol ,Positive,0.7876,Positive
2,5.0,Amazing Must see,Positive,0.5859,Positive
3,5.0, The Lotte Tower Observatory is the best Even on a cloudy day you can see Seoul at a glance There are several tourist attractions so it is worth visiting the observatory ,Positive,0.8467,Positive
4,3.0, Visited the day after the Gangnam area was flooded Something wasnt what I expected ,Negative,0.0,Neutral
5,5.0,Very nice view,Positive,0.4754,Positive
6,5.0,Breathtaking views,Positive,0.4588,Positive
7,5.0,Seoul is soul of asia ,Positive,0.0,Neutral
8,5.0,Without expectation will be good to visit If expect too much not sure I think if visit weekday will be better as this place is too crowded,Positive,0.5911,Positive
9,1.0, Hmm very disappointing There isnt much to see Each person may feel differently but there is no theme suitable for Seoul Sky and its in the middle ,Negative,-0.6183,Negative
10,5.0,Amazing By far the best observation tower I have ever gone up The views of Seoul were breathtaking Very spacious at the top and somehow we spent more than an hour up there If you want to have dinner at the very top around 50000 per person make sure you make a reservation in advance,Positive,0.9451,Positive
11,4.0, It was hard to find the place I wanted The first visit felt like wandering through a maze as the space was very spacious and the escalator and elevator connections were not easy The Seoul view from Sky was ,Positive,-0.0788,Negative
12,1.0,Seeing many people waiting for the  elevator  was   one i hate  and  without no seeing anything   from inside the elevator made me  unhappy and all the time that I being  forced to look up the celling creating various colorful lighting show ,Negative,-0.7515,Negative
13,5.0, The view of Seoul from the observatory is the best The windows also seem to be well maintained and the indoor lighting is not too much so there is no difficulty in taking night shots ,Positive,0.3477,Positive
14,5.0,High end luxury brands,Positive,0.0,Neutral
15,4.0, Shopping sights food entertainment allpurpose tower with just one shot ,Positive,0.4215,Positive
16,5.0, Even though I live nearby Im not interested so I didnt go there but I got a discount ticket so I went Its full of apartments around The feeling of seeing from a high place seems to be different from Namsan ,Positive,0.0312,Neutral
17,4.0, I go once twice wellj ,Positive,0.0,Neutral
18,4.0, Parking is a bit inconvenient but Sky Lounge is scary and fun ,Positive,-0.1406,Negative
19,5.0,The most beautiful view in all of Seoul,Positive,0.6361,Positive
20,5.0, An indescribable experience A great view and distant view The ride in the elevator was an experience ,Positive,0.6249,Positive
