,STAR,CONTENT,SCORE,COMPOUND,VADER
0,5.0,Nice village,Positive,0.4215,Positive
1,3.0, free Good for a walk The parking lot right in front costs more than 5000 won per hour ,Negative,0.8797,Positive
2,5.0, Right outside Chungmuro Station This is a hanok village ,Positive,0.0,Neutral
3,4.0,That was clean village and you know like village,Positive,0.6369,Positive
4,5.0, It was my first time in a large mansion so I really liked the fresh grand and pretty old house ,Positive,0.9029,Positive
5,5.0,Beautiful by night You even can get in the buildings to see the traditional interior and a set of beautiful paints,Positive,0.8316,Positive
6,4.0, It was nice to have an exhibition of my work A place that allows you to enter a designated area so you can see the work People wearing shoes What are they doing ,Positive,0.4215,Positive
7,5.0,Very nice and peaceful walk around the village while learning about the history and culture,Positive,0.762,Positive
8,4.0,old village,Positive,0.0,Neutral
9,4.0,It was very quiet when I went Great to walk around at a leisurely pace and explore,Positive,0.6249,Positive
10,5.0, A beautiful replica village from the Joson period Furnished to the last detail ,Positive,0.5994,Positive
11,4.0, Located near Chungmuro Station easy access and a place where you can enjoy elegant hanok in peace ,Positive,0.9136,Positive
12,5.0, A trip to Seoul for vacation It is good to take the city tour bus After a bit of rain it is green and green ,Positive,0.4404,Positive
13,5.0,Restored hanok houses nice walk,Positive,0.6369,Positive
14,3.0, Rather than taking the time to come there is something like this while walking If you want to go and see it it is a suitable place to go for a walk ,Negative,0.4215,Positive
15,5.0,20110525 Visited good attractions,Positive,0.6908,Positive
16,5.0, Very nice Well done pretty great ride ,Positive,0.9148,Positive
17,4.0,Good,Positive,0.4404,Positive
18,5.0, The weather was nice and I was able to learn about history and it was so good ,Positive,0.7609,Positive
19,4.0, Its wider than I thought I come here from time to time for various events Great for a walk too ,Positive,0.6249,Positive
20,5.0,Loved it,Positive,0.5994,Positive
21,3.0,It looks like its more sloppy than before,Negative,0.3612,Positive
22,3.0, It feels strange to appreciate the traces of the proJapanese ,Negative,0.2263,Positive
23,5.0,Multiple traditional homes were moved here to make this village Beautiful to see and educational as well Activities for kids make it a great family experience,Positive,0.8779,Positive
24,5.0, There is a small hanok under Namsan Mountain in Seoul Its a good place to be ,Positive,0.4404,Positive
25,5.0,Amazing tradition village well worth a visit,Positive,0.7783,Positive
26,5.0, It is located near Namsan Mountain in the city center This is a hanok village It is located 1 minute away from the subway ,Positive,0.0,Neutral
27,4.0, Senior Model Contest It was an unusually hot day but it was very crowded ,Positive,0.0,Neutral
28,5.0,a must visit place,Positive,0.0,Neutral
29,2.0, Tuho is made of plastic Jegichagi and top are cheap the streets are dusty sand and the door of the house is padded with urethane ,Negative,0.2023,Positive
30,5.0,Beautiful place,Positive,0.5994,Positive
31,5.0, It is a quiet healing A relaxing place in the city center good ,Positive,0.7269,Positive
32,5.0,A very attractive area of yesteryear with lots of history look at those houses and they are all livedin While walking along there are art galleries historic sites snack bars restaurants and who would not like to dress up to ware traditional clothes for a day,Positive,0.2693,Positive
