,STAR,CONTENT,SCORE,COMPOUND,VADER
0,5.0, There are various play experience halls so you can give your child a good experience I like it even more because there are various facilities in the park ,Positive,0.7783,Positive
1,5.0, Its always the best Stateoftheart facilities if not more than that Its a great place to have fun with kids for free or cheap ,Positive,0.9423,Positive
2,4.0, After the rain I went with my grandchild the weather is so hot I was bathed in sweat There is no entrance fee ,Positive,-0.296,Negative
3,5.0, Its good because its run by the country so you can enjoy various things for free Zoo botanical garden playground equipment playing in the water ,Positive,0.8876,Positive
4,5.0,Great spot for kids My 3 loved it Free to get in and you only got to pay for rides,Positive,0.8979,Positive
5,5.0, I went without expectations and it was so good The fountain water playground is open until August 15th I went in the morning and it was not hot and the water was clean ,Positive,0.7537,Positive
6,5.0,Great place for children and families,Positive,0.6249,Positive
7,4.0, When I went in the morning the line was short and I was able to ride a lot  ,Positive,0.0,Neutral
8,5.0,It is a good place to bring you children Lots of areas to explore,Positive,0.4404,Positive
9,5.0, Its perfect if you stop by the Childrens Grand Park and amusement parks at the Universal Art Center and play ,Positive,0.8555,Positive
10,5.0,If you looking for an amusement park maybe it is not a best choice But they have a great park including a zoo and a botanical gardenwhich are free,Positive,0.8926,Positive
11,5.0, Its a very old place Its a good place to look around and relax ,Positive,0.7003,Positive
12,5.0,As the name says truly a grand park for children It has got water fountains amusement park zoo museum futsal and many more things for children It has got wonderful passage with beutiful Cherry blossom on sideways ,Positive,0.9022,Positive
13,4.0, There arent many rides but its good to go out with children on a nice day I was worried because I had to walk a lot but when I was 5 or 6 years old I ,Positive,0.6956,Positive
14,5.0, Its great for an outing A large park in the city center where you can see so many different trees grasses and even animals ,Positive,0.6249,Positive
15,5.0, A wonderful park and zoo there is nothing to compare with yet Were here for the second time and a lot of impressions not only for children ,Positive,0.6808,Positive
16,5.0,good,Positive,0.4404,Positive
17,5.0,Entrance is free This is a large park with many things to do children It has a small but very fun one nice fast roller coaster and several bumper cars and a bunch of other smaller rides for children amusement park closes at 6 pm a ,Positive,0.937,Positive
18,5.0, Hot but nice place for a walk Group aerobics around 1800 Exercise Its amazing what youre doing and its cute ,Positive,0.9313,Positive
19,5.0, It is good to go with young children In summer there is a fountain show You can rent a stroller ,Positive,0.4404,Positive
20,5.0, There are various animals and it is good to go on a weekday outing ,Positive,0.4404,Positive
21,5.0, I think Ive been there before the 1988 Olympics but this time around its really nice for a family outing Its good for a leisurely walk and the zoo is free but the animals are diverse and the facilities are ,Positive,0.9252,Positive
22,4.0, Although the weather was hot we had so much fun at the zoo and amusement park There was a fountain and plenty of places to sit and eat ,Positive,0.7251,Positive
23,1.0,Too old roller coaster,Negative,0.0,Neutral
24,5.0, The ride at the amusement park isnt long and its boring ,Positive,0.0516,Positive
25,5.0, Animals are also gathered in one place so its nice to be able to see lions tigers elephants etc without walking much ,Positive,0.4728,Positive
26,4.0,It was an unplanned trip but its been a place worth going there are lot of animal Botanical garden water animals and so many others There is a guid who can tell you if you hire one Theres no littering around clean and neat,Positive,0.7964,Positive
27,5.0, Ive been there before and its so good The zoo was free and well maintained Everyone was fine except for the elephants The elephants were free and looked old so they looked a little sad ,Positive,0.8869,Positive
28,4.0, Admission is free but it was nice to see various animals  ,Positive,0.705,Positive
29,4.0, 20220605  I went there with my boyfriend after a really long time ,Positive,0.0,Neutral
30,5.0, Its good to see animals for free The aquarium is also better than expected ,Positive,0.8442,Positive
31,5.0, It is a place that gives the value of living in Seoul Good access to public transportation spacious and sufficient natural space and even the zoo Since its free it doesnt get any better than this Its perfect ,Positive,0.908,Positive
32,4.0, Its nice that its not as complicated as other large parks And the amusement park is for middle and elementary school students The cost performance is good for children to play but there is a waiting time ,Positive,0.6486,Positive
33,5.0, I waited a long time but it was so much fun There is also a zoo ,Positive,0.7066,Positive
34,5.0, Its free You can see many animals Parking is a bit expensive but the parking lot is spacious ,Positive,0.2846,Positive
35,5.0, delicious food fun rides botanical garden zoo very good for children to play ,Positive,0.9117,Positive
36,5.0, It is spacious and comfortable Beasts Our animals are sleeping whenever we go Zebras seem lonely too Seals swim vigorously ,Positive,0.3182,Positive
37,3.0, It is very complicated because there are two adults per child and I had to wait at least an hour and a half because the rides were crowded ,Negative,0.0,Neutral
38,5.0, Its a great way to spend time with your kids There is no entrance fee so you can visit the zoo and botanical gardens Its perfect when you dont have a place to go because you only pay for parking and its large ,Positive,0.7351,Positive
39,5.0, Its free and a great place for a family outing Animal watching ride on rides Indoor garden animal show playground fountain show ,Positive,0.8126,Positive
40,5.0,Good,Positive,0.4404,Positive
41,5.0, A wonderful inexpensive Luna Park a free zoo and a lot of all kinds of entertainment for children  you will find all this in the vast and beautiful Great Childrens Park ,Positive,0.9571,Positive
42,3.0, Very classic park for Korea a zoo is however notable but the size of the cages reminds me of the one there was at the time when we did not care about the welfare of animals ,Negative,-0.5334,Negative
43,5.0, I like to play with children Admission is free Lots of play areas such as zoos rides and dirt playgrounds ,Positive,0.802,Positive
44,4.0, Everything is good except parking The zoo is free and seems more reasonable than other rides ,Positive,0.7351,Positive
45,4.0,Went on spring season Weather was still chill but still lot of people will be walking eating or having a picnic in the grass of the park If you walk enough you may find a Zoo free entry which I didnt like much cuz I can see the trauma that the animals have by being in a small place The park good the zoo not so much,Positive,0.4469,Positive
46,5.0, It used to be a space for children but now it has been transformed into a space that can be used by people of all ages It still welcomes us as it was in the past and is full of memories when we were young and sat on ,Positive,0.5499,Positive
47,4.0, It is good to use the zoo and amusement facilities in Seoul together ,Positive,0.6597,Positive
48,3.0, Its been a long time since Ive been here but the weather was nice and it was so good ,Negative,0.8693,Positive
49,5.0,And for free too Super fun for the kids,Positive,0.8885,Positive
50,5.0, Great place to work out and play There is also a full parking lot a place where you can use a replacement chair ,Positive,0.7579,Positive
51,5.0, I went there with my children on Sunday May 23rd The amusement park isnt very big so I let my 1st middle school daughter and 5th grader son play as they like and the adults rested in the shade The zoo is ,Positive,0.7506,Positive
52,5.0, Childrens Grand Park which I have been with my family for a long time has been in operation for a long time but the managers work hard to keep it in the best condition ,Positive,0.802,Positive
