,STAR,CONTENT,SCORE,COMPOUND,VADER
0,5.0, Free admission It is the best place for education on a hot day ,Positive,0.8176,Positive
1,3.0, It seems too old The facility seems to be in urgent need of repair Thats sad ,Negative,-0.3182,Negative
2,5.0, Even if its not an exhibition theres a lot to see We recommend that you use a program that explains it as much as possible War history is really interesting ,Positive,0.1513,Positive
3,5.0, It is exhibited in great detail about the 625 War and the footsteps of foreigners do not stop ,Positive,0.2705,Positive
4,4.0, The street is a bit noisy as the Blue House goes to Yongsan but the museum is good ,Positive,0.5423,Positive
5,5.0,Its free which is already 5 but such a rich place to learn about history please go It is very important to this country,Positive,0.9125,Positive
6,5.0,Amazing history here Learned a lot,Positive,0.5859,Positive
7,5.0,Very high quality and free Great videos available in many languages Could spend 4 hours if you looked at everything,Positive,0.8126,Positive
8,5.0, touchable can feel war in history ,Positive,-0.5994,Negative
9,5.0, Police Soldiers UN Soldiers The dense names make me gloomy ,Positive,-0.1531,Negative
10,5.0,Really amazing place much too see and do Free entry for so much A great day full of I information and history,Positive,0.9148,Positive
11,5.0,Very nice museum covering all wars Korea involved from history to modern age,Positive,-0.1298,Negative
12,5.0, It was bigger than I thought and it was amazing and I think it is a good place to come with children ,Positive,0.7717,Positive
13,5.0, I went to the War Memorial of Korea to see the exhibition It was good to know the history of Korea again ,Positive,-0.25,Negative
14,5.0,A lot of retired weapons from ROK and allied forces were on display I had never seen such a sight before ,Positive,-0.4404,Negative
15,5.0, As an adult I have a lot to see and learn Kids love airplane missol tinks I feel like the exhibits are somewhat overlapping ,Positive,0.7717,Positive
16,5.0, An excellent museum dedicated to the history of Korea I recommend ,Positive,0.8481,Positive
17,5.0, The war memorial occupies a very large area The 2nd floor is 625 Dongran Building On the 3rd floor the dispatches to Vietnam and overseas dispatches to the ,Positive,-0.5994,Negative
18,5.0,Awesome place Must visit,Positive,0.6249,Positive
19,5.0, Clean and quiet exhibition hall Its busy on weekdays but its good There are a lot of people protesting just before the Blue House ,Positive,0.25,Positive
20,5.0,very good very clean Very tasty very friendly,Positive,0.8808,Positive
21,5.0, The exhibits have been greatly improved Good for children good coffee ,Positive,0.8581,Positive
22,5.0,Loved this place So much information you could spend hours there And its free,Positive,0.802,Positive
23,5.0,Honors for those sacrificed for the country,Positive,0.5106,Positive
