,이름,별점,리뷰,날짜
0,JHL,5.0,"Gyeongdong Market is famous for its fruit sellers and low prices. The fruit zone is really huge and lively. You can find various kinds of Korean fruits and imported fruits. However, be careful. There are dishonest sellers giving lower quality fruits than samples. So, you should check before paying especially purchasing as a box. Also, there are many others like ginsengs, vegetables, grains, seafoods, etc.","Written March 6, 2020"
1,Perry B,4.0,"This was a great place to drop by at - and my friends and I could search through piles of ginseng etc,.. and amuse ourselves constantly with our serendipitous finds!","Written December 23, 2019"
2,TrudiC44,4.0,"We wandered down this street not knowing in advance what it was. Absolutely fascinating! Not until later were we informed this is the largest herbal medicine market in Korea. Had no idea of most of what we were looking at, but it really didn't matter. It is a traditional Korean market, and that's what mattered. We also found fruits here as well as medicinal herbs. And volcanic rock from Jeju Island.","Written November 14, 2019"
3,bigtupai,5.0,"Very huge ginseng market where you can smell the ginseng odor once you come out from metro. Some owners speak chinese but mostly cannot understand english. I bought many ginseng, cheap and expensive ones and when cook you can notice the flavour straight away. Further down, fruits section where you can find many kinds of local fruits.","Written October 22, 2019"
4,nyavtech,4.0,"We went to Gyeongdong Yaknyeong Market looking for ginseng, and ginseng is what we found and much more. Ginseng came in different varieties from fresh sitting in baskets on the ground to dried in vacuum packed and boxed or the more expensive varieties in tins. It was considerably cheaper than in stores.  But the market also offers so much more including dried fish, squid, seaweed, as well as vegetables and fruit, all at very reasonable prices. The market itself was extremely clean and well organised, well worth a visit.","Written April 28, 2019"
5,JHL,4.0,"This is a huge traditional market for truly local people's sake. It'll be a good time to experience a Korea's market.  - The location is a walkable distance from Cheongnyangni or Jegidong.  - I recommend buying fruits here. Fruits are comparatively expensive Korea. But, here is cheaper than many other places.  - There are also other fine products. Take a look first and pick the best one after.","Written June 3, 2018"
6,jasonteh7,3.0,"Went for the novelty of it, realized every store was selling more or less the same stuff. And every shop we walked past, the owner will come and badger us into making purchases.  We ignored most of them until we came to one where the owner didn't harrass us. Bought ginseng and ginseng tea for quite reasonable prices  However, as we left the other store owners were like staring and judging us so we decided to make a quick getaway.","Written May 4, 2018"
7,Havenq,5.0,"I came here via the subway to Jegi-dong station. As you walk tap out of the gantry area, you will be mesmerized by all the different herbal medicine displayed in the station as you access Korea's traditional herbal market. It was a truly local experience there, with very affordable herbs and groceries you can find. Most of the people you see there are ahjummas (aunties), and I could barely see any young people my age. There weren't a lot of tourists around that area, and certainly the cultural experience is very much enriching. There was a really kind ahjumma I met along the way, she was actually selling some grains such as barley and buckwheat, her stall was located near to the exit of Jeji-dong station. I was conversing with her in Korean, I actually wanted to buy some grains from her but she refused to accept my money since I was a student (that feeling of 'paiseh' is real). I managed to buy some very cheap fresh ginseng there for about 12,000 krw for 300g. The place do sell groceries as well, with berries like aronia, blackberries, and blueberries in very huge boxes. At the same time, you could enjoy lunch there as well with food like cold buckwheat noodles and sikhye rice drink for a true local experience.","Written May 17, 2017"
8,Quang Kiet Le,5.0,"Overall it was a 5-star shopping experience for my family. The market was not too far from Jegi-dong subway station and selling variety kinds of herbs, from dried ones to fresh ones. We loved the ginseng zone especially. We also bought fresh strawberry, chestnut and dried persimmon which was delicious and cheap! Another good thing about it: we could bargained to get some better price, and there was not too many tourists there! Awesome!","Written April 24, 2017"
9,Donna B,5.0,This was amazing place to visit so much to see. One of my favorites was the mushrooms there were so many varities.,"Written February 24, 2016"
