,이름,별점,리뷰,날짜
0,Traveller of the world,3.0,I am not one for markets. I came as it is apparently one of the largest and that it certainly was! We got lost. Local junk. There was nothing good apart from the odd boutique jewellery store. Nice to see the locals and absorb the atmosphere. Some parts were not that clean.,"Written May 30, 2022"
1,Gigi C,4.0,"Fun place to walk around and shop. Dedicated sections for clothing, baby goods, luggage, camera shops etc. I came for the kalguksu bibimbap alley and the grill fish alley. There are red angels ( tourist ambassadors in red uniform) standing at major intersections for questions. Great place to get a flavor of local culture.","Written May 14, 2022"
2,AuthurTommy,3.0,"It's not so easy to track if it's first time. Little unmanagement, crowded and messy. However for experience Korean market is okay than really shopping.","Written August 31, 2020"
3,rememr,3.0,Went here mainly to buy dried food such as the famous freeze dried strawberries and cuttlefish from Seoul Sanghwae. The market also sells various trinkets such as jewelries. Myeongdong is also a walk away.,"Written August 10, 2020"
4,DanN1969,5.0,"I could spend days browsing through Seoul's famous Namdaemun Market, because they have everything, and it's Korean style. All from souvenirs, through food, snacks and beverages to wholesale. And all the way through, you meet smiling people. If you don't have days to spend there, at least give it a try of a few hours, it's worth it. And one more thing; It's clean, nice and clean and nice. Don't miss it if you're in Seoul.","Written March 5, 2020"
5,Janet1016,4.0,"My husband, son and I visited Seoul, South Korea for the very first time the end of January. Our Hotel, the Tmark Grand Hotel, was within walking distance of the Namdaemun Market and we visited it numerous times over the course of the week we were there.  I'm not a big shopper but I am a foodie and we ate in a couple of restaurants in the Market as well as sampling some of the street foods and I also purchased some Honey Butter Almonds, which are a very popular foodie souvenir to buy when in South Korea, at a lower price than if you go to an actual shop that specializes in them (of which there are MANY). :)  I love Night Markets. Coming from Canada I can't get enough of them when I visit Asia. Everything looks so FOREIGN! LOL! I saw all manner of fresh fruits for sale, spices, clothing, foodie treats, and much, much more.  The Market, which is the largest traditional Market in South Korea, has over 10,000 vendors, retailers and wholesalers. It is a dense maze of stalls and restaurants. One night while we were looking for a spot to get some dinner we came out of a back alley to be faced with a stunning Old City Gate right across the street which turned out to be Sungnyemun Gate, South Korea's #1 National Treasure. You honestly never know what is going to be around the next corner.  Merchants have been selling items near this location since 1414 AD!!!!! There is an information booth with people in it that do speak some English which is super helpful. They also have free maps so you can orient yourself. We went to the Information booth one evening for a restaurant recommendation and were pleased.  Just go wander.....it's uber fun!","Written February 27, 2020"
6,Culinary-Consultants,5.0,"Dear colleague travelers, here I leave you a review for the one and only market worthy of a visit in Seoul: The Namdaemun Market. Filled with excitement, strange and curious things, lots of interesting street food, raw food ingredients, music, clothing, souvenirs and its booming with people.  Still the rule of South Koreans is not to understand a word of English; but in this market like everywhere in South Korea; be ready for price rise as soon as they see you coming and being a non-Korean. Speculation is in the air.  Most of the things you'll be able to buy when it comes to clothing and souvenirs; is cheap worthless Chinese crap. But concentrate on the raw products and on the street food. At least prices are exposed and the prices are the same for foreigners and locals alike.  Just walk around (watch your pockets) as there are some suspicious persons in the area. Don't spend much (you will be tempted) but remember most of the souvenirs globally are cheap Chinese products that you'll end up throwing away.  In Korea you need to concentrate on walking a lot as there is plenty to walk, take fresh air, don't spend on garbage, have some curious food and the points of Interest are to be museums, palaces and all related to this activities. (museums and monuments, places, etc are really cheap). This is my advise.  We recommend this market as the ONLY one worth. The rest is just copy and paste.","Written February 1, 2020"
7,Thetravelsaint,5.0,"Must visit. Nice and busy market. Get yourself a signature stamp, facial masks, sock (and more socks) and stuff. Good food on the go as well plus a beer to keep your sanity. Sops inside and outside. Highly recommended.","Written January 27, 2020"
8,Talitha M,3.0,"Mostly shops and a lot are the same. Lots of clothes, socks, bags, etc. Some streetfood. Try the dumplings!","Written January 20, 2020"
9,Bob B,5.0,"Can't find that one thing or forgot something -- this is the market for everything and more. You will love it -- and never, never bored (but does get busy after 10 a.m.).","Written January 9, 2020"
10,Jigdrel T,4.0,"A very busy market. It is interesting to keep you entertained. Only problem is communication barrier. Koreanshardly speak English, becomes a problem especially when you are in the restaurants eating.","Written January 9, 2020"
11,Kira Yvonne Lim,2.0,"It was supposed to be a ""treat day"" for the kids to go to the toys street but to our horror, there were NO TOYS!  Needless to say, the kids were utterly disappointed & so were the adults.","Written January 8, 2020"
12,Abbydelight,5.0,"A local market where you can find many shops selling souvenirs, snacks and fashion. It includes many streets with different zones. Enjoy strolling along the streets.","Written January 6, 2020"
13,Joseatstheworld,3.0,"If you live in a country where there is no big markets stalls like this, then this may be an interesting place to visit.","Written January 4, 2020"
14,soul p,2.0,"This is a market mainly focused in optical products, knock off clothes and not very authentic souveniers that are made in China. Go to Gwangjang Market if you are looking for some street foods, Go to Myeongdong if you are planning to do some shopping. Worth a visit if you are trying to get yourself a new pair of glasses, but you will probably be overcharged if you are a foreigner. Bring one of your Korean friends. Since it is very close to Myeongdong maybe a 30 min quick stop would not harm you if you do not expect too much.","Written January 3, 2020"
15,Nor Hafizah,4.0,"The place was packed with stalls selling clothes, food, souvenirs. They are lot cheaper than at Myeongdong. The food is much on the street food options. Try the egg bread, or the hotteok.","Written January 1, 2020"
16,Cory T,3.0,"Nothing special about this particular market, probably a bit more exciting at night but none of the stores are particularly unique or interesting. I am sure you can find more lively markets out there.","Written December 31, 2019"
17,Bulldogmom15,3.0,We came here thinking it would be more like the Myeongdong shopping area. It’s not terrible but just wasn’t what we expected. It is a great place to buy souvenirs for cheap.,"Written December 30, 2019"
18,Jaz P,5.0,Great place to shop. Tons of people from different countries. On the spot money exchange. Yummy street food. Shopping off the street and can readily bargain.,"Written December 28, 2019"
19,Adrian Lee,5.0,"Cruising to the evening in the night market if Namdaemun Market, where they are lots of cheap soveniors yo buy. There are many souvenirs from winter clothings, socks, magnets, light snacks and even cafes around the corners of this night market. There are many locals handmade crafts and design made in here by the korean itself. Lovely stroll in the evening. ☺️☺️☺️","Written December 27, 2019"
20,Wanttoseetheworld,5.0,"Went to numerous street markets in Seoul and the best bargain I would say is Namdaemun market. Do take exit 5 once exit mrt so you will see the food before the shopping. Manage to find a shop selling 14 pairs of socks for 10,000 won. After shopping around Namdaemun market you can walk over to lotte mart Seoul station which is about 10-15 mins walk away.","Written December 25, 2019"
21,Tom Slenderina,4.0,"Love this place cause it got everything. I went in December and it was cold but not snowing but still my body couldnt stand the cold. I got a jacket here which costed me less than i would have bought it somewhere else, which i wore throughout my stay. They ve got pans, kitchenwares, knickers, jewelleries, etc. You got to go there to see for yourself. For me it was worth the visit.","Written December 23, 2019"
22,2824,5.0,"Visited the traditional market which sell traditional Korean cooked food, fresh food and other items like electrical appliances and clothes. Tried the dumplings, fried tempura, corn dog and others. Food was fresh and delicious. Definitely worth a visit.","Written December 23, 2019"
23,Vanessa Tan,5.0,"It is somewhat like dongdaemun. But nearer to Myeongdong, right beside Shinsegae department store. We encountered snow whil shopping there. Price of stuff are relatively similar to Myeongdong but higher than dongdaemun.","Written December 22, 2019"
24,esquire838,4.0,"It is at Hoehyeon Station and not far from Myeongdong. Rows and rows of alleys between shops where traders peddle all kinds of goods. If you are on a budget and ran out of ideas what to buy to bring home, a visit to this place will soon get you planning what you shall buy for whom.  Do go in the morning as traders have this belief that securing the first sale early bringeth luck for the rest of the day (urban legend?) but have the fun of bargaining for your loot. All for a steal.  And since you are already there do visit the underground mall as well.","Written December 21, 2019"
25,Ghigie,4.0,This market is ideally located and can easily be found . It is long stretch of market stalls that would fit everyone's liking. Prices here are affordable compared to other markets i've been to in Seoul. Vendors may not speak fluent English but will still accommodate every buyers inquiries.,"Written December 15, 2019"
26,NW_T,2.0,"I spent a week in Seoul about 3 years ago and would stop by this market to grab some freshly deep fried red bean buns etc. for my morning walk up namsan park.  Because I fly through ICN a number to times a year, when I have a long enough layover, would head into the city for a quick hike and revisit of the market.  Have been quite disappointed the last 3 visits this year. The same vendors that were friendly and smiling are no longer. And have become short and abrupt.  The first time, I chalked it up to an off day. We all have those. But 3 times within 6 months, don't think it is a coincidence anymore.  I don't know if it is because they have become tired of tourists or something else. But it leaves a bad impression and I won't go back.  The young people who walk around as ambassadors of the market are still very friendly and helpful.","Written December 8, 2019"
27,Sal F,5.0,"this is one of your must-dos if you visit Seoul, the people, the food and the collies. easy to get to. That’s where you experience the Korean life.","Written December 7, 2019"
28,Aimilia,4.0,"Namdaemun Market is the largest traditional market in Korea with shops selling various goods. All products are sold at affordable prices. Namdaemun Market sells a variety of clothes, glasses, kitchenware, toys, mountain gear, fishing equipment, stationery, fine arts, accessories, hats, carpets, flowers, ginseng, and imported goods.","Written December 4, 2019"
29,Lovellynn,5.0,"If you want to experience street food, go on weekends, day time. The small roads are closed.. That is my findings while in Seoul in early Nov-19. (Landed on Saturday night.. Went to this lively marketplace on Sunday morning. When returning on Wednesday, the road is opened to vehicles and no more street stalls.)  I started my trip at Namdaemun subway exit 5. Right at the exit is a fruits and vegetable store that selling items at wholesale price.. At least the strawberries I bought there is way cheaper (& sweet!!) than in Myeongdong and all other areas. (Imagine 6000krw at Namdaemun vs 12000-20000krw for a pack of 32 strawberries selling elsewhere.)  Walk down the streets and get the street food first.. Solely window shop down the street.. You will discovered the pricing of same things is getting cheaper when going deeper into the market..","Written December 2, 2019"
30,Meyung R,5.0,"This is my fourth year’s pilgrimage to Namdaemun market’s multitude of food alleys: before starting my ritual of bargain hunting, I made sure to follow the aroma of grilled fish. And oh, what a marvel that was! The egg soufflé was amazingly light, and on any given day, there must be 4 different fish on offer. No menu, no fuss, just find an empty stool and enjoy your lunch, for less than 10$! Heaven on earth!","Written November 30, 2019"
31,haroldgoh,4.0,Always enjoyed walking and bustling with the crowds for good food and shopping. Namdaemun market just grows into me with her charm of eclectic mix of goods and awesome food choices.,"Written November 30, 2019"
32,Faismoh,4.0,This market was recommended by my hotel staff after I complained about the somehow expensive prices at the malls and it didn’t disappoint. Not only is it a good shopping experience but it is a good place to interact with the locals and offers a wide range of street food. I totally enjoyed the experience,"Written November 27, 2019"
33,Matt,2.0,"Most people have said on the internet that you can shop here until the wee hours of the morning, but be warned that vendors DO pack up at 8 or 9PM and then it becomes a dead zone, I have tried going 4 times at night and this is the result, it is best to go during the day.","Written November 15, 2019"
34,SGPTaiTai,4.0,1. 40 minute wait in mid- afternoon for savory vegetable hotteok located just across from Courtyard by Marriot NDM was worth it! Greasy but oh so tasty. Likened to Chinese Scallion pancake. Nice.  2. Shop for prescription glasses or sunnies in the many spectacle shops at the market. Prices and styles are very competitive. We settled on Polaris Spectacles shop where we found the English- speaking Mr Kim to be very patient and attentive. A pair of Varilux progressive lens which would have cost me SGD 350 back home cost just half the price here. And it took just 4 working days to get them ready for me.,"Written November 10, 2019"
35,BillyK1980,3.0,Came here at night and couldn’t find the food alley. I walked around everywhere and couldn’t find it. Finally got internet and found it was north of the market,"Written November 9, 2019"
36,christianreistrum,4.0,"This place is worth looking at. Especially the jewelry building with hundreds of small shops. Anyways, not really a place where I would go shopping","Written November 9, 2019"
37,daywang,5.0,"I spent a couple of hours in Namdaemun Market. There are numerous small shops there. You can find many souvenirs and odds and ends there. Don't forget to bargain. The vendors won't be offended by this. Remember, this is not a food street. It is a place for buying/selling stuff. The prices are cheaper than those in more formal stores.","Written November 8, 2019"
