,NAME,STAR,CONTENT,DATE
0,Jungsub KGLab,4,a summer resort in the city,24 minutes ago
1,Thibault Vernochet,5,2 expositions absolument divine en 2 heures Dont une sur la metahorizons Et lautre de Tim burton ,13 hours ago
2,FISHGARDEN,5, KoReAn   KoReAn   KoReAn ,14 hours ago
3, KoReAn ,5,,17 hours ago
4,gands74,4,Translated by Google Great place to go when its raining  Original  KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn ,a day ago
5,DH Lee,5,Translated by Google Exhibition Name Tim Burton Special Exhibition Venue DDP Learning Center Design Exhibition Hall  Period 22430912 ,a day ago
6,Ryan Hearing,5,Tim Burton exhibit was incredible Awesome place,a day ago
7, KoReAn ,5,,a day ago
8,khm,5,,a day ago
9, KoReAn ,5,,a day ago
10, KoReAn ,5,Translated by Google Theres a lot to enjoy  Original  KoReAn   KoReAn ,a day ago
11, KoReAn ,5,Translated by Google You can see everything about Tim Burton Great exhibition and wonderful from DDP We could see the building at the same time ,2 days ago
12, KoReAn ,2,Translated by Google Very confusing corridors xs where to go  Original ,2 days ago
13, KoReAn ,5,Translated by Google A place to spend a cool day enjoying the design on a hot day ,2 days ago
14,Hyein Kong,5,Translated by Google Ive never been there before but theres a lot more to see than I thought There are paid exhibitions such as the Tim Burton exhibition and there are also ,2 days ago
15, KoReAn  (SonPANG),5,,3 days ago
16,Douglas Puchowski,5,,3 days ago
17,chang seok li,4,,3 days ago
18,Cristiano Souza,5,A very interesting place at a busy area of Seoul so many options of cafes restaurants bars and stores around it Its thrilling to think that a baseball field once lied there instead of the DDP,3 days ago
19,Tjen Fung Tjiu,5,,3 days ago
20,Bonghan Kim,5,,3 days ago
21, KoReAn ,5,Translated by Google I went to the Tim Burton exhibition Its good to just watch the exhibition as it flows ,4 days ago
22,DaRealDanny,5,art is subjective but i think most people will like the exhibitions and overall design of this plaza i like it thats why i rated it 5 ,4 days ago
23, KoReAn ,1,,4 days ago
24, KoReAn ,5,,4 days ago
25, KoReAn ,5,,4 days ago
26,Trouble jeff,5,Translated by Google Spacious and lots of exhibitions  Original  KoReAn   KoReAn   KoReAn   KoReAn ,5 days ago
27, KoReAn ,5,Translated by Google Zaha Hadids Perfect Architecture  Original  KoReAn   KoReAn   KoReAn   KoReAn ,5 days ago
28,blue sky,4,Translated by Google Connected to Exit 1  Original 1 KoReAn   KoReAn   KoReAn ,5 days ago
29,Salman Khan,4,,5 days ago
30, KoReAn ,4,,6 days ago
31,Halid Yldrm,5,,6 days ago
32,,5,Translated by Google Its free and you can relax  Original ,6 days ago
33, KoReAn   ,1,This is a very nice place and big surrounding many reknown shopping market,6 days ago
34, KoReAn ,5,Translated by Google I saw the Dali exhibition ate lamb skewers at a nearby Russian restaurant and ate dessert at a rolling pin ,6 days ago
35,Albert Liu,5,,6 days ago
36,vera,3,,a week ago
37, KoReAn ,5,,a week ago
38, KoReAn  ( KoReAn ),5,Translated by Google There are many things to see  Original  KoReAn   KoReAn ,a week ago
39,ROM IZ,5,,a week ago
40, KoReAn ,4,,a week ago
41,Naroxik _,5,Translated by Google Very nice building it is world famous  Original ,a week ago
42, KoReAn ,5,,a week ago
43,STEIN 24,5,Translated by Google Going at night was prettier and better  Original  KoReAn   KoReAn   KoReAn   KoReAn ,a week ago
44,mini,5,Translated by Google DDP with various attractions  Original  KoReAn   KoReAn   KoReAn  DDP,a week ago
45,SeungHoon Cho,3,Translated by Google Its good to see but the bus access nearby is very disappointing ,a week ago
46, KoReAn ,3,Translated by Google I came here for the first time before seeing a movie at Dongdaemun Megabox But in the movie time I just go and look around ,a week ago
47,Chad Ross,5,,a week ago
48, KoReAn ,4,,a week ago
49,YunSang Han,3,Translated by Google For firsttime visitors the building guide seems to be too confusing ,a week ago
50,Alifian Windi Prakoso,5,A great place to hang out and look at art exhibitions that may suit your taste,a week ago
51,dong100 mapadubu woo,5,,a week ago
52,Veli Ta,5,Translated by Google It is a pleasant place with its exterior and interior architecture We went to the Tim Burton exhibit here Lets go  ,a week ago
53, KoReAn ,4,,a week ago
54,Youngeun Park,5,Translated by Google Let go while playing chair swivel  Original  KoReAn   KoReAn   KoReAn   KoReAn ,a week ago
55,Barj,5,Beautiful Architecture,a week ago
56, KoReAn ,3,,a week ago
57,Forever Kim,4,,a week ago
58, KoReAn mimerra,5,Translated by Google It takes over an hour from Suwon by public transportation An exhibition I watched with my daughter after a long time ,a week ago
59,So Nia,5,,a week ago
60, KoReAn ,4,Translated by Google The entrance guide is unfortunate but convenient  Original  KoReAn   KoReAn   KoReAn ,a week ago
61,Asif Hasan (Zeshan),5,Zaha Hadids masterpiece is a spectacle to watch Its just mesmarizing There are enough amenitis for every designer It facilitates and inspires For Seoul this magnifient architecture works as a global landmark,a week ago
62,AROUND THE WORLD,5,,a week ago
63,Reece Gounden,5,Massive magnificently designed building with a few exhibitions inside the structure itself is the real showpiece here though at night it looks ever better,a week ago
64, KoReAn  ( KoReAn ),5,Translated by Google Its the best summer getaway  Original  KoReAn   KoReAn   KoReAn ,a week ago
65,M P,4,,a week ago
66,Hayuri Na,5,,a week ago
67,ms p,5,Translated by Google Clean spacious and close to the subway  Going to see the Tim Burton exhibition there were a lot of people in the exhibition hall so it was crazy ,a week ago
68,Dilip Ramanathan Shivkumar,5,good place to visit,a week ago
69,Chobo Kami,4,,a week ago
70, KoReAn ,5,Translated by Google There are practically no permanent exhibitions like the National Museum of Art in Tokyo there are only special exhibitions and the admission fee is expensive but beware of the price ,a week ago
71, KoReAn ,3,,a week ago
72,HK K,4,,2 weeks ago
73, KoReAn ,4,,2 weeks ago
74, KoReAn ,4,Translated by Google I went to the exhibition and it was good  Original  KoReAn   KoReAn   KoReAn   KoReAn ,2 weeks ago
75,Jason Moon,5,,2 weeks ago
76,Adla Filounov,5,,2 weeks ago
77,bs 000sb,5,Its a free spot to go and check out a neat building They also hold exhibits there too Right now is tim burton until september of this year,2 weeks ago
78, KoReAn ,5,Translated by Google Very good  Original  KoReAn   KoReAn ,2 weeks ago
79,yongseok Chang,5,,2 weeks ago
80, KoReAn ,3,Translated by Google It was good because there were no people It was very special to see the building design ,2 weeks ago
81,Pyae Sone Khin,3,Its more like museum and relaxing place Not much things to do,2 weeks ago
82, KoReAn ,4,Translated by Google It was good because it was close to the subway station but I thought that it might be a bit difficult for firsttime visitors to get in and out of it ,2 weeks ago
83,Bill Jinny Seo,4,,2 weeks ago
