,NAME,STAR,CONTENT,DATE
0,i W,5,,6 hours ago
1, KoReAn ,2,,16 hours ago
2, KoReAn ,5,Translated by Google I went to an autograph session for writer Shin Kyungaes book Strange Albergue The cradle of knowledge When you come here you come across various ideas and logics I personally ,18 hours ago
3,Sunmi Lee,5,Translated by Google I love you  Original  KoReAn   KoReAn   KoReAn ,23 hours ago
4, KoReAn ,5,Translated by Google Easy to find and friendly staff  Original  KoReAn   KoReAn   KoReAn   KoReAn   KoReAn ,a day ago
5,Yummy House,5,,a day ago
6, KoReAn ,5,,2 days ago
7, KoReAn ,4,,2 days ago
8,Sam,5,hwang hyunjin from stray kids was here and he talked about this book store then i searched for it and saw it so amazing,2 days ago
9, KoReAn ,4,Manybookorder,2 days ago
10,Asia-Pacific HJ CheonBo Branch,5,Good place,2 days ago
11, KoReAn ,5,,2 days ago
12, KoReAn ,5,Translated by Google Good time to spend  Original  KoReAn   KoReAn   KoReAn ,2 days ago
13, KoReAn _Marinara,4,,2 days ago
14,Ryan D,4,,2 days ago
15, KoReAn ,5,,2 days ago
16, KoReAn ,5,Translated by Google They sell a variety of items so its fun to browse  Original  KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn ,3 days ago
17, KoReAn ,5,,3 days ago
18,Hyeok Jin Yang,5,Translated by Google wide Ha ha ha  Original  KoReAn   KoReAn ,3 days ago
19, KoReAn ,5,Translated by Google I think it might be a business that best expresses the charm of a large offline bookstore ,3 days ago
20, KoReAn ,1,,3 days ago
21,Bohyeong Kim,5,Translated by Google It is spacious and has a lot of books and a lot of various things ,3 days ago
22,p KoReAn ,5,Translated by Google The  Original  KoReAn   KoReAn ,3 days ago
23,P KoReAn ,5,Translated by Google The overwhelming smell of Kyobo from the entrance makes me calm You can have a great time The sections are well divided ,4 days ago
24, KoReAn ,5, KoReAn ,4 days ago
25,Tony TV,5,,4 days ago
26, KoReAn ,5,Translated by Google warehouse of daily bread  Original  KoReAn   KoReAn   KoReAn ,4 days ago
27,romantic moments,5,,4 days ago
28, KoReAn ,4,,4 days ago
29,mk hong (hongmie),5,Translated by Google All kinds of books stationery computer equipment and even the atmosphere of a bookstore  If you go to the Paris Croissant on the 1st floor and eat brunch on the weekend you feel like you had a good weekend ,4 days ago
30,BJ K,4,,5 days ago
31, KoReAn ,5,Translated by Google A place I often visit A comfortable and happy feeling with various books and old memories is the place ,5 days ago
32,ZZANG ZZANG,5,,5 days ago
33, KoReAn ,5,Translated by Google B1 Kyobo Life Insurance Building Jongno 1 Jongnogu Seoul Go to Gwanghwamun Station Exit 4 and go up the stairs there is a door directly ,5 days ago
34,JH K,5,,6 days ago
35,Ray Kim ( KoReAn ),5,Translated by Google Good place I always go  Original  KoReAn   KoReAn ,6 days ago
36,Nanxy Sue,5,,6 days ago
37,Chad Ross,4,Good selection  Needs more space to sit and a cafe,6 days ago
38,Mehrdad,5,,6 days ago
39,EunYoung Kim,5,,a week ago
40, KoReAn ,5,Translated by Google A place where you can always meet books with a happy heart Reading books is better than reading books in the library except for reading while standing ,a week ago
41, KoReAn ,5,Translated by Google Book 3  Original  KoReAn ,a week ago
42, KoReAn ,5,,a week ago
43,LUCY,3,Translated by Google There are too many people   Original  KoReAn   KoReAn   KoReAn ,a week ago
44,Peurpael EN,5,,a week ago
45, KoReAn ,3,Translated by Google Its so wide its hard to find what youre looking for  Original  KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn ,a week ago
46, KoReAn ,4,,a week ago
47, KoReAn ,5,Translated by Google I like the watch  Original  KoReAn ,a week ago
48,Gyu,5,Translated by Google Various corners  Original  KoReAn   KoReAn ,a week ago
49, KoReAn ,4,,a week ago
50, KoReAn ,5,,a week ago
51,Sungh Y,5,,a week ago
52,ju l,5,,a week ago
53, KoReAn ,5,Translated by Google Its big and theres a lot of people  Original  KoReAn   KoReAn   KoReAn   KoReAn ,a week ago
54, KoReAn ,5,,a week ago
55, KoReAn ,5,,a week ago
56, KoReAn ,5,,a week ago
57, KoReAn ,4,,a week ago
58, KoReAn ,5,Translated by Google There are various books and stationery and it is good as a summer retreat ,a week ago
59,Kyong Sam MIN,4,,a week ago
60,tyuiop379 m,5,Translated by Google Best bookstore  Original  KoReAn   KoReAn ,a week ago
61,JUHYUN ROH,5,Translated by Google best  Original  KoReAn ,a week ago
62, KoReAn   KoReAn ,5,,a week ago
63, KoReAn ,5,Translated by Google spacious and helpful  Original  KoReAn   KoReAn ,a week ago
64, KoReAn ,5,,a week ago
65, KoReAn ,5,Translated by Google the smell of books The smell of Kyobo Bookstore No further explanation is necessary ,a week ago
66,Yusung Jung,4,Translated by Google Join the children  Original  KoReAn   KoReAn ,a week ago
67,Hyun Park,4,,a week ago
68, KoReAn   KoReAn ,5,,a week ago
69,haruna dev,5,,a week ago
70,ji-woo Lim,5,,a week ago
71, KoReAn ,5,,a week ago
72,Our Musical History,5,,a week ago
73,JungJa Kwon,4,Translated by Google Thank you for the book you want to purchase However I had already scanned the barcode with the kiosk and paid but I was a little dissatisfied with the system in which purchasing a kiosk was meaningless ,a week ago
74,SUNIK CHOI,5,,a week ago
75,Gemma Gonzalez,5,Huge Nice selection of books and others,a week ago
76,mori hyejin,5,Translated by Google tell me what to do Its not as good as it used to be but its the best bookstore in Korea Stationery is very vast However the fountain pens are not very diverse Im proud that there are a lot of online sales ,a week ago
77, KoReAn ,5,Translated by Google The facilities are really good  Original  KoReAn   KoReAn   KoReAn   KoReAn ,a week ago
78, KoReAn ,5,Translated by Google always whenever you go good place  Original  KoReAn   KoReAn   KoReAn   KoReAn ,a week ago
79,Sera Pasaribu,5,plenty of foreign books and with reasonable price,a week ago
80, KoReAn ,5,,a week ago
81, KoReAn ,5,,a week ago
82, KoReAn ,5,,a week ago
83,PS Yogalover Heng,5,The bookstore has more variety than my expectations Manage to find some English books there As a stationery lover I found there are many interesting items too,a week ago
84,Kevin S,5,The biggest bookstore I had ever been to  Has a good sized foreign language book section with English and other language books,a week ago
85,seunghyun ryu,5,,a week ago
86, KoReAn ,5,Translated by Google Still the best in Korea bookstore There is nothing ,a week ago
87,* KoReAn ,5,Translated by Google Fan signing events for popular artists are also held frequently ,a week ago
88, KoReAn ,5,Translated by Google It was a bit inconvenient because it was being remodeled The pleasant Kyobo scent is good ,2 weeks ago
89,Socrates Vlassis,5,,2 weeks ago
90,Choi Jae-hyoung,5,,2 weeks ago
91,Ln L,5,,2 weeks ago
92, KoReAn ,3,Translated by Google Not much has changed since I was a kid I felt like it was smaller than I expected In the past it felt like collecting and selling luxurious brands but now I feel like Im just bringing in miscellaneous things and ,2 weeks ago
93,Marie Dutruc-Rosset,5,,2 weeks ago
94,JooMee Oh,4,,2 weeks ago
95,Seoyun Ko,5,Translated by Google A lot of books are good  Original  KoReAn   KoReAn   KoReAn ,2 weeks ago
96, KoReAn ,4,,2 weeks ago
97,Yewon Han,5,,2 weeks ago
98, KoReAn ,5,Translated by Google I will buy you a book for my grandchildren  Original  KoReAn   KoReAn ,2 weeks ago
99,yull Wwon,5,Translated by Google spacious and comfortable  Original  KoReAn   KoReAn ,2 weeks ago
100, KoReAn ,5,Translated by Google A bookstore accessible to everyone A space that makes you fall in love with books ,2 weeks ago
101,Beda Hwang,5,,2 weeks ago
102,hyosoon yong,5,Translated by Google Visit  Original  KoReAn ,2 weeks ago
103,J H S,4,Translated by Google There are many people  Original  KoReAn   KoReAn ,2 weeks ago
104, KoReAn SY,5,Translated by Google Kyobo Books is the truth  Original  KoReAn   KoReAn ,2 weeks ago
105,Hyuntae HAN,5,One of the huge book stores in Korea  you can find almost all of kind books,2 weeks ago
106, KoReAn ,5,,2 weeks ago
107, KoReAn ,5,,2 weeks ago
108, KoReAn  ( KoReAn ),5,,2 weeks ago
109,Tae Woong LEE,5,,2 weeks ago
110,DiDi Yahng,5,Translated by Google It is easy to search for books and purchase them and when it is difficult to find them ask the staff and they are kind and helpful ,2 weeks ago
111,d.h Lee,4,Translated by Google It is a large bookstore and has a wide variety of books and office supplies ,2 weeks ago
112, KoReAn ,5,Translated by Google A lot of people  Original  KoReAn   KoReAn   KoReAn ,2 weeks ago
113, KoReAn ,5,Translated by Google People make books and books make people Best bookstore in Korea ,2 weeks ago
114,  Yongjai Choi,5,,2 weeks ago
115,Julio CHO,5,Translated by Google As of 220722 during the renewal of Kyobo restaurant  Lots of people and reading books It should be recognized as the main store only ,2 weeks ago
116, KoReAn ,5,Translated by Google You can easily find the book you are looking for through a book search ,2 weeks ago
117, KoReAn ,5,Good,2 weeks ago
118, KoReAn ,5,Translated by Google Two words are nagging best bookstore Staff are also very friendly ,2 weeks ago
119,Ji Juncheol (Jay),5,,2 weeks ago
120,Jangsoo Shin,4,Translated by Google After much effort I went to Gwanghwamun and stopped by Kyobo Bookstore to shop for books while waiting for my appointment time Books and people are overflowing ,2 weeks ago
121,Indoortrackmaker,3,Translated by Google I didnt find the book I wanted  Original  KoReAn   KoReAn   KoReAn ,2 weeks ago
122, KoReAn ,5,,3 weeks ago
123,attano corvo,4,,3 weeks ago
124, KoReAn ,4,,3 weeks ago
125,Carlota,5,,3 weeks ago
126,Stephanie Bordon,5,,3 weeks ago
127,YoungYou Kwon,5,,3 weeks ago
128,Jamie You,3,,3 weeks ago
129, KoReAn ,4,Translated by Google Gwanghwamun Branch  Original  KoReAn ,3 weeks ago
130, KoReAn ,5,Translated by Google Overall was good  Original  KoReAn   KoReAn   KoReAn ,3 weeks ago
131,Aaron Lafferty,4,,3 weeks ago
132, KoReAn ,1,,3 weeks ago
133, KoReAn ,5,,3 weeks ago
134, KoReAn ,5,Translated by Google The store was comfortable and the staff was friendly  Original  KoReAn   KoReAn   KoReAn   KoReAn   KoReAn ,3 weeks ago
135, KoReAn ,5,Translated by Google First of all its cool  There are many types of books and many people ,3 weeks ago
136, KoReAn ,5,,3 weeks ago
137,SS KoReAn ,5,Translated by Google A great place to go shopping with the kids on the weekend Just be careful about selling toys near the cashier ,3 weeks ago
138,James Bong-Hoon Cheon,5,Great bookstore with friendly setvices Got cafe and food section in the store,3 weeks ago
139, KoReAn   KoReAn ,5,Translated by Google There were many things to see besides books  Original  KoReAn   KoReAn   KoReAn   KoReAn ,3 weeks ago
140, KoReAn ,5,Translated by Google I like it because I have many books  Original  KoReAn ,3 weeks ago
141,GyungJin Kim,5,,3 weeks ago
142,SHINBAE LEE,5,Translated by Google If you need a book go If you have time go There are also stationery and miscellaneous goods ,3 weeks ago
143, KoReAn ,5,,3 weeks ago
144, KoReAn ,5,,3 weeks ago
145,jin park,5,,4 weeks ago
146, KoReAn ,5,,4 weeks ago
147,hyun jung kang,4,,4 weeks ago
148, KoReAn ,5,Translated by Google Is the best bookstore  Original  KoReAn   KoReAn ,4 weeks ago
149,Jihan,5,,4 weeks ago
150, KoReAn ,5,,4 weeks ago
151,ByungSun Moon,5,Translated by Google If you read this book from one book to the next in the book recommendation section for children who like books two or three hours goes by quickly ,4 weeks ago
152,TAEJUNG KIM,5,,4 weeks ago
153, KoReAn ,4,Translated by Google If its a book Kyobo Bookstore  Original  KoReAn   KoReAn ,4 weeks ago
154,Byungchul Kim,5,Translated by Google Large bookstore  Original  KoReAn   KoReAn ,4 weeks ago
155,Soo Jin Lim,5,Translated by Google Clean and very spacious bookstore Hot Tracks is good too ,4 weeks ago
156,JEEHO SHIN,2,,4 weeks ago
157,Andy Choi,5,,4 weeks ago
158, KoReAn ,5,Translated by Google good  Original  KoReAn ,4 weeks ago
159,Jin Chung,3,,4 weeks ago
160, KoReAn ,5,,a month ago
161, KoReAn ,5,,a month ago
162,nagh arch,5,,a month ago
163, KoReAn ,4,Translated by Google I have a lot of books  Original  KoReAn   KoReAn   KoReAn ,a month ago
164,Wany Yoo,5,Translated by Google Its a good place to read books and buy stationery with the kids ,a month ago
165, KoReAn ,5,,a month ago
166,MY CHOICE,5,Translated by Google good It boasts the largest scale among Kyobo Bookstore branches and has many people There is a lot to see and a lot of good books ,a month ago
167, KoReAn ,5,Translated by Google I recently visited Hot Tracks twice It was nice to be able to shop with a variety of products from stationery to gifts for granddaughter ,a month ago
168, KoReAn ,5,Translated by Google firm  Original  KoReAn ,a month ago
169,seok ju seo,5,Translated by Google Its nice to see a variety of books  Original  KoReAn   KoReAn   KoReAn   KoReAn  ,a month ago
170, KoReAn ,5,Translated by Google You can find many useful books Discounts are also available for members ,a month ago
171, KoReAn ,5,,a month ago
172, KoReAn ,5,,a month ago
173,SR Park,5,,a month ago
174,J. henna,5,,a month ago
175, KoReAn ,5,Translated by Google Okay the staff were a bit friendly Tendency to be late in answering a question ,a month ago
176, KoReAn ,5,,a month ago
