,이름,별점,리뷰,날짜
0,Traveller of the world,4.0,"Yes, the structure is stunning. Amazing architecture. Great atmosphere and lot's going on. However, expected more in terms of exhibitions. This changes throughout the year. Some boutique shops inside and eateries. I just think they could have made better use of the indoor space. Clean and well kept. Definitely recommend going.","Written May 30, 2022"
1,Shikataganai73,4.0,Interesting art pieces around the plaza. Inside is a museum with special exhibits at times. Right outside is the Seoul City Tour double decker bus which you can buy a ticket for to enjoy sites around the area.,"Written June 9, 2021"
2,SQKrisflyer,5.0,"I spent an hour and half walking and admiring, in the night, this structure that was designed by late Zaha Hadid, an Iraqi-born British world-renowned architect. It has certainly inspired me on the “Dream, Design and Play” (DDP) concept behind the Dongdaemun Design Plaza (DDP).  Getting there: Take Subway Line 2, 4, 5 to get to Dongdaemun History & Culture Park Station and then take exit 1, which is connected to the DDP. Once you walk out the exit of subway station, the DDP just on the left. Climb the lighted stairs to reach the street level for appreciation of DDP.  The attraction: If you are at the DDP during the day, I would recommend a walk around the DDP to appreciate of the unique architecture of the structure – it is built on curves and I did not see any sharp corner and long straight walls! It is mentioned that over 40,000 aluminium panels cover the DDP exterior of which none is the same. I would also recommend a walk inside the DDP - consists of a sky lounge, rest area, souvenir shop and 5 exhibition halls: Art Hall, Museum, Design Laboratory, Oullim Square and Dongdaemun History & Culture Park.  It is at night when the DDP really came alive! The lightings simply accentuate and dazzle the structure. Most of the yellow-white lightings even “moved” where these gradually intensified and then dimmed again. Participating in the “night life” is the Rose Garden with a total of some 25,550 LED roses.  Not only the architecture dazzled at night, the artistic talent was also on show when I saw and heard 2 different pianists playing the 2 pianos located in the open.  I walked across to the apM Place Shopping Mall and took the elevator to a high floor to get a bird’s eye view of DDP. I think you can also get a nice view from the high floor of other buildings (for example the Lotte Fitin Shopping Mall)  Overall, I enjoyed Dongdaemun Design Plaza (DDP) in the night more than in the day. Nevertheless, this is one iconic landmark in Seoul that you would not want to miss! It is no wonder that many Korean dramas were filmed here as well, including “You Who Came from the Stars”, “Producer” and “She Was Pretty”.","Written August 31, 2020"
3,GlobetrotterJ16,4.0,"DDP is Zaha Hadid design and definitely the icon of Dongdaemun. There are a couple of subway stations that stop directly underneath or nearby, hence easy to get to. The Plaza overall is quite large in size, with shops, exhibitions and art installations. There are leaderboards with maps in many locations hence easy to find your way around. Nearby DDP are underground shopping, night markets, Dongdaemum Gate, a couple fo hotels and plenty of shops and restaurants. Dongdaemun and DDP are must visit sights when in Seoul.","Written July 19, 2020"
4,AndrianiBg,5.0,Zaha Hadid’s Dongdaemun Design Park &Plaza is the highlight of my trip to South Korea. We arrived in the evening and there was a performance with music and high tech projections on the walls of the building. We really felt like being in the center of arts and technology! Breathtaking ! Strongly recommend!,"Written July 7, 2020"
5,Carol,5.0,"I enjoyed a really lovely and romantic (despite being by myself) walk through this area late one evening. All of the shops were closing up, including the street vendors but it was still great for an evening stroll.","Written May 25, 2020"
6,Saho,5.0,I visited there two times. The structure of this architecture is so dynamic that I felt like I'm in city rather than architecture. It was memorable,"Written May 12, 2020"
7,BillNabilah,4.0,"I went there two times, AM and PM. The night scenery is so beautiful. So many places to take photos. Outside the building, there are roses being displayed (actually for kdrama shooting, but somehow they left it there as it become famous with tourists). I would like to recommed coming here during the night.","Written March 15, 2020"
8,William K,2.0,For me it was a bit disappointing visiting S. Korea. I can feel a bit of tension wherever I would go around the city. The people were not as warm as expected. I don’t know if it was due to a language barrier or they were just not trying to be nice. I’m Caucasian and my wife is Japanese and at a lot of places we went I didn’t really enjoy myself. It was our first time visiting. But as for me I probably won’t go back again. This is my opinion,"Written March 6, 2020"
9,KC1,4.0,"Definitively worth a visit, especially if you are interested in design and arts. Depend on what exhibition will be held during your visit, but even without interesting exhibition, you can visit the building during a sunny day.","Written February 20, 2020"
10,Troels J,3.0,From the outside amazing architecture; just simply amazing but as soon as you step inside the magic disappear rapidly.  The space seems to be very poorly used and there is so little design that you wonder where you are.  So much potential totally wasted.,"Written February 16, 2020"
11,kendallem12,5.0,"Weird and cool architecture, just walk around outside and inside for awhile and get lost. Some cool exhibits, food, and shops!","Written February 12, 2020"
12,Meow Leng,4.0,Nothing much here but nice walk around. It surroundings by few shopping complex which offering various types of things. There is food truck (night market) and performances during weekend if not mistaken. Please check before you go.,"Written February 11, 2020"
13,Agnieszka G,4.0,"Modern building, interesting construction, rice lights every nights, them exhibitions almost every month. Just see it","Written February 10, 2020"
14,nicarafiki,5.0,"A short walk from the JW Marriott Dongdaemun Square Seoul leads to one of the world’s most impressive and incredible architectural designs, the free flowing futuristic structure of the Dongdaemun Design Plaza (known as the DDP) where history marries the present and embraces the future. Designed by the late internationally acclaimed Pritzker Architecture Prize recipient, visionary Zaha Hadid, Dongdaemun Design Plaza, frequented by both tourists and locals, greets all with the notable humanistic art of architecture. It imparts a feeling of liquid, fluid metal. Seoul, the capital city of South Korea, home to 10 million people, is a modern world mega-city, designated in the year 2010 as the “World Design Capital.” It is indeed fitting that he Dongdaemun Design Plaza so elegantly captures the beauty and energy of Seoul.  The Dongdaemun Design Plaza is home to the Dongdaemun History and Culture Park, featuring the Dongdaemun Relic Area 2, an archaeological site discovered at the former baseball field of the Dongdaemun Stadium Complex, yielding knowledge about the life of Korean people during the Joseon period. The tile-paved path believed to relate to the Japanese colonial period connects the building sites and the Well Site and Fireplace Feature depicted along the path. The dual-languages of the signage of the site are Korean and English. In the midst of this extraordinary mega-city of Seoul, resides peace and tranquility.  The Dongdaemun Design Plaza also is home to eateries, coffee shops, art, gigantic sculptures, a rooftop park, bi-lingual tours of the Dongdaemun Design Plaza, and so much more to experience.","Written February 8, 2020"
15,Culinary-Consultants,5.0,"There is very little I can tell you about this outstanding and gorgeous piece of engineering and architecture. Designed by world renowned architect, Zaha Hadid who is an Iraqi/British citizen..  The place has conveniently allocated metro entrances beneath the structure. I think 3 to be precise. Before you get to the building there is a mayor plaza and a walking street/ramp that leads you to the heart of it. The entrance is beneath the full structure.  The DDP of its name means: Dongdaemun Design Plaza (DDP) has the meaning of 'Dream, Design and Play' as far as I was informed. The place is also famous and renowned for it has staged diverse cultural events including exhibitions, fashion shows, product launch shows, forums and conferences.  DDP's exterior features over 40,000 aluminum panels, none of which are the same. As I mentioned before the plaza is home to various exhibition spaces, design museum, sky lounge, rest area and a souvenir shop.  Is really a beauty of Art, and Architecture as well as Technology. We recommend it for a casual visit, to attend an event or if you are all of the above; artist, architect or engineer. You'll be mesmerized.","Written January 29, 2020"
16,RainMSG,3.0,DDP LED Rose Garden is closed when we get there. :( So frustrated not to find it while thinking that it should be where it should be. Didn't get any review or advise online that it will be closed so sharing this post which hopefully would help those who plan to go to DDP to see this LED Rose Garden. Please check operating hours or any announcement before you go.,"Written January 26, 2020"
17,jacqueline j,3.0,"The website or it's advertising stresses to get here at dusk! However by dusk only a few shops are open! The Plaza would be busier if your opening times were more precise. Architecturally the structure is definitely worth visiting, the design is exciting and futuristic! The interior seems unfinished and lacking in spatial flow.","Written January 22, 2020"
18,dblim,4.0,Nice place to just sit by the steps and enjoy the cold. Great for taking pictures as well.  Occasionally they have exhibitions here but unfortunately when we went it was already over.,"Written January 19, 2020"
19,barnaul2000,5.0,"such an amazing architecture,a piece of art and history by Zaha Hadid, where the future meets fantasy design takes your breath away. Free admittance other than into galleries and class. Feel free to walk in and dont trip while your head will be looking up at amazing futuristic style of design, and down at the assymetric stairs etc. cool cafes inside, art classes, bookstore, seating areas- plenty to do.","Written January 17, 2020"
20,Explorers0816,3.0,Will not visit again. Interesting building design from the outside but boring on the inside. Noting much to do inside.,"Written January 13, 2020"
21,GintamaZ,4.0,They have Dongdaemun show every night during the winter break.  To have artistic show projected on the enormous surface of the Iraqi American designed structure was a sight to behold!,"Written January 11, 2020"
22,Scrumdidiliana,5.0,"Excellent gallery, beautiful building, world-class art. We went during winter and it was great to have some time away from the cold.","Written January 3, 2020"
23,Della G,5.0,"A truly impressive futuristic, sci fi looking complex that deserves a wow factor on first impression especially if you just exited the subway stop. The grounds and surrounding area are massive you could easily spend two days exploring this area as it also includes historical Dongdaemun wall and gate parkway etc. The DDP is an art gallery design complex that has numerous spaces and rooms for outdoor performances and conferences. Another interesting factor that there are archelogical finds surrounding the complex area that was unearth during construction and this has been integrated into the overall area. This is an outstanding architectural design complex that is impressive when viewed both during the daylight and evening hours.","Written December 31, 2019"
24,schia48,5.0,"This beautifully designed building is part of the Design Plaza, with regularly exhibitions and performances. There is a small food court area and with few cafes around the basement level of the Plaza. It is also a good place to wait for the HopOn HopOff tour buses which makes DDP their main stop for both lines.... Right across the street and surrounding areas are 5-6 large department stores, some which are opened till 4-5am.","Written December 24, 2019"
25,Alex D,4.0,Vast building designed by Zaha Hadid covering a few city blocks. Definitely worth a visit. Various shops and galleries inside and usually a lively market outside.,"Written December 23, 2019"
26,esquire838,3.0,"The building design itself is interesting. Sloping corridor to get to the various levels that locate the museum.  From the outside, it looks like a gigantic docked spaceship. It has two sections, the design plaza on one side and a museum on the other.  When you are done, the shopping is simply overwhelming. This is the place for those that do not fancy the bazaar style shopping as in Namdaemun market. This place has a few big malls for fashion mostly. It has even has two underground shopping malls. One at the main street and the other is adjoining the Metro station.  Good for photo opp and place to shop","Written December 23, 2019"
27,JDTS,3.0,"The structure of DDP itself loks futuristic, something like out of a Star Trek movie. However there are not many shops in there and can look deserted. I guess you have to appreciate art or design, for me there is not much to see except the structure itself","Written December 20, 2019"
28,daphne-jem,4.0,The architectural facade of DDP is very unique. Outside the building is a good place for watching people and drinking coffee.,"Written December 13, 2019"
29,jwlyon1,2.0,"It is a iconic piece of architecture on a monumental scale. It was a huge disappointment though, there was almost no content and so much of the museum space was closed or empty. The shopping area was billed as a design market, it was not at all curated as “design” goods. The remains of historical buildings in and amongst the futuristic mega buildings were the most interesting parts of the park. Overall, the sheer bleakness of the interior was fascinating, but I was very frustrated at the lack of museum content. The one small exhibit gallery with exhibits in it was okay, but not of a scale to fit this giant park. So, be aware that besides the giant swooping building, there isn’t anything else to see.  The central stair in the design building is amazing, there is some striking architecture.","Written December 9, 2019"
30,JooS,5.0,"Beautiful, artistic architecture that houses a museum, a kids playground, a gift shop and underground shopping mall. Take the lift up to the roof top and strolled down the ramp while admiring the wonderful view!","Written December 6, 2019"
31,TrudiC44,4.0,"Located in the heart of Seoul, this Plaza certainly stands out for its futuristic design! There's a small museum nearby that goes into great detail about the flood control measures that have been implemented. Some ruins have been preserved as well.","Written December 5, 2019"
32,Aimilia,5.0,"Also caled DDP. This space ship is a major urban and most iconic landmark in Seoul. Build by Zaha Hadid Architects this neo-futuristic eccentric compkex is a multipurpose cultural center with galleries, event spaces, design shops and lawns that rise up to its roof. Here is the perfect place to shop 24-hour high quality goods.","Written December 4, 2019"
33,Raysixtus,5.0,It’s too cold to truly enjoy the outside of the structure . Great to see the place. Luckily there are indoor place to eat and some small shop/store - I didn’t buy anything there. Also good to sit around have some snacks,"Written December 2, 2019"
34,AR_Ismail90,5.0,"Visit exhibitions , souvenir shops , enjoy a cup of coffee or a meal in this mega structure.  DDP is an architectural beauty that was design by the queen of the crazy structures the late (Zaha Hadid). It’s not your typical exhibition center it’s a place that you can do multiple activities in while enjoying this crazy structural beauty in a district that never sleeps","Written December 1, 2019"
35,Krishhere,3.0,"This building symbolises modem South Korea with its futuristic design. The building  is lighted up in the night. Inside is a  kind of shopping mall with shops, restaurants and halls for exhibitions and cultural programs. ","Written November 30, 2019"
36,Delnyon,5.0,Very nice to walk around and see this very modern building. Nice and not so big shopping mall as well,"Written November 30, 2019"
37,Vincent T,3.0,The design is breathtaking - and very massive. The surrounding areas offer a lot of cool shopping and eating spots.,"Written November 29, 2019"
38,Jason H,5.0,"This area is one of the best place to shop but this time, we went here to enjoy the cold weather and take lots of pictures here! Truly a wonderful place for photography","Written November 23, 2019"
39,ol b,5.0,I stopped by at the DDP at nighttime with some friends and it was a great visit. The architectural design of the plaza itself is so unique and definitely worth some photos. I believe they tend to have some exhibits are art programs here sometimes but you'll have to check out their website. There is a History Museum that you can check out as well with free admission.,"Written November 21, 2019"
40,Martha200,5.0,"This is a very beautiful building, spanning multiple blocks in Seoul. Its architecture is unique and outstanding from every perspective. There are pianos in various locations, free to play. Around the back there is an upscale street clothing market.","Written November 12, 2019"
41,Sam-el Ladh,5.0,The building is very attractive in design. There are spaces for exchibitions in the building. There are art shops and restaurants as well,"Written November 7, 2019"
42,Marcel D,4.0,What an amazing building!! The little shops in DDP were really interesting and worth exploring. Spend a lot of time in there. Glad that interior is not overly clutter but kept clean and minimalistic. The outside was full of activities so it was worth a trip both inside and out.,"Written November 5, 2019"
43,ErkiBear,3.0,Was looking forward to coming here but after marvelling at the structure and sculptures outside we were a bit bemused by the inside. We only managed to find a cafe and then a huge hall which was empty except for a couple of Mormon brothers having a rest. Not sure what the point of the place is.,"Written November 4, 2019"
44,Anika G,5.0,It is a wonderful place to visit. Great architecture and atmosphere. They have different exhibitions.,"Written November 2, 2019"
45,Jane H,4.0,"This is a fascinating building which looks great from pretty much any angle. There didn’t seem to be an awful lot to do there - a small shopping arcade & a gallery for exhibitions plus some historic remains in the grounds with a small museum - but we spent an hour or so there, then went and ate in the arcades nearby then came back once it was dark when it looked even better. It reflects the light from surrounding buildings & looks quite otherworldly. Well worth a brief visit.","Written November 1, 2019"
46,Rumples,5.0,"As an architecture buff, I found this plaza in Seoul to feature one of the most innovative modern structures that I have seen. I first visited the 7-level (4 above ground and 3 below) building during the day and was so impressed that I returned to introduce the center to my husband that night. Designed by architect Zaha Hadid, the futuristic construction exhibits no straight lines or right angles. Instead, it presents elongated, curvy forms, built with concrete and cloaked in 45,000 aluminum panels.  At night, the center’s lights seem to glow from within. At certain exterior vantage points, its shape and silvery hue give the impression of what I imagine a giant spaceship to look like. The park next to the building further enhances the look. It holds 25,550 LED roses, which light up 5 minutes after sunset and are absolutely stunning. It was a magical experience to stroll here in the dark.  Inside, the curves continue in long corridors and connecting stairways (there are also standard elevators). The center serves as a fairly new venue for design in Seoul, featuring an art hall, meeting space, a museum, a design lab and a design market. I visited the huge lab, which displays a variety of well-crafted items for sale and gives visitors the opportunity to meet the designers. We enjoyed a light dinner in one of the many eateries in the market, which is connected to the nearby Dongdaemun shopping centers.  DDP, located in Downtown Seoul, is easily reached by subway. Take Line 2, 4 or 5 to Dongdaemun History and Culture Park Station and leave through exits 1 or 10.","Written October 31, 2019"
47,shirley,5.0,"We visited here as a nice walk in the evening. don't miss this work of art on the beautiful architecture. there are so many great things about this building. obviously curvy outside is amazing. The interior and exterior, both are inspiring.","Written October 27, 2019"
48,StrangeTrout,4.0,"I loved the outside of this structure with its sinuous metal shape winding around gardens and walkways and couldn't wait to explore further. It is beautiful and whatever is going on inside, the building itself is worth a visit. There were two exhibitions on when I visited which were both quite interesting but didn't really float my boat - but that's subjective, they were very well presented and worth the time I spent there. Take time to explore the building, the nooks and crannies and little architectural surprises are a joy to discover.","Written October 23, 2019"
49,bigtupai,4.0,Visited this place after recommended from local. The design of the building is very unique especially in the night. Do visit this place if in Seoul.,"Written October 22, 2019"
50,Windy Devita,5.0,"Glad to be a witness of Zaha Hadid’s work in Seoul, all the curves and the details that house all the creative spaces in the complex such as museums, galleries, multi-purpose halls, markets and restaurants, such eye candies.","Written October 20, 2019"
51,Josephine G,4.0,Went here with my fiance and its amazing. The structure of the building is impressive. The way they left a piece of history in the middle is great and I love the 2 statues as well. If you get hungry there are a few different places to eat. Definitely going to go back next year.,"Written October 19, 2019"
52,Crownjk,4.0,Very nice to go even on a rainyday. Seoul showing off their modern arquitecture you can take nice pictures and visit Kako friends shop without the crowd.,"Written October 12, 2019"
53,Anthony Cordato,5.0,"As walk out of the Dongdaemun metro station, a huge metal clad curved building takes your breath away. It's the Dongdaemun Heritage and Cultural Plaza designed by world famous architect Zaha Hadid the 'Queen of Curve' (2007-2013). The building blends into the historic landscape of the old Seoul City Wall at the point where the river used to run under the wall there is the aptly named Water Gate - with a timber grill to bar entry. The Plaza has sinuous paths to mirror the sinuous building. Inside there is a museum, and the Cafe de Fressina. A visit to the cafe is a must - it is in a huge cavern, with the flooring, the furnishings and the stunning serving counter designed by Zaha Hadid. Have a coffee and cake / snack. Walk around a while and take back your breath. See my photos.","Written October 11, 2019"
54,JOSE G,5.0,"This impressive modern building desgined by the prestigious architect Zaha Hadid is the hube of the huge square. Theres is a design museum inside that you can visit. Sorrounding the metal structure of the building you can visit the restored remains of the ancient fortress. There is also a small, but exquisit, museum dedicated to the old stadium that was demolished to build the square that you can contemplate today. The area is plenty of markets, shops, restaurants,...","Written October 6, 2019"
55,Jbloodworth,5.0,"This is such a great area to visit! Great architecture and lots to do here! Shopping, outdoor markets, food, buildings! Their buildings are absolutely amazing!","Written October 4, 2019"
56,PHR67,5.0,"This building is truly spectacular, and definitely worth a visit. There is a design museum and design exhibits to see. There is also plenty of shopping and dining opportunities around the plaza.","Written October 4, 2019"
57,Václav V,5.0,"We admire ZH jewels, this is one with rounded forms. Could spend hours there. Actual exhibition Paul Smith fashion designer.","Written October 1, 2019"
58,CoolBrewster,4.0,"Not worth a visit on its own, but really cool architecture and a photo op. If there, be sure to visit the free Stadium Museum next door commemorating the old sports complex (build by the Japanese) that was demolished to DDP.","Written September 30, 2019"
59,Gianpaolo B,5.0,Impressive art in the building. It suit the city scenarios very well not disturbing at all. Inside also it could be a surprise.,"Written September 29, 2019"
60,Ann C,4.0,"with a neo-futuristic design. Located in the center of South Korea's fashion hub.  Multiple levels, 5 halls. The filming location of a couple of different dramas. Opened for conferences, exhibitions and various events. There is park on the roof.","Written September 24, 2019"
61,Po_Ri_Luk,4.0,When I came there it seemed like I was in a space ship. The whole building looks like a futuristic vessel. It's very nice. There was a exhibition about urban development and the entry was free. I don't know if it was free because of Korean Thanksgiving or if it's free on other days as well.,"Written September 18, 2019"
62,807mel,5.0,Such a beautiful place to take picture. The building design are unique and beautiful. You can enter the underground and enjoy your shopping.,"Written September 11, 2019"
63,AnttilaKarri,4.0,"Exhibitions are well set and have lots of works present. Not to mention the building itself, which is sick!","Written September 10, 2019"
64,Phylesia M,5.0,"I love this area! It’s such a treat for my eyes every time I see DDP. Such a beautiful architectural design that has to be seen in person as photos don’t do it justice. Also the shopping here is very good, the business hours of the shopping centers is staggered so it offers shopping pretty much 24 hours. I prefer this area over Myeongdong, although it’s also crowded it’s more “open” with the shopping centers vs outdoor shopping streets.","Written September 6, 2019"
65,tilla55,4.0,"Just walking around and experiencing the innovative space, new views opening up, was interesting. The stores + museums (Disney) inside were of the boring mall variety.","Written September 4, 2019"
66,Shermaine_csm,5.0,Very Impressive with the architecture by the late zaha hadid. There's a cafe inside and some shops underground.,"Written September 3, 2019"
67,Luca C,4.0,"Beautiful place where to spend a night. There are some kiosks for street food, shops, people all around and a pleasant atmosphere. The Design of the entire area is just amazing!","Written September 2, 2019"
68,Henry V,5.0,"This place simply has to be seen to be appreciated. The design is on a large staggering scale and surprises when compared to the many tiny alleyways that are in surrounding neighbourhoods. The fashion malls in the area are unbelievable in terms of number of shops, selection and pricing.","Written August 21, 2019"
69,Khadeejah Abdullah,5.0,"Very beautiful, lots of English signs and explanation. Good for photography walking. We got the opportunity to see Seoul metro station","Written August 16, 2019"
70,meilin l,4.0,"Seoul - a city of 24 hour fried chicken, beer and shoju with ladies shopping non stop till 5 am in 8-9 Stories malls of shops including basement shopping.  Important note to Seoul :- Come with empty luggage as you don’t need clothes, masks or cosmetics ! You can shop till you are broke. Always bring cash in Won or $$.  Tips for shopaholic: - Remember you can always go back to hotel to shower and re-consider that dress and go back to the mall at 3 am to buy and then celebrate the great achievements of full luggage and extra luggage and then have a late supper of fried chicken with beer after.  Most important- Download Naver map as Google map don’t work in Seoul !","Written August 14, 2019"
