,STAR,CONTENT,DATE
0,4,a summer resort in the city,24 minutes ago
1,5,2 expositions absolument divine en 2 heures Dont une sur la metahorizons Et lautre de Tim burton ,13 hours ago
2,5, Exhibition Name Tim Burton Special Exhibition Venue DDP Learning Center Design Exhibition Hall  Period 22430912 ,a day ago
3,5,Tim Burton exhibit was incredible Awesome place,a day ago
4,5, You can see everything about Tim Burton Great exhibition and wonderful from DDP We could see the building at the same time ,2 days ago
5,2,Very confusing corridors xs where to go,2 days ago
6,5, A place to spend a cool day enjoying the design on a hot day ,2 days ago
7,5, Ive never been there before but theres a lot more to see than I thought There are paid exhibitions such as the Tim Burton exhibition and there are also ,2 days ago
8,5,A very interesting place at a busy area of Seoul so many options of cafes restaurants bars and stores around it Its thrilling to think that a baseball field once lied there instead of the DDP,3 days ago
9,5, I went to the Tim Burton exhibition Its good to just watch the exhibition as it flows ,4 days ago
10,5,art is subjective but i think most people will like the exhibitions and overall design of this plaza i like it thats why i rated it 5 ,4 days ago
11,5,Its free and you can relax,6 days ago
12,1,This is a very nice place and big surrounding many reknown shopping market,6 days ago
13,5, I saw the Dali exhibition ate lamb skewers at a nearby Russian restaurant and ate dessert at a rolling pin ,6 days ago
14,5,Very nice building it is world famous,a week ago
15,3, Its good to see but the bus access nearby is very disappointing ,a week ago
16,3, I came here for the first time before seeing a movie at Dongdaemun Megabox But in the movie time I just go and look around ,a week ago
17,3, For firsttime visitors the building guide seems to be too confusing ,a week ago
18,5,A great place to hang out and look at art exhibitions that may suit your taste,a week ago
19,5, It is a pleasant place with its exterior and interior architecture We went to the Tim Burton exhibit here Lets go  ,a week ago
20,5,Beautiful Architecture,a week ago
21,5, It takes over an hour from Suwon by public transportation An exhibition I watched with my daughter after a long time ,a week ago
22,5,Zaha Hadids masterpiece is a spectacle to watch Its just mesmarizing There are enough amenitis for every designer It facilitates and inspires For Seoul this magnifient architecture works as a global landmark,a week ago
23,5,Massive magnificently designed building with a few exhibitions inside the structure itself is the real showpiece here though at night it looks ever better,a week ago
24,5, Clean spacious and close to the subway  Going to see the Tim Burton exhibition there were a lot of people in the exhibition hall so it was crazy ,a week ago
25,5,good place to visit,a week ago
26,5, There are practically no permanent exhibitions like the National Museum of Art in Tokyo there are only special exhibitions and the admission fee is expensive but beware of the price ,a week ago
27,5,Its a free spot to go and check out a neat building They also hold exhibits there too Right now is tim burton until september of this year,2 weeks ago
28,3, It was good because there were no people It was very special to see the building design ,2 weeks ago
29,3,Its more like museum and relaxing place Not much things to do,2 weeks ago
30,4, It was good because it was close to the subway station but I thought that it might be a bit difficult for firsttime visitors to get in and out of it ,2 weeks ago
31,2, Two rooms were closed Location not very obvious as to discovery such as traffic Unclear layout and path ,2 weeks ago
32,1, I paid 11000 won and it came out in 5 minutes Nothing to see I recommend it to people with a lot of money but I heard a lot of the air conditioner popping so it was great to hear so much ,2 weeks ago
33,5,A visiter,2 weeks ago
34,5,Very beautiful place ,2 weeks ago
35,4,exceptional structure,3 weeks ago
36,5, The photo zone in the basement is beautiful so its good to take pictures and its good to sit and talk ,3 weeks ago
37,5, There was a sudden power outage because it rained a lot so I was embarrassed ,3 weeks ago
38,2,I dont know whats all the hype about this place To call a building futuristic or shaped like a spaceship is just another way of saying its not organized and easy to get lost in I didnt understand whats the point of this ,3 weeks ago
39,5,Very good experience  Visited for the Tim Burton Expo I was surprised in a good way ,3 weeks ago
40,4, First visit to Dongdaemun Design Plaza After seeing the special exhibition I moved to the other building and got lost because it was my first visit ,3 weeks ago
41,5,I really love the design of this public space that allows people to spend time with their family relax appreciate arts and stay dry during the rainfall,3 weeks ago
42,5,I have been to the DDP and the Tim Burton exhibition,3 weeks ago
43,4,An amazing design provided by Zaha Hadid You feel there the sense of space  while you move it takes you through a journey of different feelings ,3 weeks ago
44,5, This is a large plaza It is a multispace for all events and exhibitions ,4 weeks ago
45,5, I saw Tim Burton It is so popular that you can see it in line even on weekdays ,4 weeks ago
46,5, It is an exotic and wonderful space in the shape of a spaceship Corona is getting better and better but it would be better if there were more ,4 weeks ago
47,5,State of the art design building There is a design museum inside too And a small shop selling cute accessories,4 weeks ago
48,2,They need to announce that 10000 won for admission is for the museum only,4 weeks ago
49,5, There are various activities and exhibitions There are many households and the architecture is beautiful ,4 weeks ago
50,3, It is recommended to stop by near the sea Its hard to get directions Restaurants are expensive ,4 weeks ago
51,5,Super clean and interesting site,4 weeks ago
52,5,Amazing building not to be missed,4 weeks ago
53,5, The work of famous architect Zaha Hadid is characterized by an atypical space concept and the interior is also irregular giving the impression of exploring a spaceship ,4 weeks ago
54,5, The building is beautiful and there are many things to see ,4 weeks ago
55,4, The exterior of the building that was raised after erasing the history looks great The building is separate from each other there is no connection and cooling and heating are difficult It is inconvenient to use as ,a month ago
56,5, I watched the Tim Burton special exhibition  Tim Burtons Biography and Sketches Modeling Film Animation ,a month ago
57,5,SHHEEEEEEEEEEESHH,a month ago
58,5, The restaurant district is very depressed right now The night market food truck which used to be a specialty is not operating Its good to take a walk while looking around the wonderful buildings wonderful ,a month ago
59,3,A unique place to roam around take some pictures and   chill at the same time,a month ago
60,5, The building is a wonderful structure with curves and straight lines ,a month ago
61,5,Eye opening place about future life,a month ago
62,5, This is the DDP exhibition hall I visited for the first time in 2 years due to Corona After Keith Haring ,a month ago
63,4, Very good It is spacious and there are many places to lie down and rest and it is recommended However it can be easy to get lost and it can be difficult to find the desired ,a month ago
64,5,Amazing place Enjoyed a lot,a month ago
65,5,The amazing architecture itself is worth the visit I went for the Tim Burton exhibition here in June 2022 which is very well put together I think there used to be some food trucks night market during the weekends but it stopped coz of the pandemic Worth a visit,a month ago
66,5, The clothes at Jeil Pyeonghwa Market are also wholesale prices so it was cheap and good ,a month ago
67,3, Its complicated and the exhibitions are good but theres nothing to eat or play after its finished ,a month ago
68,5,Good,a month ago
69,3,dot,a month ago
