,STAR,CONTENT,DATE
0,5, I went to an autograph session for writer Shin Kyungaes book Strange Albergue The cradle of knowledge When you come here you come across various ideas and logics I personally ,18 hours ago
1,5,hwang hyunjin from stray kids was here and he talked about this book store then i searched for it and saw it so amazing,2 days ago
2,4,Manybookorder,2 days ago
3,5,Good place,2 days ago
4,5, I think it might be a business that best expresses the charm of a large offline bookstore ,3 days ago
5,5, It is spacious and has a lot of books and a lot of various things ,3 days ago
6,5, The overwhelming smell of Kyobo from the entrance makes me calm You can have a great time The sections are well divided ,4 days ago
7,5, All kinds of books stationery computer equipment and even the atmosphere of a bookstore  If you go to the Paris Croissant on the 1st floor and eat brunch on the weekend you feel like you had a good weekend ,4 days ago
8,5, A place I often visit A comfortable and happy feeling with various books and old memories is the place ,5 days ago
9,5, B1 Kyobo Life Insurance Building Jongno 1 Jongnogu Seoul Go to Gwanghwamun Station Exit 4 and go up the stairs there is a door directly ,5 days ago
10,4,Good selection  Needs more space to sit and a cafe,6 days ago
11,5, A place where you can always meet books with a happy heart Reading books is better than reading books in the library except for reading while standing ,a week ago
12,5, There are various books and stationery and it is good as a summer retreat ,a week ago
13,5, the smell of books The smell of Kyobo Bookstore No further explanation is necessary ,a week ago
14,4, Thank you for the book you want to purchase However I had already scanned the barcode with the kiosk and paid but I was a little dissatisfied with the system in which purchasing a kiosk was meaningless ,a week ago
15,5,Huge Nice selection of books and others,a week ago
16,5, tell me what to do Its not as good as it used to be but its the best bookstore in Korea Stationery is very vast However the fountain pens are not very diverse Im proud that there are a lot of online sales ,a week ago
17,5,plenty of foreign books and with reasonable price,a week ago
18,5,The bookstore has more variety than my expectations Manage to find some English books there As a stationery lover I found there are many interesting items too,a week ago
19,5,The biggest bookstore I had ever been to  Has a good sized foreign language book section with English and other language books,a week ago
20,5, Still the best in Korea bookstore There is nothing ,a week ago
21,5, Fan signing events for popular artists are also held frequently ,a week ago
22,5, It was a bit inconvenient because it was being remodeled The pleasant Kyobo scent is good ,2 weeks ago
23,3, Not much has changed since I was a kid I felt like it was smaller than I expected In the past it felt like collecting and selling luxurious brands but now I feel like Im just bringing in miscellaneous things and ,2 weeks ago
24,5, A bookstore accessible to everyone A space that makes you fall in love with books ,2 weeks ago
25,5,One of the huge book stores in Korea  you can find almost all of kind books,2 weeks ago
26,5, It is easy to search for books and purchase them and when it is difficult to find them ask the staff and they are kind and helpful ,2 weeks ago
27,4, It is a large bookstore and has a wide variety of books and office supplies ,2 weeks ago
28,5, People make books and books make people Best bookstore in Korea ,2 weeks ago
