,STAR,CONTENT,DATE
0,4,Shopping heaven but not many signboard for direction,18 hours ago
1,5, Namdaemun is often used because of its variety and low prices ,a day ago
2,4, There are many things to see and it is good Cool in summer warm in winter Namdaemun Market has a special charm ,a day ago
3,3, It is a traditional market for a long time and it was good to have delicious braised cutlassfish and grilled fish ,2 days ago
4,5, Its always good to walk It has a wide variety of clothes and accessories Jewelry and good and cheap food ,2 days ago
5,3,It is one of the most famous fish markets,3 days ago
6,5, I stayed in Seoul this time so I stayed near Namdaemun Market When I had time I went to Namdaemun Market for a walk but I felt a bit regretful because I was still less energetic than before because of the ,3 days ago
7,5, cleaner than ever A lot has changed ,4 days ago
8,5, The weather is hot and the people who work hard are amazing I went back and forth to look for missing accessories There were not many ,5 days ago
9,4,Popular market with tourists,6 days ago
10,5, The boss is friendly Instead of forcing it you listened to the customer and made the choice by understanding and explaining from the customers point of view ,6 days ago
11,4,This is a huge market where many international items like imported foods are available tho expensive still,a week ago
12,5,Underground market ive loved it,a week ago
13,5, Market where you can find everything especially vitamins ,a week ago
14,3,Too few items for sale,a week ago
15,4,Its like a Sampeng but much bigger,a week ago
16,5,there is so much to see very interesting place,a week ago
17,5,A bit of everything nice ride,a week ago
18,5, Its all over the place There are a lot of people again ,a week ago
19,4, Nice place to just take the idea and take a walk I cant find anything special to buy ,a week ago
20,5, It is huge there are everywhere It is not necessarily a market as we understand it elsewhere There are several blocks of buildings each 4 or 5 stories tall on either side of the street There are shops ,a week ago
21,4,You can enjoy various things,a week ago
22,5, After visiting after a long time I looked around the market and ate delicious braised cutlassfish and grilled samchi Today too Delicious braised cutlassfish and steamed egg ,2 weeks ago
23,5, I ate braised cutlassfish and it was all delicious Unfortunately there was no seat so I ate alone in the corner ,2 weeks ago
24,5,Very good place,2 weeks ago
25,5, The accessory shop near Exit 6 of Hoehyeon Station is cheap This is a restaurant that only sells meat and kimchi steamed dumplings ,2 weeks ago
26,4, Go to Namdaemun Market Flower Market and buy artificial flowers There are various types and they are cheap ranging from 1000 won to 3000 won ,2 weeks ago
27,5,Yum yum plenty for all Food and stuff to please all sorts But the Egg Maca Chou was my favourite Not to be missed,2 weeks ago
28,5,You can find anything but a more touristy place,2 weeks ago
29,4,Organized chaos is the most apt description of this space It is packed with vendors and with  a little searching you can find pretty much anything you are looking for,2 weeks ago
30,5,Its cute and a lot of friendly people,3 weeks ago
31,5, A place where you can buy all your daily necessities at the price you want ,3 weeks ago
32,4, There were few people coming to the market due to the corona virus but lately people seem to be coming back here and there Peoples faces are bright and the smiles spread across the faces of the ,3 weeks ago
33,5,Came to hairtail alley to try braised hairtail stew They alley has dozens of restaurants all selling the same dish I just picked one where the staff seemed inviting Delicious stew but beware of small soft bones,3 weeks ago
34,1, Imitation Heaven But this is where I go to buy imported sheep to make highballs ,3 weeks ago
35,3,Characteristic,3 weeks ago
36,2, It is still a complex place and it feels like a major accident is bound to happen Still there seem to be many people who want to taste the traditional market ,3 weeks ago
37,5, Braised cutlassfish dinner at the alley It was nice to go to Namdaemun after a long time ,3 weeks ago
38,5, Its a place I go to often I went to buy a present for my mother and girlfriend ,3 weeks ago
39,5, I came with my glasses on but there will be more and more foreigners ,3 weeks ago
40,5,Affordable stuffs to buy,3 weeks ago
41,5,You will find everything and at a great price,3 weeks ago
42,5, I just like it There is a smell of life and there are many restaurants ,3 weeks ago
43,5, A place where there is nothing missing from everything in Korea I love sightseeing and shopping ,3 weeks ago
44,2,Good,3 weeks ago
45,1, Purchased at a beauty store to buy hair dye The price is cheap and the product is good ,3 weeks ago
46,5,good shopping,4 weeks ago
47,4, Its complicated haha The underground import mall is cool but its hard to see haha ,4 weeks ago
48,4, Its fun because there are so many delicious shops I can especially recommend the vegetable hotteok ,4 weeks ago
49,5, Nice walk with lots of good things to eatthe people are lovely there I love it I agree  ,4 weeks ago
50,5,Always an interesting place for hundreds of years you can never explore the whole thing,4 weeks ago
51,5, It is a place where you can wander around and buy beautiful products with great pleasure ,4 weeks ago
52,4, Namdaemun sells everything and as it has been said since I first came to Korea I sell everything at a low price Business hours vary depending on the store but while Dongdaemun is the main night Namdaemun is open ,4 weeks ago
53,5,Best way to experience reasonably priced shopping with endless varieties of traditional market food  Also best exchange rate for foreign currency,4 weeks ago
54,5,Fresh seafood heresuper love it,a month ago
55,5, Although the childrens clothing market is inexpensive It was luxurious and I shopped comfortably ,a month ago
56,3,Overrated,a month ago
57,5, The Namdaemun Hotteok which I stopped by while I was on my way to shooting live ammunition is delicious I will never go to the alley where those restaurants are gathered ,a month ago
58,5, I usually go to a restaurant Chicken Gomtang and Grilled Fish Kalchi Stew Its an old foodie but its worth the price ,a month ago
59,5,Great market with variety of things to buy see and do  Lots of indoor and outdoor vendors  great for snacking,a month ago
60,2, Its not a market down market not lively It is without Mac ,a month ago
61,5, Lots of food and lots of people I went to buy liquor but there is no corner so I have to go around several places but the price seems to be cheap ,a month ago
62,5, The bibim noodles in the market are delicious I have a lot of clothes to look at There is also Namsan Park ,a month ago
63,4, Its always fun to look around and its a happy place to eat cheaply Its Namdaemun Market Where moms swimsuit 4XL is always there ,a month ago
64,4, It was good because the bitter taste was not stimulating It would have been better if the biscuits were a little thicker ,a month ago
65,5, I was moved to see the people doing business in the market so kind and hard at work Fighting ,a month ago
66,4, If you go on a Monday and cant park at Shinsegae we recommend the Zhichajang run by the church on the side of the Tmark Hotel Discounted allday 10000 won Make sure to eat plump kimbap on the way ,a month ago
67,5,Muito bom,a month ago
68,3, Namdaemun Market is a large free market close to the Myeongdong business district where a large number of small traders of clothing shoes and hats and handicrafts gather There are also some photographic equipment ,a month ago
69,4, The allpurpose market always seems to be crowded and disappearing A market that always wants to exist forever ,a month ago
70,4,had some really good jokbal at a reasonable price,a month ago
71,5,I was very impressed,a month ago
72,5,Huge markets Plenty for everyone and easily accessible,a month ago
73,5,Come in the morning hours before 1130am then its not so crowded,a month ago
74,5,Open and closed market area where you can get a variety of things from clothes to flowers and household goods to jewellery and stationary etc,a month ago
75,5,Good place for buy souvenir with reasonable cost,a month ago
76,4, Im going to buy something momentary ,a month ago
77,5,Jai ador me promener et faire mes emplettes dans les rues trs frquentes de ce march traditionnel coren,a month ago
78,1, Namdaemun Market closed so quickly that I couldnt even look around properly I bought a bag but I think its not good ,a month ago
79,5,This place has pretty much everything that you need,a month ago
80,3,Dirty smell if you are a foreigner ypu get ripped off,a month ago
81,4,If you want to buy hats or socks then the world is your oyster But by gate 2 is a stall selling something that the whole of Seoul queues up to buy which maybe bean paste pasties Anyway I am back in UK so tomoz is greggs,a month ago
