,STAR,CONTENT
0,5,Seoul tower is very peacfull and one of clean place that I visit in my life Beautiful city view Fantastic gardens trees And I do highly suggest you to visit here if you visit seoul must add on your booking list When you come this place you will love to spend your time
1,4, We have walked up and down It is a good walk on one side stairs on the other path through the forest Visibility a bit poor but to be expected cloudy weather 
2,4, It was a bit late to open and it was raining and it was hard to wait outside but its still good 
3,5, It was nice to be able to see the beautiful night view of Seoul 
4,5,Got there at dusk By the time we got into the tower and up to the top it was dark out It would have been better to get there earlier to see the foothills etc but time and buses wouldnt allow it But it was a stunning view of the city 
5,4, Its been a long time since I visited with my mother and children to see the night view Even on the weekend there were not many visitors because it was Kosiguk so it 
6,1, I went a few years ago and I didnt like it its not much of a joke and its expensive for what it offers It seems that the only attractions in South Korea are Kpop and Kdramas A few palaces if anything but 
7,5,Overlooking Seoul
8,4,cool weather many trees convenient for walking and morning exercise there is a cafe on the tower spacious outdoor space
9,5, Worth a visit and one of the beautiful landmarks of Seoul 
10,5, Go up on the cable car and eat pork cutlet good for a date 
11,5,1 point worth going when visiting Seoul
12,5,Namsan Seoul Tower was built in 1969 as Koreas first integrated transmission tower beaming television and radio broadcasts across the capital Since opening to the public in 1980 it has become a muchloved Seoul landmark The towers main 
13,5, Its like riding a doubledecker bus to the tower but it feels different Is it It was nice to arrive at Seoul Tower and look around 
14,5,Its a Buran place
15,4,Nice ride up Nice view of Seoul city
16,5,Aju joa
17,5,Been up to the tower quite a few times Mostly walked up It an easy walk but will get you swearing Cable car option for those who prefer the less active way Plenty to see and do up there as we as grab something to eat
18,5, Arrive at Namsan Library around 820 in the morning and park It takes about 30 minutes to walk to Namsan Tower 
19,5,Nice small hike to the tower Plenty of restoraunts as well to choose from  Very scenic views and overall a great experinece right in the city
20,4, If you dont take the Namsan Tower cable car its about a 20minute walk from the park parking lot Its a little hard because Im going up the stairs 
21,4, Okay I think it would be nice if it was a little more dynamic 
22,5,My favorite place in Seoul 
23,5,Very cool location extremly nice 360degview to all sites of the town
24,5,Great view of the city and a nice place to relax and chill during summer Do take the cable car from Myeongdong 
25,5,Great place to visit for the view of the Seoul skyline
26,5, It was my turn to climb the tower so I waited for a while but the night view from around the tower was beautiful enough Of course the night view from the tower is the best 
27,5, This is a picture of Bongsudae next to the Seoul Metropolitan City Cultural Heritage Excavation Exhibition Hall and Namsan Tower 
28,5, Seeing the night view of Seoul here is indeed the first recommendation But unfortunately as a hurried passerby we only stayed for one night and we just didnt buy a ticket to the tower Taking the next step I 
29,2,Visiting this place in the summer is a huge mistake lines were unbelievably long and slow Ive never seen such a long line and was forced to stand in it because no I dont want to go down walking in a 200 stairs in the summer and I paid a rounded ticket
30,5,I always wanted to visit the Namsan Seoul Tower What a beautiful view all over Seoul I highly recommend it
31,5, Its nice to be able to see downtown Seoul at a glance On weekdays half of them are foreigners 
32,4, I went on a cloudy day and bought a ticket to the observatory and they stamped it saying it was free if I came back within 3 months This system is fine 
33,5,Top we see all Seoul its great
34,5, The tower is only worth going up once It was fun to do traditional martial arts performances under the tower 
35,4,good 
36,4,The entry ticket is a little pricey especially as you also have to buy a cable car ticket up to the base if you dont want to hike but I think its quite worth a visit The view from there is great and there are also shops with drinks as 
37,4,Worth a visit there are restaurants and cafes
38,5, It was a day that fulfilled one of my bucket list with my sons Living in Seoul I went to a farther place to play and see but I was embarrassed because I had never been to the nearby Namsan Mountain It was 
39,5,So good The air scenery is superb Will visit again
40,4, Its really mandatory to enter the Bucketlist when you go to Korea to Namsan Tower as an icon of Seoul The road to get there is a bit uphill so its a bit messy but its really worth seeing Korea from above 
41,5,I love this place
42,5,Amazing views
43,5, Its my favorite place in Seoul Its old and modest but I go there often because I can easily see the whole view of Seoul 
44,5,good place to see the entirety of Seoul also a good place for coffee or dating
45,5, nice  Take the cable car and go up the tower  
46,3, I couldnt see well because the weather was bad If you revisit within 3 months you will get a stamp saying that it is free 
47,4, long time visit There are quite a few people even in rainy weather There are a lot of foreigners 
48,4, Escalator and cable from Myeongdong charged When you go up there are places where you can play variously restaurants and cafes and above all you can see the whole of Seoul 
49,5,tollerest Tower in Korea
50,5,From there you see almost all the city if not too foggy
51,5,Namsan Seoul Tower or known as N Seoul Tower is a high tower in the center of Seoul This towers high is about 480 meters above the sea and become the higher tower in South Korea This tower was built on December 1969 and need 11 years to 
52,4,A great place to get the good views of Seoul Also a great place to hang out or exercise Plenty of food shops and toilets A bus goes up there if you dont want to walk
53,5, The wind was cool and it was nice to walk Owl pork cutlet in Tower Plaza is delicious 
54,5, Especially at night the view over Seoul is breathtaking The Seoul Tower is illuminated in different colors 
55,5,So beautiful
56,3,The way to there is amazing but the tower itself is dissepoinding
57,5,The views of the city from here are great can easily hike up here or take a bus
58,5,Amazing place
59,5,Superb experience seeing whole of Seoul from the top Absolutely must do thing if you are visiting Seoul for the first time
60,2, Cable fee 50000 for a family of four 50000 for the N Tower Observatory 
61,5,We walked here from our hotel in Myeongdong The prices were pretty normal and we enjoyed the sights a lot You can walk a path to the tower or take the gondola for a small fee Then the tower itself has a fee to the top At the top 
62,5, I love it  Im from Egypt and I hope to go to Korea   Seoul 
63,4, I can see the whole city of Seoul at a glance Luckily I saw a rainbow 
64,5, I visited Hongdae street after a long time It has changed a lot 
65,5, Feijing is very beautiful watching the sunset in the evening Seeing the night view of Seoul at night you can see it at a glance it is highly recommended to come and go 
66,2,A place you wont go unless you make up your mind to go
67,3, too many people It costs 14000 won but there is no air conditioning in the cable car Unavailable on vacation due to heat and people 
68,3, Namsan Cable Car 7000 won one way about 3 minutes Very expensive 3 people round trip 42000 won I think 4000 one way is appropriate 
69,5, It was the most convenient place I went around with a stroller in Seoul and the staff were friendly 
70,4,A bit pricey to ride the funicular but nice views
71,5,One of the hallmarks of Seoul a beautiful tower Getting here is part of the experience  you can either take a bus or cable car The path to the tower is amazing and you can admire great views of the city even before reaching the tower 
72,5,I love him seuol pepole
73,4, Namsan was already there before Hanyang  A good place to walk cable car and ride Although there are a lot of gilnyangies it is a place where phytoncides that 
74,4, If the weather is good you can see the whole view of Seoul at a glance and it is a place where you can open your heart You can take a walk when you have free time Transportation is still inconvenient to visit for 
75,5,Beautiful but expect the cable car to be packed haha
76,3,It was very cold and foggy at that time
77,5,Stunning tower overlooking seoul cbd inside the tower there is a projection art exhibition room before you reach the elevator that takes you to the viewing deck near the top Around the tower is a nature reserve which serves as an amazing green space in the middle of Seoul
78,5, It is a place where you can see the scenery of Seoul at a glance 
79,5,The view was spectacular up here Worth the climb from the train station hella steep but hey humidity is lower so i didnt sweat much
80,5,Wonderful
81,4, The view is good but when the bus route goes up and down it is very inconvenient as it takes a different route I couldnt go down from where I parked when I went up I think it would be convenient to take the cable 
