,긍정,리뷰 수,부정,리뷰 수
0,food/NN,423,myongdong/NN,1
1,experience/NN,216,sloppy/JJ,4
2,area/NN,436,times/NNS,55
3,amazing/JJ,103,changed/VBN,8
4,stores/NNS,91,anything/NN,58
5,love/VB,261,entry/NN,23
6,taking/VBG,70,going/VBG,114
7,spend/VB,99,mediocre/JJ,5
8,cute/NN,44,packed/VBN,26
9,looking/VBG,92,indoormall/NN,1
10,lovely/RB,46,windows/NNS,24
11,cool/JJ,66,disappointed/JJ,31
12,restaurants/NNS,241,disappointing/JJ,20
13,easy/JJ,62,compared/VBN,54
14,souvenirs/NNS,284,platform/NN,17
15,building/NN,152,overrated/VBN,3
16,facilities/NNS,33,hype/NN,8
17,take/VB,253,worse/JJR,5
18,shopping/VBG,333,would/MD,157
19,amazing/VBG,103,thing/NN,487
20,zoo/NN,103,complicated/VBN,10
21,loved/VBD,55,bit/NN,221
22,sells/VBZ,17,seen/VBN,50
23,fast/JJ,34,mostly/RB,30
24,came/VBD,66,buy/VB,199
25,night/NN,107,per/IN,476
26,admission/NN,25,thats/NNS,37
27,xngxdxxi/NN,1,queues/NNS,41
28,couto/NN,0,dont/NN,150
29,airport/NN,14,huge/JJ,56
30,watching/VBG,31,quite/RB,132
31,different/JJ,114,pool/NN,8
32,drink/NN,40,alot/NN,13
33,fantastic/JJ,24,however/RB,32
34,ride/NN,205,far/RB,58
35,full/JJ,102,n/JJ,2670
36,enjoyable/JJ,18,public/JJ,22
37,attractions/NNS,37,small/JJ,206
38,tea/NN,163,hour/NN,162
39,souvenirs/VBZ,284,expensive/JJ,122
40,worth/VBZ,224,long/JJ,226
41,candy/NN,22,free/JJ,104
42,one/CD,480,disappointment/NN,16
43,truck/NN,7,rides/NNS,139
44,walking/NN,144,parking/VBG,32
45,favourite/JJ,13,dont/VBP,150
46,fall/NN,11,much/RB,204
47,bought/VBD,69,special/JJ,177
48,lock/NN,124,aquariums/NNS,36
49,traditional/JJ,114,nothing/NN,89
