,Unnamed: 0,NAME,STAR,REVIEW,DATE
0,0,CanisHan,4.0,C  201216  There was one of Choseons palace in Seoul and located near City Hall Station There had some Choseons style palace and modern architecture There was good to walk with old atmosphere and sometimes there had exhibition Though there had cheap entrance fee but it was worth to visit and walk One of beautiful palace in Seoul,"Written December 20, 2020"
1,1,JHL,4.0,Locating before City Hall this place is easy to access comparing to other palaces of Seoul With only 1000 won you can experience minor version of Gyeongbokgung or Changdeokgung Good place to take a walk and have fun Stone fence around the palace is also popular to visitors After watching palace escape through the gate and circle around The best time to visit is from early to mid November with fall foliage,"Written May 8, 2020"
2,2,Diviva,4.0,A small palace compared to that of Gyeongbukgung and Changdeokgung This palace is perfect for those who wanted to visit one but do not have much time The palace allows visitors to understand the ancient Korean culture There is a change of guard ceremony at fixed timings here,"Written March 4, 2020"
3,3,Kat,5.0,This is probably one of my most favorite Palace in Seoul definitely in the top three It seems like it lies in the center of Seoul the way it is positioned surrounded by modern architecture of Seoul hotels restaurants the City Hall and other important buildings Its so easy to get to by train bus or taxi and it is within walking distance to other attractions The Palace house also a gallery and a shop Its great to stroll around these old buildings and imagine how life might have been way back in the Joseph Dynasty Right outside of the Palace in the small street on the right of it lies a famous Belgian waffle shop which Id recommend trying Its not Korean but it is claimed to be one of the top 5 dessert shops in Seoul,"Written February 11, 2020"
4,4,CulinaryConsultants,5.0,There is a common believe that most South Korean Temples look pretty much alike and that is an undeniable truth Nonetheless there is a hidden differential beauty on each one of them Here at this temple we could appreciate the differences  This palace also has a lot of dynamic history as has been occupied not only by the Korean Royal family In 1897 after the incident when Emperor Gojong took refuge in the Russian legation he returned to this place and named it Gyeongungung again During the Japanese occupation of Korea in 1592 the residential buildings became a temporary royal residence after all the other palaces were destroyed by fires  Many of the structures here have since been removed or sold In 1933 all buildings except for a few central and western style buildings were removed It was then made a park and opened to the public  At the end of the trail you may walk youll find a turquoise Blue Fountain European looking On the left of this you will find a smaller part of the palace detached unit and on the right of the fountain youll be right in front of the Deoksugung National Museum of Modern  Contemporary Art  Its important at the door to purchase the full package ticket so that you can appreciate both Palace and Museum  Since 2007 restoration work to restore Deoksugung Palace to its original specifications  This work has been ongoing We do recommend extensively this palace although we couldnt appreciate the full beauty as it has been a bitter winter this January but in Spring must be definitely wonderful  Dont miss it,"Written January 29, 2020"
5,5,Teddy K,5.0,I visited 2 palaces Deoksugung  Gyeongbokgung during my visit to Seoul last month though Deoksugung is not as big as Gyeongbokgung but Deoksugung is quite unique compare to Gyeongbokgung You can find both Joseon Dynasty  Western influences in this palace something that you cant see in another palaces in Seoul ,"Written January 16, 2020"
6,6,Bob B,5.0,Why pay for tour guides when you can hop on and off the subway and visit so many places in Seoul This is yet another great place to mark on your tour and enjoy your photos for years to come,"Written January 9, 2020"
7,7,Abbydelight,5.0,A well maintained palace in the modern city It is smaller than Gyeongbokgong and Changdeokgung Beautiful scenery,"Written January 6, 2020"
8,8,Emma C,4.0,Ive been here a few times over the years and it never disappoints  I love the fact that it has a changing of the guard ceremony 3 times a day I think and other stuff going on too  Once inside though it feels like a different world with a park like ambience plus a mixture of Korean and Western architecture which makes it unique for a Korean palace I like to just sit and watch the world go by here  I walked here but its close to City Hall metro station if youre using the underground,"Written January 5, 2020"
9,9,Krishhere,4.0,This is a much smaller palace as compared to the grand Gyeongbokgung palace and is in the heart of the city We landed there just in time for the changing of the guards ceremony which is again not as elaborate as the one at Gyeongbokgung but is still nice You can watch the ceremony from the street You need a ticket only to enter the palace grounds The visit does not take much time as the palace grounds are small The guide pointed out to us some of the structures dating back to 1600,"Written November 30, 2019"
10,10,Alex D,5.0,A smaller palace in the middle of town Well worth a visit especially if you take the free guided tour about 50 minutes Time your visit to see the changing of the guard which is quite entertaining,"Written November 29, 2019"
11,11,yipjcs88,4.0,Deoksugung is right at City Hall Station I went there to see the City Wall the external wall of Deoksugung This time I went inside the palace as there were lovely maple trees showing beautiful autumn colours Happened to see also the show performed by the palace guards,"Written November 13, 2019"
12,12,ErkiBear,4.0,Deoksugung is the only palace open at night and the way it is all lit up is both beautiful and atmospheric There was a childrens concert going on when we visited which we stopped to listen to,"Written November 4, 2019"
13,13,Agnes D,4.0,Have to go at the right time to see the changing of the guards in front gates They let you take pictures with them afterwardsIts free and it was really cheap to go into the gardens after if you wanted but we did not go in,"Written November 4, 2019"
14,14,Gary W,4.0,I really liked this palace Not as well known as the others but deserves two visits First the afternoon changing of the guards is fun to watch and you can stand right next to the guards Second this palace stays open at night and makes for some great pictures with the lights on the grounds and the surrounding buildings,"Written October 21, 2019"
15,15,MH0202,5.0,What a beautiful palace to visit at night We stayed 5 minutes walk from the palace and was reading about the palace being open during the evenings  Definitely highly recommend an evening visit It had a romantic atmosphere and was lovely to visit as a couple  Entrance is 1000 Korean won per person The grounds houses a art museum and some modern art installations are visible on the site Made even more special once lit up As the palace is situated near the city hall and I the heart of the built up city the tall skyscrapers are even more visible at night when they are lit up with their neon lights Spectacular blend of old with the new modern backdrop  Will definitely return during the day It might be the smallest palace of them all but I would definitely recommend a evening visit as you will experience it in a way you cant see the others,"Written October 20, 2019"
16,16,Oren M,4.0,But pretty small With the audio guide no need to spend more then an hour Part of the palace pass which contains five palaces Come early to see the changing of the guards but dont enticipate something european,"Written September 28, 2019"
17,17,Nicholas D,4.0,Adjacent City Hall is Deoksugung Temple Grounds which is down the road from the main palace Outside this temple you can find the Royal Guards performing their Change over ceremonies and other cultural displays Once you get inside you will find that this temple ground is larger than it first appears with a CafeGift Shop forested wild pathways council buildings an Art museum temple grounds  buildings and many large art installations If you arrive during the Korean holidays the temple is free entry otherwise you will have to pay to enter There is plenty of exploring to be done in this little area which almost appears hidden from the surrounding city streets like an oasis for people to come and relax or to learn about Art  History or even get a bit of exercise away from the traffic heavy streets of Seoul I highly recommend a visit to this temple even if it is to waste a little time on your journey around the city,"Written September 27, 2019"
18,18,David W,4.0,Good display of the Changing of the Guard on the outside of the palace gates between 10001400 You dont need a ticket to watch it from the street Lasts about 15 minutes with photo opportunities with the actors after the show is over Worth the trip to see the traditional dress and the parade,"Written September 18, 2019"
19,19,Katie,4.0,1 Closed on Mondays  2 Get the Royal Palace Pass entry to multiple museums  including The Secret Garden; less queuing saving money and all sites are worth a visit  3 The actual review We visited on a Sunday and saw the changing of the guards  narrated in Korean and English Photo opportunities with the guards were free after the ceremony Mix of oldschool Korean buildings and western buildings but all worth a visit Its small but you cant argue with the price Theres a free guide at the entrance and not the one to visit if you only have time for one but can easily be done in a day of other activities,"Written September 3, 2019"
20,20,NYDEB55,5.0,Visited during a day trip it was very cold but the day went well as the Palace is easy to navigate and you can listed to the tour in English as well as have an English tour book,"Written August 18, 2019"
21,21,Mr C,5.0,Deoksugung is one of the 5 royal palaces in Seoul It is covered by the Royal Palace Pass but entry is only 1000KW It is a small palace compared to the other main palaces but I think one of the nicer and more interesting The architecture reflects a blend of Korean with western influences,"Written August 14, 2019"
22,22,ellycmc7,5.0,This palace is a lot smaller compared to the others Easily walked through the entire grounds within 30minutes The changing of guards is not to be missed The audio guide can be rented at the entrance,"Written August 11, 2019"
23,23,Scott W,4.0,Interesting collection of traditional Korean architecture eg Daehanmun Gate Junghwajeon Hall etc a fusion of Korean and European architecture in Jeonggwanheon Hall then more classical European in Seokjojeon Hall and the National Museum of Modern and Contemporary Art both fronted by a European garden All overlooked by the high rise buildings of modern Seoul I relatively small complex easy to traverse in 60 or 90 minutes but the architectural contrasts are a highlight Along with the changing of the guard 11am 2pm and 330pm Noisy colorful and informative  really well presented and plenty of photo opportunities at the end,"Written July 14, 2019"
24,24,LG_Kay,4.0,This palace opening hours are 9am to 9pm I visited this palace just before 6pm initially hoping to stay until dark to capture the compound with its lightings However the palace is rather small with only 6 buildings in total As such I spent only an hour here and left not willing to wait till sunset around 8pm  The buildings architecture and design are generally the same as other palaces One unique building is Jeonggwanheon Pavilion built by a Russian architect incorporating Korean and Western designs This pavilion was used for banquets for foreign visitors when they visited the palace,"Written July 5, 2019"
25,25,Thamjiak,2.0,We ventured here for the free rental of Hanbok and the changing of guards performance  Changing of Guards ceremony 11001st Time  14002nd Time  15303rd Time Closed on Mondays  We queued for the Hanbok at 1300 as the sign stated that the counter will be opened at 1330 The counter eventually opened at 1345 with crowds overpowering the queue We voiced out to the crowd and the attending lady in charge Yet the lady in charge replied that she only attends to the people who approached her first regardless of the queue Hence we voiced out to the crowd that there was queue and be sensible to those who have waited for 45mins We were lucky as the crowd were English speakers and they take heed to our comments Beware of the lady attending to you she was rude and abrupt Well we were here for the Hanboks just swallow what her comments were,"Written July 3, 2019"
26,26,Marie Annette K,4.0,I went there after being rather unhappy with a museum visit This place saved the day as it was a wonderful way to learn about more recent Korean history and understand how things moved there The mixture of old traditional style Korean architecture with what came to be more fashionable once Korea was influenced by the west is a interesting sight to observe By all means that time to sit and watch observe the landscape Though I did find it annoying that for the museum you needed to buy an extra ticket so I didnt go,"Written June 23, 2019"
27,27,Chin71,5.0,A high school student called Esther who is my volunteer guide made the trip perfect She was able to explain about the different buildings meaning of motifs and emblems and story of the Princess Weather is very good in June with sun and nice temperature Just in time to catch the change of guards after my tour Best experience thank you,"Written June 16, 2019"
28,28,Lottelli,4.0,We didnt go inside the palace but watched the lavish and dramatic changing of the guards at 330 I think the other times are 12 and 2pm but check that if going We get lucky enough to try on free Hanbok costumes to experience the change of the guards and pose with the guards after their ceremony The whole thing lasted about 20 minutes and there were explanations in English The outfits were colourful Theres a huge drum thats beaten too,"Written June 16, 2019"
29,29,lonsic,5.0,We went to Deoksugung We were very lucky to be escorted by a volunteer guide He was 16 years old and spoke good English He took us through the various buildings of the palace and gave us a detailed explanation of the uses of the buildings and the history This place was not to big and it was an excellent experience Definitely worth a visit,"Written June 16, 2019"
30,30,jms,5.0,The changing of the guard ceremony takes place outside of the palace grounds in a small courtyard next to the sidewalk You are very close to all of the participants who are in very colorful costumes Great for photos The park like setting inside the gate is very peaceful Hard to believe it just off a busy street,"Written May 25, 2019"
31,31,sashkello,3.0,Dropped by here because it was on our way and walked the grounds A few beautiful nature corners and buildings are pictureworthy as usual Otherwise not much to see here but if its on your way its worth stopping by,"Written May 19, 2019"
32,32,Szesea,3.0,A combination of Korean  WesternStyled Palace which makes me opened up my eyes  Wonderful place to relax,"Written May 8, 2019"
33,33,Derick Guillarte,4.0,Famous for its stone wall road and located at Seouls busiest downtown intersection You can watch the changing of guards ceremony here and dont forget to try walking on th4 stonewall walkway path,"Written April 22, 2019"
34,34,FrChAKL,5.0,The ground was not as big as Changdeokgung palace but it was one of our most enjoyable places visited in Seoul mainly because we were given free guided tour and we were also allowed free use of hanbok the traditional South Korean dress After the Royal Guard changing ceremony there was announcement to encourage picture taking with the palace guards which we did while wearing our hanbok  Tip Changing of the guard ceremony is held at 1100 1400 and 1530 closed on Mondays Try to get there at least an hour before the changing of the guard if you want a free guided tour We were there just after 1000am where we saw this youth group who are offering free guided tour At this time the group managing the free hanbok were not yet available We took the tour which was only the tour guide and myself and my wife so it is practically a private tour The guided tour took about 45mins After the tour we went out of the palace and proceeded to the stall of the group that is offering free hanbok We registered and was fitted with hanbok  both my wife and myself We were wearing the hanbok during and after the changing of the guard ceremony and took plenty of pictures of us wearing them  Please note The stall for the free guided tour and the hanbok experiences are NOT inside the palace They are at the left front side of the palace gate,"Written April 18, 2019"
35,35,Jay Santos,5.0,The scheduled Changing of the Guards was cancelled due to fine dust warning issued by the government  But the whole palace itself is a good attraction to visit,"Written March 11, 2019"
36,36,PushExplore,4.0,This was our first self tour of the Deoksugung Palace Interestingly the entrance fee was waived for the next few days we got lucky We also witnessed a demonstration right outside the palace Lots of Korean and US flags  The palace ground is quite bare and brownish I guess in winter it doesnt look its best What was interesting to do was play a few ancient sports that are on display and we made full use of trying some of the ancient games The palace has an interesting mix of traditional Korean and Colonial style architecture  The law with the fountain area looks really nice and the Museum of Art is quite an interesting albeit boring for kids exhibition  It was a nice day to be out and about as the sun was shining bright on a cold crisp winter day Worth a visit check the box,"Written February 2, 2019"
37,37,TanWidya,4.0,We went Deoksugung Palace to see the changing guard ceremony at 11am  only 15min  First we went to the hanbok counter to get the free hanbok We can choose the hanbok and we can wear it for photo around the gate for 10min We took many pictures with the free hanbok,"Written January 30, 2019"
38,38,minyunusa,5.0,It was a strange feeling because it was deoksugung which had come decades ago after the emperor Gojong was abandoned by the pressure of japan in the palace history guidbook he lived here and was called Deoksugung palace the name of the palace is not pleasant However we was doing the gate changing ceremony to remember tttttthe dignity of the palace when the king was inhabited could we go to the royal court as easily as we do now the couple gave free admission togethere as a national merit,"Written January 18, 2019"
39,39,RAGHAVENDRA K,5.0,Standing in the middle of one of the busiest city junctions a visit to this place can be clubbed with that of City Hall This Palace is considered one among the five grand Palaces of Joseon Dynasty Located near the City Hall Metro station this Palace complex houses a very well maintained garden the National Art Museum influenced by the Western Architecture along with other traditional structures The changing of guard ceremony is also held in this palace which is another major attraction for visitors,"Written January 16, 2019"
40,40,tania936,4.0,It\xc2\xb4s a very nice place to visit This one is definitely definitely recommended to visit The Emperor Gojong lived there when hes old and passed away at that exact building,"Written January 15, 2019"
41,41,alinelunardy,5.0,I seriously fell in love with the palaces in Seoul This one is definitely definitely recommended to visit The only palace where you can observe the Kings throne closely Even though its pretty small compared to other palaces its still beautiful One of the building isnt painted like other buildings its said that the Emperor Gojong lived there when hes old and passed away at that exact building Theres a mixture between western and eastern architectures here I will come back for sure and maybe will try to book a tour for the Daehan empire history museum  the only building with western influences where Emperor Gojong used to live and entertain guests,"Written January 15, 2019"
42,42,coquinetto,3.0,Arrived at this palace 15 minutes before the changing guard ceremony What i can suggest please pick a spot facing the gate as usually this side can get a first chance to take a pic with the guards and no crowd yet ; One more thing if you go inside the palace for senior citizen 65yo is free,"Written December 28, 2018"
43,43,SusanneIH,5.0,We went to see the changing of guards at 11 am Very interesting ceremony a loud English voice explains what is happening and afterwards pictures can be taken with the guards Kids loved it too 64 yo; good to go 1015 min before start to get a spot at the ropes  The palace and its garden are great to walk through We visited on the last Wednesday of the month and it was free including the museum entered from the garden some really interesting pieces All in all a very entertaining morning,"Written December 28, 2018"
44,44,MsCarefreeTraveler,5.0,Deoksugung is the only palace in Seoul where you can experience being a Royal Palace Chief Gatekeeper and take an active part in the Changing of Royal Guards Ceremony not just as a spectator  Unlike other palaces you can also enter the palace grounds at night to enjoy a moonlit stroll  Currently an exhibition of costumes and accessories from the Kdrama Mr Sunshine is being held in the palace  Beyond the palace you can explore the historic neighborhood and the famous Stonewall Walkway along the palace walls You can find film locations from Kdramas like Goblin  Find more tips on how to enjoy this palace and its neighborhood here  httpbitlyDeoksugungTips,"Written December 7, 2018"
45,45,Angel Tuason Espinosa,5.0,This is probably the smallest palace in Seoul But what you go there for is the changing of the royal guard ceremony It happens right outside the gate so its free The ceremony takes place every 11am 2pm and 330pm Be there 1015 minutes before so you can get a good spot behind the cordon They give you time to take photos with them too Going inside the castle youll need to pay 1000 won youth 500 won Unless youre wearing a hanbik then its free Some areas wereunder renovation when we visited You need to walk around the palace and take photos in their stone walls,"Written November 16, 2018"
46,46,hermosamary,4.0,This palace is very easy to get to from the Seoul metro Changing of the guard is scheduled several times a day The guards pose with the tourists after the ceremony Open and main building are lit at night Grounds have beautiful trees and walking paths,"Written November 12, 2018"
47,47,Rumples,3.0,I liked Deoksugung the least of Seouls five grand palaces Thats because its myriad buildings present a mishmash of neoclassical Western and traditional Korean architectural styles A palace since 1593 Deoksugung took on a new look in the early 1900s when King Gojong instituted a program of modernization and reform In addition during my October visit a wall enclosed a large portion of the grounds further detracting from a cohesive whole Construction work was under way with windows in the wall revealing only dirt and construction materials  I found the buildings interesting to look at separately especially Jeonggwanheon Hall a fusion of Western and Korean The king drank coffee here and entertained guests This small structure features a verandah and metal railings and fits in better with the Korean halls than with the massive Western buildings One of the latter now holds the Daehan Empire History Museum and another features the Museum of Modern and Contemporary Art  I came here on a weekday to watch the changing of the guard at the entrance gate and stayed to visit the palace itself The guard ceremony proved to be absolutely spectacular with at least 50 participants dressed as Josenera soldiers and bandsman in vivid yellow or brilliant shades of purple The ceremony lasted about 10 minutes with a woman describing what was happening over a loudspeaker in English and other languages She then invited spectators to approach the soldiers to take photographs  Excellent free brochures about the palace are available in English Information signs most with details in English exist throughout the complex and tours are available in English The admission fee for adults is 1000 KRW about 1 US,"Written November 12, 2018"
48,48,ron d,4.0,Make sure to include this in your itinerary Walking through the palace corridors absorbing the rich history and imagining being there as well,"Written November 4, 2018"
49,49,Morning S,4.0,This place is huge and take your own time in exploring these palace grounds Good for a leisurely walk It has many Palace buildings and a beautiful Garden,"Written October 29, 2018"
50,50,Andra B,5.0,I was walking by so I stopped in Nice buildings and grounds and a very low entry fee I was fortunate to see the changing of the guard on my exit,"Written October 28, 2018"
51,51,Kairos_75,4.0,The Palace ground is huge where the palaces of each dynasty are spread over the whole area with the rock walls interesting history of the palace and also the nice changeofguards ceremony at the main gate Good place to visit if one goes for a walking tour with City Hall Arts Museum Presidential Palace the Stream and Insadong for a day the Palace entry tickets are definitely cheap and worth the 12hrs walkabout,"Written October 23, 2018"
52,52,taitaihk,4.0,This palace and the surrounding grounds are much smaller than the nearby Gyeongbokgung Palace but it is still worth a visit if you have an hour or so to spare We arrived just as the changing of the guard ceremony was starting 11am which takes place just in front of the main gate There wasnt such a big crowd so we had a good view of the ceremony After that we took a walk around the westernstyle garden and the interesting buildings in different architectural styles Part of the site was under renovation but there was still plenty to see including the Modern Art Museum,"Written October 18, 2018"
53,53,Robin B,4.0,Since this is the only Seoul palace you can see illuminated at night we walked through the Seoullo Sky Garden on both ends blue lights come on and then over to this palace nearby It was beautiful to behold at night,"Written October 17, 2018"
54,54,PeterBruceG,4.0,I think I mightve missed the event I only saw two guards at the gate and they look quiteordered Enjoyed the visit and its nice grounds is that its under construction at the moment Pretty buildings and peaceful,"Written October 2, 2018"
55,55,DorsetgirlLondon,4.0,A walk around the old and new buildings of this palace is a perfect escape of the city as well as an education on architecture and art  Please note it is closed on Monday and Tuesdays,"Written September 22, 2018"
56,56,FayeLG10,5.0,beautiful in fall if you go to city hall definitely go here changing of the guard is also very good to watch and they let you take pictures with them ,"Written September 16, 2018"
57,57,Simon H,3.0,Didnt go into the Palace  but watched the changing of the guard at 1100 hrs Nice to watch with commentary in Korean English and Chinese and Japanese Dont panic about trying to get a good close up picture of guards at the end of the ceremony the ropes come down and you can take photos and walk in amongst them Little great toilets in Berrys and bean on your leftmake sure you buy a coffee,"Written September 10, 2018"
58,58,ewf12,5.0,For a small area the site has a surprisingly large number of interesting building to visit and at night they are beautifully lit,"Written August 18, 2018"
59,59,Ian F,5.0,We had a private tour of this site and it was amazing Beautiful buildings and gardens The art gallery was the highlight with historical and modern Korean art on display Nice to see original Korean artworks,"Written August 17, 2018"
60,60,Margareth T,3.0,Its smaller than Gyeongbokgung Changdeokgung and Changgyeongung but still interesting The location is near the Seoul City Hall The most interesting things are the changing guard time and palace festival usually around May or October But for the other months its not that worth it to be visited,"Written July 21, 2018"
61,61,CarSteHolden,4.0,Small place which only takes half an our or so to walk around Not much to see inside The main attraction is the changing of the guard ceremony It was excellent Lots of interesting uniforms to look at and excellent drummers,"Written July 15, 2018"
62,62,Sanna2888,4.0,Deoksugung is a lot smaller than the other Seoul palaces Gyeongbokgung Changdeokgung but its still worth visiting Its much more quiet and offers a break from the city on a hot day Take you time and sit around for awhile observing locals and enjoying the scenery Since its centrally located Deoksugung also offers great views of traditional palace buildings with a bunch of modern skyscrapers in the background  a combination of old and new that makes Seoul so interesting,"Written June 10, 2018"
63,63,Paul B,3.0,Compared to the other palaces this one has little to offer As there are just a few buildings where you can walk around and look less impressive compared to others,"Written May 22, 2018"
64,64,Helen S,3.0,We visited as we had a little time and were in the area It is cheap to visit but there isnt much to see compared to the other palaces The changing of the guard ceremony is fun to watch and there is an explanation of what is happening in English There is some information about the buildings in English but not very much I would say it isnt worth going if you only have a few days in the city but stop by if you will be around for a week or more,"Written May 15, 2018"
