,STAR,CONTENT,DATE
0,5, Free admission It is the best place for education on a hot day ,a day ago
1,3, It seems too old The facility seems to be in urgent need of repair Thats sad ,a day ago
2,5, Even if its not an exhibition theres a lot to see We recommend that you use a program that explains it as much as possible War history is really interesting ,a day ago
3,5, It is exhibited in great detail about the 625 War and the footsteps of foreigners do not stop ,2 days ago
4,4, The street is a bit noisy as the Blue House goes to Yongsan but the museum is good ,2 days ago
5,5,Its free which is already 5 but such a rich place to learn about history please go It is very important to this country,2 days ago
6,5,Amazing history here Learned a lot,3 days ago
7,5,Very high quality and free Great videos available in many languages Could spend 4 hours if you looked at everything,4 days ago
8,5, touchable can feel war in history ,5 days ago
9,5, Police Soldiers UN Soldiers The dense names make me gloomy ,5 days ago
10,5,Really amazing place much too see and do Free entry for so much A great day full of I information and history,5 days ago
11,5,Very nice museum covering all wars Korea involved from history to modern age,6 days ago
12,5, It was bigger than I thought and it was amazing and I think it is a good place to come with children ,a week ago
13,5, I went to the War Memorial of Korea to see the exhibition It was good to know the history of Korea again ,a week ago
14,5,A lot of retired weapons from ROK and allied forces were on display I had never seen such a sight before ,a week ago
15,5, As an adult I have a lot to see and learn Kids love airplane missol tinks I feel like the exhibits are somewhat overlapping ,a week ago
16,5, An excellent museum dedicated to the history of Korea I recommend ,2 weeks ago
17,5, The war memorial occupies a very large area The 2nd floor is 625 Dongran Building On the 3rd floor the dispatches to Vietnam and overseas dispatches to the ,2 weeks ago
18,5,Awesome place Must visit,2 weeks ago
19,5, Clean and quiet exhibition hall Its busy on weekdays but its good There are a lot of people protesting just before the Blue House ,2 weeks ago
20,5,very good very clean Very tasty very friendly,3 weeks ago
21,5, The exhibits have been greatly improved Good for children good coffee ,3 weeks ago
22,5,Loved this place So much information you could spend hours there And its free,3 weeks ago
23,5,Honors for those sacrificed for the country,4 weeks ago
24,5,My recent June 2022 visit to the War Museum of korea was a sobering  enlightening and truly necessary experience It brings up many emotions of needless suffering and loss  All in the name of greed and power Ugh  As the caption said ,a month ago
25,5, It is a playground of weapons display that stimulates curiosity for children ,a month ago
26,5, beneficial to children A place that adults should also visit regularly ,a month ago
27,4, I went to the Eva Armerson exhibition Parking was convenient ,a month ago
28,5, The largescale diverse exhibits provide a pleasant viewing environment The arrangement of the exhibits and the circulation of the exhibition are convenient It is the perfect place to promote national defense ,a month ago
29,4,dot,a month ago
30,5, It is exciting to see tanks cannons and planes from the war of the 2 Koreas ,a month ago
31,3, When you go into each tube to be honest it doesnt look too much The beam screen is hard to see and the models are too fake Remodeling is ,a month ago
32,5,I love it here Surprisingly you will find some beautiful women mixed in with the families,a month ago
33,5, It was nice to be able to reflect on the painful history of Korea with the children ,a month ago
34,5,Theres subtle bias and praising military but thats to be expected of most defense funded museums Good otherwise decent English info,a month ago
35,4, It was very helpful I recommend you to go if you have children ,a month ago
36,5,I advise everyone The impressions left are colossal,a month ago
37,5,Museum of Military Equipment and History of Korea.,a month ago
38,5,A lot of information that normally nobody tells you,a month ago
39,5,Excellent,a month ago
40,5, It is also a good place to relax in the middle of the city ,a month ago
41,4,Big kinda lots to see if you like war museums,a month ago
42,5,I learned so much,a month ago
43,5, I have to go here alone Slowly looking around alone the world is comfortable No one begging you to go fast and no one begging you to be hungry Alone ,2 months ago
44,5, This is a wellorganized memorial hall to help us understand the countrys overcoming national crisis ,2 months ago
45,5, I went with my 10yearold daughter to see the Eva Armerson exhibition Playing outdoors in the tank my daughter loved it ,2 months ago
46,4, It was a good opportunity to develop better facilities and patriotism than I expected ,2 months ago
47,5, Free entry Great for kids to browse and explore ,2 months ago
48,5, I sometimes take my children to visit when exhibitions are held and whenever I go I think its a good place to come with my kids Through the exhibition you can pass on various knowledge and stimulate the curiosity ,2 months ago
49,5,Sehr interessantet Ort auch wenn die Darstellung des Krieges von der in Deutschland blichen und gewohnten Form schon etwas abweicht,2 months ago
50,5, Parking is expensive but considering its free admission its not too expensive to pay The memorial hall is large so if you want to see it properly you cant see it ,2 months ago
51,5, It was interesting It was good to know the history of Korea ,2 months ago
52,4,Fantstico e o legal que  gratuito,2 months ago
53,5,Conviene ir con bastante tiempo,2 months ago
54,5,Great place to know Korea more,2 months ago
55,5, Beautifully maintained museum that you can enter for free The Netherlands is also on the map and they are proud of that Glad these tires exist But what a sad war that still continues ,2 months ago
56,5,Wish the souvenir shop was open but it was an amazing memorial,2 months ago
57,4, Architectural design that teaches the realities and lessons of war Established by General Paik Seonyup ,2 months ago
58,5,  Convenient transportation 5 minutes on foot from Samgakji Station  Excellent park landscaping ,3 months ago
59,5, Ive been to Yongsan It is a place that has painful memories of war but it is a meaningful place that reminds you once more ,3 months ago
60,5,The outside and inside of the museum are very beautiful There is so much information and many things to see I recommend taking your time to look around My friends and I went on a weekday and it wasnt crowded at all,3 months ago
61,5, While having fun with tanks and planes I taught the kids about war ,3 months ago
62,5,Place to visit to know the history of the republic of Korea They have WiFi connection in the museum Once you get it no entry fee download the war museum app from Play Store or app store Download the data roughly around 1gb It gives you complete access to a virtual guide,3 months ago
63,5, I was able to look back on our painful past and the many seniors who were born in a powerless country and died at a young age ,3 months ago
64,5, Children can ride on tanks airplanes antiaircraft guns etc ,3 months ago
65,5, Best to visit with kids It is educational and well maintained as a national facility ,3 months ago
66,5, In the past there were many places that could not be used due to the corona virus but now it is completely open so the kids can run around and watch fighter jets ,3 months ago
67,4, Its a great place to go out on a sunny day This is a place that boys will especially love ,3 months ago
68,5, Recently our nationality is given throughout the world K9 There are many weapons that are exhibited with their prayer It is also good to enjoy the special exhibition of Yi Sun Shin  ,3 months ago
69,5, I used to go once a year but I couldnt go for about two years There are times when I cry every time I come Im going with my boyfriend now ,4 months ago
70,5, Worth it for anyone who is fascinated by technology and machines and would like to learn more about the war history of South Korea ,4 months ago
71,5,Some beautiful murals and sculptures learned a lot,4 months ago
72,5,Well organized with narrators all over so you can rewind and view the stories that hold the country together with different language options nice job all the items well kept,4 months ago
