,Unnamed: 0,NAME,STAR,REVIEW,DATE
0,0,Learntorock,4.0,A large well organised museum that was worth visiting Lots of intersting items to see though I would say there was a bit too much focus on pottery Due to another appointment I only had one and a half hours to look round which I managed I would say though that two to three hours would be better Free entry Easy to get to,"Written July 14, 2022"
1,1,lostinatlanta,3.0,This place is massive the first floor has items relevant to Korean history but upper floors are mostly pottery If you go with young kids youll finish up the first floor and dont bother with upper floors unless you are into artpottery  There is also a childrens museum but it requires a reservations so plan ahead we did not  The museum is located near a subway stop but be prepared to walk about a quarter mile,"Written July 13, 2022"
2,2,carina,3.0,This museum is well laid out and it is nice There is a billion ceramics on display and this museum is mostly just ceramics,"Written June 26, 2022"
3,3,Gombung,4.0,very impressive it shows the 5000 year old korean history with various subjects so sad that i didnt have enough time to see special exhibitions,"Written June 21, 2022"
4,4,Traveltheorient,5.0,One of the most spectacular museums I have ever seen You could easily spend a day there and still only see a fraction of what is there,"Written June 11, 2022"
5,5,Nlw91,4.0,Really enjoyed the museum There was a lot to see and they had some great collections from all over the world,"Written April 16, 2021"
6,6,Tamara,5.0,As beautiful as its educational Everything is written in various languages so no worries if you cant speak Korean  Make sure you know what you can and cant bring in I had totally forgotten that my keychain is a Swiss army knife They have lockers but when the museum is packed its pretty hard to find one,"Written December 4, 2020"
7,7,mbouland,3.0,Its a beautiful place and a wonderful history presented unfortunate due to construction a lot not visible but just the clock they have hanging already worth going Just get some who can translate for you the Korean as the English translation is not correct ;,"Written November 9, 2020"
8,8,Chris Ruggaluffagus,5.0,The National Museum in Korea is a great place to hang out and learn about Korean history and culture It offers a great escape from the weather and its FREE  Your visit can take 24 hours depending on how much you stop and read Great English translations help foreigners enjoy the experience  Things to know they only allow a limited  inside due to COVID During off peak times there is no wait but there may be a queue doing tourist season Trying making ticket reservations early you may have better luck than me navigating the website  Small cafe with drinks and snacks are located on the bottom floor next to the big gift shop Wear good shoes,"Written November 9, 2020"
9,9,Peter Nguyen,5.0,This is a breathtaking museum I have a passion for Asian art and this place is perfect for me to dive in the rich Asian culture,"Written October 26, 2020"
10,10,Thomas M,5.0,This comprehensive museum is massive and well organized I really appreciated the replicas of certain pieces that persons who are blind or low vision and feel and see Thoughtfully arranged and maintained museum which may need two visits to take in,"Written July 6, 2020"
11,11,Cie S,5.0,Definitely visit if you have time Great war relics and photo ops especially outside Or do what we did and pick a tour that ends there with enough time to see it,"Written May 6, 2020"
12,12,Lance H,4.0,Room after room after room of displays both beautiful art and functional items As you see each room you are transported through Koreas history and advancements The building and the displays are well constructed and informative Highly recommended,"Written March 30, 2020"
13,13,Annette F,5.0,Its easy to understand why this museum is one of the top visited museums in the world The exhibits immerse visitors into the arts of the entire history of this country Additional exhibits show the arts of the rest of Asia These exhibits are newly installed and are very engaging The gift shop is one of the best places to buy good quality gifts for friends or yourself A variety of restaurants and coffee shops are also found on site,"Written February 23, 2020"
14,14,TravelerTrecker,5.0,This museum is fantastic I was very impressed by how rich and wellorganized the museum is The staff is wonderful There are some robots that guide you and explain some of the most important treasures The pieces are welllabelled The museum is very wellcurated There are many highlights including the large pagoda in the first floor the Sila jewellery the pictorial work of the old tombs the Buddha sculptures the celadon the porcelain everything The museum is free and it opens for long hours We arrived in the afternoon We stayed there for only 2 hours The museum deserves at least halfday I have to go back We also walked around the museum It has a sculpture garden and a beautiful lake with a pagoda The museum architecture is just special Of interest to see the sunset through the building is a memorable experience There were very few visitors It is a relaxing museum  It is very easy to find You take the metro and walk a few meters from the station The hallway that connects the metro with the museum is very interesting,"Written February 16, 2020"
15,15,Janet1016,5.0,I think its awesome when a Museum offers free admission especially to International travelers who can then learn all about a Countrys Culture My husband son and I spent a week in Seoul our very first trip to South Korea and visited the National Museum of Korea on our second day  Its a vast building and one of the largest museums in Asia We took the MRT to get there and it was a nice walk from the MRT station to the Museum The Museum offers one hour free English language tours which we took Our Guide was very friendly and personable and spoke English very well There are also maps of the Museum available in English and they also detail the top sights if you have a limited amount of time to spend  I was fascinated most by the Gold Crowns and Caps so delicate and ornate and so different from say English Crowns  The Museum houses many many of Koreans National Treasures and its really awe inspiring to get to see them and learn South Koreas history  You could spend a couple of days going through here no problem plus there is another Museum on the grounds as well that is devoted to the Korean Language the National Hangeul Museum  There is a large Food court area within in you get peckish and it serves really lovely meals  This is a great spot to visit if youre in Seoul Go,"Written February 4, 2020"
16,16,Stephen C,4.0,It helps if you read up on the basics of Korean history before you visit the museum because its a complicated story of multiple competing kingdoms rising and falling while simultaneously trying to fend off the Japanese and invaders from China Fortunately the museum explains this history in a series of wall boards in Korean and English the exhibits cover everything from royal jewels to everyday life; something for everybody,"Written February 3, 2020"
17,17,CulinaryConsultants,5.0,First of all the museum has 3 conveniently located Metro lines beneath its structure which will literally commute to and from anywhere within Seoul The architecture as you will see in my pictures is superb and massive very clean in the lines and overall well thought through and exquisitely designed  The day we went there was no entry fee so this was very convenient Although overall the cultural activities in Seoul are not very expensive Some 3000 KW equivalent to some 3 US   Inside the spaces are big and spacious divided in several rooms on C shapes to be covered Meaning when you enter a room on the left and make a full square C you will end up exiting the room on the far right so this is very convenient cause the is no wrong or right in how to approach the rooms it just flows and you cover great territory without even noticing  Some of the rooms are divided with names such as Ornaments and Art Gojoseon and Han China Tombs Guardians and Deities Also will be divided by different eras and dynasties  A room that did catch my attention and curiosity was the Furniture Room where all the furniture was divided in Male and Female Furniture You can see really here the differences in colors lines engravings and depictions on furniture that separates exquisitely both genders with style  Finally there is a coffee shop and a Gift shop conveniently located at the last floor where you are suppose to finish We do recommend this to everyone and definitely we had some 3 hours of pure cultural and informative fun,"Written January 28, 2020"
