,CONTENT
0,If your international friends ask where to visit in Seoul you should recommend this site Specially they are from our allies in the forgotten war They are free and they can learn lots of Korean history related to the war
1,This museum displays artefacts documents and figures related to the Korean War All nations that helped Korea at the time are thanked and mention together with the soldiers who died to protect this country It has also an area dedicated to the Korean history especially during Chosun For those with kids there is a playground outside It is worth visiting  provided age gender religion or nationality
2,Most amazing war museum  covers all of Koreans wars very well displayed and its free Well worth a visit 4 to 5 hours
3,Must visit this place And FREE admission museum to visit Couldnt believe this place were free We visited during weekdays and it was very quiet to enjoy the museum The places name is the war memorial of Korea but the place is more like the war history in Korea The museum is very nice and the displays were amazing
4,More than just the Korean war includes artifacts and information throughout the centuries from all of the different dynasties Be sure to check out the aircraft and tanks on the outside If youre in to history this is a worthwhile museum Also has a nice cafe to get a snack and cold drink
5,Visited the Tutukharmun exhibit It was fantastic Good descriptions of how the tomb was discovered displays of the tomb and artifacts Explained the ways the Pharoah influenced todays culture Gave a wand that played in several languages 
6,The outside and inside of the museum are very beautiful There is so much information and many things to see I recommend taking your time to look around My friends and I went on a weekday and it wasnt crowded at all
7,My recent June 2022 visit to the War Museum of korea was a sobering  enlightening and truly necessary experience It brings up many emotions of needless suffering and loss  All in the name of greed and power Ugh  As the caption said 
8,Awesome to get to know abt Korean war
9,Great museum with a lot of Korean history  I learned a lot about the different korean historical periods and was surprised to discover that historical Korea was at times much larger than modern day Korea in terms of area controlled Most 
10,A very detailed history of Korea and the wars its been through Shows the struggles this country has been through since its documented history For any history or cultural buffs this place is like disneyland
11,A lot of retired weapons from ROK and allied forces were on display I had never seen such a sight before  Learned a lot about Korean war and support everyone provided for the Korean people It was definitely an emotional trip Definitely worth the visit
12,One of the must see places Easy to get to using the subway Kids will love all of the military equipment  Armored vehicles planes ships etc   memorial has english speakers for those who needs them
13,Very nice historical place to know the entire Korean culture and war Its very good for kids to learn the history The exhibitions are really good The souvenir shop which is outside the museum is much better than the one which is there inside Coffee shops and snacks are available inside the museum
14,Loved it We spent about 3 hours there and it absolutely flew So much to see and read and theres tons of short video clips as well to help piece everything together The exhibits are fantastic Theyre super creative and the people who 
15,Overall I loved it and spent several hours wondering the different exhibits Definitely give yourself plenty of time as I ran out as the museum was closing 
16,A solid history museum exploring all of Koreas military history but with a particular focus on the Korean War  Very much worth a quick visit      The inside exhibit space can be reasonably explored in under two hours but a careful 
17,I would say this is a must to see in Seoul The museum is quite big there are a lot of expositions and things to see The entrance is free I was personally in war and history but after visiting this museum my perception of the war was 
18,This is a fantastic musueum for anyone who is curious about the Korean War 19501953 As someone who knew very little about the Korean War I found the displays to be very engaging and the information to be very comprehensive Overall I 
19,Overall a pretty interesting museum with a good amount to see Free admission is a bonus as well Plenty of English signage so no worries there either At times though I was a bit put off by just how proKorea and at times even prowar 
20,11am and 2om English tour is a MUST It is an amazing museum but it was made memorable with the story telling and explanation from the tour guide I truly enjoyed my visit and I wish I have taken the guide at every museum I visit in Korea 
21,Elementary school kids have lots of interest in this part of museum which we visited with our kids and their history classmates Here you can see the preserved things from 1000s years ago 
22,So much history  excellent exhibits  This war museum in Seoul South Korea was such a great experience 
23,Came here on my last day and wished Ive come earlier There is so much to learn about the history of the Korean War and how they manage to defeat the invading North Korean forces 
24,I traveled to Seoul in 2018 was great trip i will share one of the great place i visited during my trip the The War Memorial of Korea a huge placebuilding with lots of great collections in and outa very interesting and really nice way 
25,This is a very pleasant place There are a lot of green spaces and tiny lakes The museum and exhibition are free There are outside areas to sit down and to relax and every statue has a description also in English 
26,Theres subtle bias and praising military but thats to be expected of most defense funded museums Good otherwise decent English info
27,Its a very great tour  spending couple of hours and got a huge information of Koreans War Some movies makes me cry and felt that I was the part of that War Salute to  soldiers Best place to bring our new generation to recall the 
28,Its one of my favorite museums It is the most educational museum I have visited It gives a great perspective on the Korean war The museum also has exhibitions about all other wars Korea has fought throughout its history The outdoor 
29,This museum is one best museums Ive ever been to It illustrates all the wars that happened in Korea and the emotional memories of people and how there is no winner in the war It has many sections inside and outside I really enjoyed my visit
30,When I visited in December parts of the museum were closed for renovations This included the Vietnam War wing and the section of outdoor displays that covered armour and artillery 
31,Some nice exhibits but slightly disappointing in terms of the overall collection  Focused mainly on Korean War between north and south with much less attention and artifacts from earlier ages  Lots of space allocated to artistic renditions and models with very few actual pieces
32,It was my second time to visit it  If you will really stay and learn every details of each monuments you will be touched of how the  world united to help Korea during their struggle Walking on the wall of roll will give you goosebumps from the long list of the names of the heroes who died during the war
33,Interesting memorial and museum to gain better knowledge in Korean history and especially regarding the Korean war and all the connecting events The memorial is very fine and offers a big open plaza Further there is a collection of old 
34,Very cool place They have a very wide range of artillery on the outside of the museum There are planes ships tanks jeeps and missiles aplenty I think kids will enjoy it specially 
35,I recommend anyone visiting Seoul to definitely check out the War Memorial of Korea I unfortunately knew very little of the Korean War but this Museum will give you a great tour and summary of the events We took the tour in English and 
36,It was an amazing place Inside of one of the ships you can see a 4D movie about an incident in 2002 at the NLD with great air conditioner and English subtitles Inside the memorial there are a bunch of things you need to see Also dont forget the third floor dedicated to the UN
37,Great museum to spend a few hours on a lacy day They have in and outdoor areas Everything is well translated into english Its free and you can even pick up a book with the detailed history at the tour exit
38,Incredible place to visit Free entrance and you are pulled inside the history recent and ancient one The northsouth war manciuria war even the ancient dinasties are perfectly explained to the visitors And the military exposition of 
39,If you want to learn about the Korean war you should visit here There is no admission fee We can see lots of valuable exhibitions such as pictures movie clips and stories This history is still ongoing Thanks to lots of  people who 
40,I wish we all could only learn about war from visiting War Museum as the real experience would be so cruel We really enjoyed visit this War Memory of Korea I didnt know much about 
41,An impressive interactive museum for big and small It explains the war history of Korea and shows items from different periods of time inside and outside the museum Its really worth visiting
42,One of the best museums Ive been to around the world Excellent history of Korean conflict around the world and education of Korea 
43,Excellent museum that tells the story of the Korean War Excellent guided English tour My tour guide was 15 and as a veteran history teacher myself her presentation was A It is nice to know that Americans and other nations from the 
44,I love that the museum provide free English tour guide The person who was tour guiding us was lecturer and he was very informative The part that I like most is the 4D cinema where we can do simulation to Korean war A must visit place if you like the history of Korean war
45,I really enjoyed this museum that I came across while traveling on the local bus  Its free  So you must go  It gives you a history of Koreas soldiers and how the Korean war took place and the rebuilding of the Korea after the war  I am someone who do not like museums but this captured my heart  I felt for the soldiers 
46,This place is a must visit Tells you the story of the Korean War and different war strategies They have huge collection of arms and weapons used during the war There are also a few 4D shows simulating different situations during the war 
47,Very touching and emotional museum A must visit for travellers and locals Its a free museum and full of artefacts and screening explanations in Korean English Chinese and Japanese Allocate at least about 3 hours if you want to really go through the whole thing which is worth it
48,Great free attraction Free english speaking guide Shows and interactive exhibits which along with your guide paint a story of a countrys journey through time Not just a snap shot of korean wars
49,This place was a very sobering experience for me and I usually dont get choked up about war stories But the first statue from the metro station and the memorial stones really can get to you Definitely a sight to see in Seoul Bring tissues if you have a sensitive heart to what really happened here during the Korean War
50,This memorial is a remembrance of the Korean War and there is also a museum but we didnt have enough time to explore it We were able to go inside the dome structure where you can find a beautiful mosaic art inside There were also planes and army tanks outside but we were running short on time so I wasnt able to take pictures I would like to stay longer and look around more if I had the chance to return
51,Massive So much to see and learn There are quite a bit of English language signage but not as descriptive as the Hangul Its thoughtfully laid out and when I visited there were a lot of kids A really good historical overview with great collection of airplanes and tanks outside Deeply moving
52,This was the highlight of my visit to Korea The exhibits are quite extensive and are well presented The first floor contains exhibits from ancient times up until the occupation of Korea by Japan The second floor contains exhibits on the Korean War The third floor continues with Korean War exhibits and also includes Vietnam War exhibits and exhibits on the modern Korean army The weak point of this museum is its gift shop Every other war museum in the world that Ive been to has had a great selection of war related souvenirs and books This gift shop only has cheap souvenirs that you can find anywhere else in Seoul and there were none that were related to warfare at all
53,Very tastefully done museum  The focus seems to be on Korean war history in general versus specifically the Korean War  Not that it doesnt have a great exhibit on the Korean War which takes up almost half the museum  The rest goes from ancient Korean warfare all the way to modern ROK deployments The outdoor exhibits and building architecture are also great with stuff like a B52s and Soviet tanks  Its a simple walk from the number 6 line subway station Admission is free for the general museum  It offers tours in Korean and English  Almost all the exhibits have English and Chinese translations  Id recommend spending a good 4 hours here to explore all three floors  There are clean bathrooms with soap and toilet paper as well as a small cafe to get some coffee and a snack  There are free lockers they do take 100 won deposit however so you can store your backpacks and whatnot
54,Truly an awesome place to learn about the history of Korean War and showing honour to the people who had defended and sacrifice for their country There are also exhibits of planes tanks warship and others at open area of the building Best part of all its free
55,The War Memorial of Korea free entry is an important attraction dedicated to the Korean War which raged over the Korean Peninsula during the early 1950s There are six themed halls and a large outdoor exhibition area where you can spend several hours learning about the Korean conflict Note the museum is closed on Mondays  As you approach the War Memorial you will see several large outdoor monuments which set the stage for a educational it not sombre experience of visiting an attraction like this There are also numerous military vehicles planes vessels equipment in the outdoor exhibition area that are worth spending time to view before or after you enter the monument to explore the halls within  Exhibition rooms do a good job of presenting the war in a mixed variety of ways and medium; traditional text and figurative displays cased displays wall maps sounds of the war and even 4D experience of MacArthurs landing at Inchon In this manner there is a nice effort to make the memorial as accessible as possible to a younger audience who might not enjoy traditional war and military museums  At the War Memorial you will find expected lockers a cafe and gift shop at the War Memorial of Korea but no wifi unlike the various national museums you can visit around Seoul Photography is allowed throughout as well You can easily spend 23 hours here leisurely going through the exhibition halls learning about the Korean War  We very much appreciated our latest visit to the War Memorial of Korea This is one of those attractions that can have a real impact on visitors a place you want to return to during future trips to Seoul
56,The best museum that i have visited in Korea It is free to enter and has lots of exhibitions to see Different uniforms of the military throughout the years Warplanes and tanks all around Good place to understand the military history of Korea
57,Great musuem with great exhibits to learn Korean history  all their wars ie war with Japan why North  South is divided etc Even Canada was involved  helped South Korea fight against the communist North in 1950s also Very interesting  must visit to anyone who comes to Seoul Its free so no costs 
58,Very informative museum which details the history of the conflict between North and South Korea Free 1 hour tours are offered in english at 10am and 2pm Admission is also free The exterior of the memorial has life size military planes tanks and other equipment which you can look at All in all ifs definitely worth a visit
59,This is truly a striking historical museum for all peoples The imagery is not completely censored as the raw reality of war is portrayed  One of the mustsees of Seoul you could spend half a day here  Outside are numerous planes tanks and other war machines Inside are historical exhibits and demonstrations There are 3D and 4D exhibits And this is all for free
