,Content
0,One of the most symbolic historically meaningful palaces of the country Superb access by public transportation and highly walkfriendly Youll feel a hyperreal serenity at this place which magically fades out the citys bustle and takes you back to the time
1,Would have put a five if the MMCA museum was opened But it was closed for renovations Overall a nice place to walk around and sit to enjoy the good weather we are having in Seoul now
2,I had an incredible day walking around the palace Its beautiful to see all the people in traditional dress to take pictures
3,Very nice palace in a huge space near center of Seoul Cheap entrance fee 1000 KRW Clean toilet
4,The entry tickets are only 1000 Won so its definitely worth a visit 1 Its open until late in the evening but if you get there past 1630 or 17 pm there are no english tour guides available And without a tour guide you cant visit one of the museums inside Fortunately the information signs for the different locations are also in English  2 A lot of the previous buildings of the palace area were destroyed You also cant enter any of the remaining ones  3 Definitely a spot to take great photos at 
5,This is a must visit location stunning and so wellmaintained artifacts and buildings so homy they hadhave underfloor heating you would like you could live there
6,I took a walk in Deoksugung palace There were many people taking pictures and there were foreigners and visitors wearing Korean traditional clothes There was also a space where I could appreciate works of art but I should take off my shoes to enter It felt more like a wellmaintained park than a palace
7,This is a very beautiful place to see A blend of history and nature surrounded by a great modern city
8,This is where history and modernity meet Inside the palace grounds are also Western architecture buildings In addition even the stone wall around it is famous and was featured in KDramas such as Goblin This palace also  holds a Changing of the Royal Guards Ceremony which is free of charge even passersby can watch it   This is near other tourist destinations such as Cheonggyecheon Stream and more So might as well fit this in your itinerary  Read more on my blog at sophiaorlanesblogwordpresscom  Note Went here in December 2019
9,Another great cultural institution in Seoul Loads of beautiful and interesting buildings well maintained
10,A beautiful and peaceful palace right across the city hall You can even see the changing of the guards for free at certain times everyday
11,CMMA museum has excellent history foe Art a must visit while in Korea
12,This is the smaller of the two palaces Deoksugung Palace offers a rich history of its protected grounds Beautifully maintained this Palace is a great place to bring the family
13,This place is so calm  peacefully I wanted to make meditation when i walking around
14,as a tourist you should definitely visit the palace  It is very beautiful and its design is similar to the Forbidden City in Beijing The changing of the guard that takes place at the gates of the palace is also very beautiful  it is definitely worth visiting there
15,A beautiful palace that is perfect if you do not have a ton of time but still want to see part of Koreas history
