,이름,별점,리뷰,날짜
0,Priscila Power,5,,3 minutes ago
1,제이빅,1,사람 너무많아서 다신가고싶지 않음..,an hour ago
2,Hwan Bae,1,"Seeing many people waiting for the  elevator  was   one i hate  and  without no seeing anything   from inside the elevator made me  unhappy and all the time that I being  forced to look up the celling creating various colorful lighting show that i didn't understand what they were meaning untill I was brought up on top of the building was another  irritating .Trying to find something that I didn't see anything and knowing that i couldn't  give them  wonderful, exciting and serious  impression throw the window  from the top have led to seeing me more of them  . cars , river ,roads were under my feet and they wanted to taller than me and this building.Why? .competing  with others to beat each other  is only the way of the world to live on  . My decision to go there  must not have been  considered very well on the plan i regret I should not have been there in a hurry  without thinking deeply  whether it would be better or not in  comparing  with previous tower called  Namsan tower had been visited in the morning and most of buildings found from it were connected with me when a child with mother ,  a schoolboy,an adolescence and a middle age. As soon as arriving there in the afternoon of the same day  I noticed that many people in line  in hot summer ,the elevator  with no greater than this  of other buildings but just packed with people swearing   have    made me sunk on every review of it.i should not have come here for i had visited  at  another tower  which still   reminded  me while   in the highest building and on the way home that Namsan tower has given me what I had been looking for were i a bird to fly sky on seoul  such as many houses and buildings reminded me of my past time and among them the house colored blue  where former presidents had lived before by  the  new president   has been moved away in other  location,YongSan .My time to have been this place is distractedly ruined by  staffs who didn't   endeavor to make it  perfect to be  remembered   forever and i  must feel that  i have been deceived by seeing nothing and paying too much money to a zero which means there are  not as  much more valuable things  to be empathize and enjoyed  with people when they are met together in one place as memorable  NamSan tower .I would have been no more duped had i considered very well  before entering whatever they are which are known as famous  spots  attracting  people nationwide   but  the elevator  and the skyrounge what  many people praise them everyday  as awesome   you must be disappointed with when arriving there.",4 hours ago
3,하리보젤리,5,,4 hours ago
4,리틀초코,3,,4 hours ago
5,Jeong Han Lee,5,"전망대에서 본 서울 뷰는 정말 최고입니다. 유리창도 꽤 깔끔하게 관리되고 있어보이며, 실내 조명도 과하지 않아서 야경을 찍기에 큰 어려움은 없습니다.",4 hours ago
6,Andy Rodriguez,5,High end luxury brands,4 hours ago
7,김수진,5,,5 hours ago
8,Sanjay Chaudhary,5,,5 hours ago
9,DM Park,4,쇼핑 볼거리 먹거리 즐길거리 한방에 가능한 만능 타워.  식사는 미리 먹고 놀러오시는것도 강추합니다.,9 hours ago
10,D B,5,"(Translated by Google) Even though I live nearby, I'm not interested, so I didn't go there, but I got a discount ticket so I went. It's full of apartments around. The feeling of seeing from a high place seems to be different from Namsan Tower. you can find my house It was fun and once in a while. just have to go .  (Original) 근처에 사는데도 별관심없어서 안가보다가 할인티켓이 생겨서 가봄. 주변에 아파트로 꽉찬 모습을. 높은곳에서 보는 느낌이 남산타워랑은 또 달랐던거 같다.  우리집도 찾아볼 수 있어 서 재밌었고 한번쯤은. 다녀올 만 함. .",11 hours ago
11,김종신,5,,11 hours ago
12,윤고문인터넷방송국 (윤태섭),5,,12 hours ago
13,fluke8rn,5,,17 hours ago
14,김리보,5,,20 hours ago
15,오인성,3,,20 hours ago
16,jude p,4,,20 hours ago
17,금메달아빠,4,"(Translated by Google) I go once, twice... well..j  (Original) 한번은 가는데 두번은... 글쎄..ㅈ",21 hours ago
18,Sungwoo Choi,5,,21 hours ago
19,윤병석,1,,23 hours ago
20,geonwook shin,5,(Translated by Google) More fun than expected  (Original) 생각보다 즐길거리가 많음,a day ago
21,노동진,5,(Translated by Google) Seoul under your feet! hehe  (Original) 서울이 발 아래에! ㅎㅎ,a day ago
22,Chang un Jeong,4,"(Translated by Google) Parking is a bit inconvenient, but Sky Lounge is scary and fun~  (Original) 주차가 조금 불편하지만 스카이라운지 무섭고 재밌네요~",a day ago
23,Yosiah Kim,4,,a day ago
24,한은아,5,,a day ago
25,권성달,4,,a day ago
26,Melisa Wagner,5,(Translated by Google) The most beautiful view in all of Seoul  (Original) La vista más hermosa de todo Seoul,a day ago
27,Birgit Koch,5,(Translated by Google) An indescribable experience. A great view and distant view. The ride in the elevator was an experience.  (Original) Ein unbeschreibliches Erlebnis. Ein toller Ausblick und Fernblick .Die Fahrt mit dem Fahrstuhl war ein Erlebnis.,a day ago
28,THSD,5,(Translated by Google) Two thick American patties are suitable.  (Original) 진한 미국의맛 패티는 두개가 적당,a day ago
29,yj Kim,2,"(Translated by Google) The things I didn't like were that the restaurant did not have a parking discount, the toilet was dirty, and the interior was hot. The good things are the delicious cheesecake, the Lotte Cinema Sound Bread, and the tower night view was great.  (Original) 맘에 안들었던건 음식점은 주차할인이 없는거, 화장실 더러웠던거, 실내가 더웠던거 좋은건 맛있는 치즈케잌과 롯데시네마 싸운드 빵빵, 타워 야경 멋있었던거",a day ago
30,Snoppy Ju,5,,a day ago
31,서민영,5,,a day ago
32,Jon Mendez,5,"Worth it.  The fifth highest building in the world.  Amazing view.  A thrill ride from beginning to end.  This is what I call a bird's eye view. If you aren't afraid of heights, than you'll love it.",a day ago
33,Hyungkeun Lee,5,Must go place.,a day ago
34,김민희,4,(Translated by Google) Good but not enough place to rest  (Original) 좋은데 쉴곳이 부족해요,a day ago
35,꼰퓨,5,"(Translated by Google) There are so many things to enjoy inside. When you get off at Jamsil Station, everything is connected.  (Original) 내부에 정말 다양하게 즐길 것들이 많아요. 잠실역에 내리면 다 이어져있어 좋네요.",2 days ago
36,최욱철,5,(Translated by Google) You can see Seoul at a glance  (Original) 서울을 한눈에 볼 수 있어요,2 days ago
37,Jefferson Santos,5,,2 days ago
38,신수진,5,,2 days ago
39,듀듀,5,(Translated by Google) 30 minutes until ticket confirmation Additional 40 minutes to the elevator Only people with strong legs go!  (Original) 티켓확인까지 30분 엘베타기까지 추가40분 다리 튼튼한 사람만 가기!,2 days ago
40,하사우,5,,2 days ago
41,Harry Kim,3,,2 days ago
42,김만복,5,,2 days ago
43,김재형,5,,2 days ago
44,Daeyoung Kim,5,"(Translated by Google) As expected, Lotte World Tower.. Aquarium and observatory are worth visiting~~^^♡♡  (Original) 역시 롯데월드타워.. 아쿠아리움이랑 전망대 가볼만 합니다~~^^♡♡",2 days ago
45,sunghyon성현,5,(Translated by Google) beautiful Seoul sky  (Original) 멋진 서울스카이,2 days ago
46,김현진,5,,2 days ago
47,Nomiko Battulga,3,Quite expensive. To get there u have to wait almost 1 hour. To go down maybe much longer.,2 days ago
48,Василий Никонов,5,"(Translated by Google) South Korea is development, innovation, scientific breakthroughs, modern style in all areas of life. Admire Korea  (Original) Южная Корея это развитие, инновации, научные прорывы, современный стиль во всех направлениях жизни. Восхищаюсь Кореей",2 days ago
49,ByungSun Moon,4,,2 days ago
50,윤민,4,,2 days ago
51,Erik Cayer-Barrioz,5,,2 days ago
52,B.W Son,4,,3 days ago
53,Md lutfur Rahman,5,Very good place,3 days ago
54,박루크Luke Park,5,,3 days ago
55,임대수,2,,3 days ago
56,이지혜,4,,3 days ago
57,김춘연,5,아주좋아요,3 days ago
58,S빵구쟁이,3,(Translated by Google) The wait is too long and the entrance is hard to find  (Original) 대기 너무 길고 입구 찾기 어려워요,3 days ago
59,Malcolm Emery,5,Its a very tall tower with a great view,3 days ago
60,노원식,3,,3 days ago
61,Cong Yu,5,Great view up there,3 days ago
62,김민진,5,,3 days ago
63,조다영,5,,3 days ago
64,Royalty Blessed,5,,3 days ago
65,노연호,5,,4 days ago
66,Athoy Sohana,4,It's really awesome,4 days ago
67,해인,5,"(Translated by Google) There are restaurants and cultural spaces, so it's a great way to pass the time ^^  (Original) 맛집과 문화공간이 다 있어서 시간보내기 아주 좋아요^^",4 days ago
68,tae hoon kim,5,,4 days ago
69,4k bakery [TM],5,"(Translated by Google) I'll be arriving in Seoul soon, and I want to climb to the top of Lotte Tower~  (Original) 저도 곧 서울에 도착하는데 롯데타워 꼭대기에 올라가 보고 싶어요~",4 days ago
70,sarabande Park,5,,4 days ago
71,Esther,5,,4 days ago
72,Екатерина Войт,5,,4 days ago
73,이미경 (율맘),4,"(Translated by Google) Good, but there are too many people  (Original) 좋은데 사람이 너무 많아요",4 days ago
74,안연희,5,(Translated by Google) It's the World Tower I often go to to watch movies. There are plenty of places to eat and to see. It's a great place to spend a lot of time  (Original) 영화 보느라 자주 가는 월드타워네요^^ 밥 먹을곳도 많구 여기저기 볼것도 많아 시간 보내기 좋은 곳입니다~,4 days ago
75,유수진,4,(Translated by Google) Worth a visit....  (Original) 한번은 가볼만한....,4 days ago
76,Mehmet Fatih SARI,5,(Translated by Google) Seoul looks amazing from a height of 555 meters on the 123rd floor 👍  (Original) 123. Katta 555 metre yükseklikten Seul harika görünüyor 👍,4 days ago
77,일이삼,5,,4 days ago
78,화성중앙장로교회,5,,4 days ago
79,HM C,3,"(Translated by Google) The terrace was nothing like I expected. If there was a landmark, it would have been fun to look around. It's not fun to watch.  (Original) 테라스가 생각보다 별게 없었어요. 랜드마크가 있으면 재밌게 둘러봤을텐데 구경하는 재미가 없네요.",4 days ago
80,이소다,5,,4 days ago
81,박미영,5,(Translated by Google) A place you must visit at least once~ The night view is amazing  (Original) 한번은 꼭 가볼만한 곳~ 야경이  끝내줌,4 days ago
82,Joseph Kim,5,Very good location to come and see Seoul.  Need to pick good weather,5 days ago
83,조준서,5,(Translated by Google) I went to see the night view  (Original) 밤야경을 보러 갔다옴,5 days ago
84,휴tv,1,,5 days ago
85,조승만,4,(Translated by Google) ok  (Original) 괜찮음,5 days ago
86,Batzorig Batsanaa,5,,5 days ago
87,김응순,4,,5 days ago
88,박재홍,5,,5 days ago
89,정유정,5,"(Translated by Google) I came to see Top Gun, but I only saw 4d in cgv..  (Original) 탑건 보러왔는데 4d는 cgv에서 보는걸로..",5 days ago
90,울집구피귀여워수은,5,(Translated by Google) Cool in summer and warm in winter...  (Original) 여름엔 시원하고 겨울엔 따뜻하지..,5 days ago
91,박웅섭,5,,6 days ago
92,c0c0nutbeans,5,amazing view,6 days ago
93,배워서남주냐,4,,6 days ago
94,Alan Stevens,5,So many things to see and reasonably priced.  One heck of a view!,6 days ago
95,Roshan Basnet,5,,6 days ago
96,정한,5,,6 days ago
97,Joy,4,,6 days ago
98,Anthony Payne,5,Really cool views of the city and the elevator is the fastest in the world!,6 days ago
99,Kurosumi,4,"(Translated by Google) It's the weekend, so I'm still going crazy  (Original) 주말이라 역시나 미어터지는고만",6 days ago
100,Jinmyeong So,4,,6 days ago
101,박준근,5,,6 days ago
102,전정호[나짱jw라탄백] (CAPHE SUE DA 카페쓰어다),5,(Translated by Google) One Tower...  (Original) 원탑...초강추,6 days ago
103,Kyong Sam MIN,4,,6 days ago
104,김민찬,1,"(Translated by Google) Visited on July 29th, never visited twice, not much to enjoy  (Original) 7월29일방문 한번은가도 2번은못감 별로 즐길게없음",6 days ago
105,리루,3,(Translated by Google) expensive  (Original) 가격이 비쌈,6 days ago
106,쑤사임당,5,,6 days ago
107,YJ Karen Jang,5,,a week ago
108,최선자,5,(Translated by Google) I really liked the aquarium I visited with my daughter and family.  (Original) 딸식구들과 함께  관람한 아쿠아리움 넘좋았어요,a week ago
109,J SJ,5,,a week ago
110,정우제,5,"(Translated by Google) As it is the tallest building in Korea, it can be seen from afar, and if you take the elevator to the observatory, it takes about a minute to go up.  (Original) 대한민국에서 가장 높은 빌딩이다 보니 멀리서도 잘보이고 전망대로 엘리베이터를 타고 올라가면 1분정도 걸려서 올라갈수 있는데 서울 시내가 다 보이고 산에 올라온것 처럼 구름도 가까이서 볼수 있었다.",a week ago
111,Mohammed Al Hindi,4,,a week ago
