,이름,별점,리뷰,날짜
0,정해원,5,,an hour ago
1,세은리지튜브,4,,2 hours ago
2,모두함께,5,사람이 너무많아서 3시간기다림.,3 hours ago
3,정승균,3,사람이 많아서 어쩔수 없겠지만 줄이 너무 길어서 거의 4시간동안 2개밖에 못탔네요,3 hours ago
4,Seung Kwon Lee,5,,7 hours ago
5,빡쉐따,3,(Translated by Google) Parking is difficult and there are a lot of people. Short ride time  (Original) 주차도 힘들고 사람도 많고 놀이기구 탑승시간도 짧음,9 hours ago
6,윤고문인터넷방송국 (윤태섭),5,,11 hours ago
7,Rose Domingues,5,,16 hours ago
8,Eugene Lee,5,(Translated by Google) Parade rides are all good  (Original) 퍼레이드 탈것 놀이기구 모두 좋음,20 hours ago
9,정유리,5,"(Translated by Google) Wednesday and Thursday are the least crowded days! As soon as you enter, run to French and Atlantis  (Original) 수요일이랑 목요일이 사람 그나마 없는날이에요! 입장하자마자 후렌치랑 아틀란티스로 달려가세요",20 hours ago
10,고현우,5,,20 hours ago
11,신지섭,5,,22 hours ago
12,하민용,5,,22 hours ago
13,이성춘,5,(Translated by Google) Can I cancel my annual membership? It is difficult to reserve a Magic Pass Gwangkle required  (Original) 연간 회원권 끊어서 올만해요 매직패스 예약이 힘들어요 광클 필수,a day ago
14,hexaz,5,"(Translated by Google) It's been a while since I've been here, but I felt a strange nostalgia. I don't have that thrilling feeling when I was young, but it was so much fun coming with my girlfriend.  (Original) 오랜만에 왔는데 묘한 노스탈지아가 느껴지더라고요. 어렸을때 설렜던 그 느낌은 없지만 여자친구와 오니 되게 즐거웠어요.",a day ago
15,이형욱,5,,a day ago
16,Aisha Barhama,5,,a day ago
17,Harry Lee,4,,a day ago
18,한현주,5,"(Translated by Google) Is it possible for only one accompanying person to board the disabled child? The rides can accommodate up to 6 people, but if the number of people on board is not exceeded, all family members of 4 should board first.  (Original) 장애아우선탑승 동반1인만 가능? 놀이기구는 6인까지 가능한데 탑승인원 초과가 아니라면 4인가족 모두 우선탑승해주세요.",a day ago
19,정사샤,3,"(Translated by Google) Huge queues are long, few extreme ones, I liked the other park more  (Original) Огромные очерели долгие,мало экстримальных больше понрпвился дркгой парк",a day ago
20,윤지영,5,(Translated by Google) like  (Original) 좋아요,a day ago
21,김혜진,5,,a day ago
22,이예린,5,"(Translated by Google) I went with my friends, but I have to buy a ticket to get into the neighborhood, and it would be better if I had a magic pass ready. Waiting time is crazy.  (Original) 친구들이랑 갔다 왔는데 티켓을 사놔야 근방 들어갈 수 있고 매직 패스 준비해 놓으면 더 좋음 대기 시간 미침.(원래 미친건 알았지만 이 정도일줄은..) 그래도 역시는 역시다 재밌음",a day ago
23,신미경,5,,a day ago
24,박미선,5,,a day ago
25,kim donghyun,4,"(Translated by Google) Premium Magic Pass is essential because there are many people. Even if it is an open run, the waiting time is Hell without a Magic Pass after 11 o'clock after boarding the desired equipment. 5 tickets 49,000 won 10 tickets 89,000 won  (Original) 사람이 많아  프리미엄 매직패스 필수. 오픈런 해도 원하는 기구 탑승 후 11시 이후는 매직패스  없으면 대기시간이 헬임. 5회권 49천원 10회권 89천원",a day ago
26,Hyungkeun Lee,5,Fantastic place for fun and amusement park for families and friends.,a day ago
27,신정민,5,,a day ago
28,ELANSIS,5,,a day ago
29,Sam Kim,4,"(Translated by Google) what an amusement park If it rains, 4 stars, if it doesn't rain, I'll go to Yongin.  (Original) 뭐 놀이동산이죠 비가 와서 별 4개 비 안왔으면 용인 가야죠",a day ago
30,Vinalini Suvarna,4,The place is enjoyable but I recommend migic pass if you are visiting on weekend or holidays. Each ride has a wait time for more then an hr or 2 so it was a bit disappointing for the wait.,2 days ago
31,Sara AK,1,"(Translated by Google) Came here on a weekday but the lines were crazy, even the line to buy tickets. We couldn't play any thing, you have to wait for at least 2 hours for a ride. We were in the middle of the week, but it was so crowded that we couldn't play anything, but she went for a walk and watched the place. The place is free even the interior is very hot and the air conditioners are weak.  (Original) Came here on a weekday but the lines were crazy, even the line to buy tickets. We couldn’t play any thing, you have to wait for at least 2 hours for a ride. جينا بوسط الاسبوع بس كان مرة زحمة ماقدرنا نلعب شي، بس تروح عشان تتمشى وتتفرج على المكان. المكان حر حتى المنطقة الداخلية حارة جدا والمكيفات ضعيفة.",2 days ago
32,송대진 (Derrick),5,(Translated by Google) It has been a long time since the children were able to have a good time.  (Original) 오랜만에 아이들이 즐겁게 시간을 보낼 수 있었습니다.,2 days ago
33,강경빈,4,"(Translated by Google) There are a lot of people, but it was good. There are many parades.  (Original) 사람엄청많긴한데 좋더라고요 퍼레이드도 많고",2 days ago
34,곽성근 (양구쌍용),5,"(Translated by Google) Kids like it... If you don't like to walk a lot and have to wait, you'll be in trouble...  (Original) 아이들이 좋아하기는한데... 많이걷고 기다려야하는걸 좋아하지않으면 히 들거같아요....",2 days ago
35,오세춘,3,(Translated by Google) There were too many people and the air was too hot. I waited in line and just came.  (Original) 사람도 너무 많고 공기도 넘 더웠어요 줄서서 기다리다 그냥 왔어요,2 days ago
36,david kim,3,(Translated by Google) I'm sorry for the Magic Pass. Be aware of it and go. Do you have to make a reservation as soon as you enter?  (Original) 매직패스 아쉬움 잘알아보고 가세요 입장하자마자 예약해야하는가봄,2 days ago
37,유수연,5,,2 days ago
38,lyn_ yaesoo,4,I think there should be more food stall so that the customers won't wait for too long.  Foods are pricey too  . Though it was fun and they have nice parade.,2 days ago
39,이미경 (율맘),5,(Translated by Google) It was so much fun with the kids and nephews.  (Original) 아이와 조카들과 너무 즐거웠어요.,2 days ago
40,숲속의적,4,,2 days ago
41,Yan O,5,,2 days ago
42,김승선,5,,2 days ago
43,신상재,5,(Translated by Google) Fun  (Original) 재밌당,2 days ago
44,Joshua Kim,3,"picked the wrong date as it was school holidays, rides were packed, just pick a date when it's not the school holidays and it would be great, the multiple parade schedules were great too.",2 days ago
45,조희주,3,,2 days ago
46,정좌면,5,(Translated by Google) It's fun.  (Original) 즐거워요,2 days ago
47,파인지니,4,,2 days ago
48,유트브래인,5,,2 days ago
49,Jse1125,1,,2 days ago
50,Kyunghwan Lee,5,,2 days ago
51,왕종욱,5,,2 days ago
52,Sergio Ruiz,1,"Don't come during the summer, to many people. At least 2 h for every ride, more for the better rides. And the ""level"" of the rides is lower than in America or Europe",2 days ago
53,지미영,5,롯데월드는놀이기구탄본적있지만좋았어요 특히오늘운동하러갔다가잠시들렀지만 물도사먹고하면서좋았던거같아요 특히롯데월드도반값으로내놔도많은손님들이 입장할듯...물가내려가야올수있지만롯데월드도 넘비싸서안가고싶어요..암튼롯데월드는 눈으로보고눈호강하는게좋네요~ 홍보와좋은아이디어로내놓다면올수있을듯...,3 days ago
54,윤수영,5,"(Translated by Google) It's always a good place, but there are so many people and the quality of the restaurant's food... it was inconvenient that  (Original) 늘 좋은곳이지만 너어어무 사람이 많고 식당 음식 질이..떨어지는 그게 불편했고 놀이기구는 사람 없으면 운행을 안하고 모두 운행할때는 사람 많아 즐기질 못하는",3 days ago
55,Haeun Cho,4,,3 days ago
56,이동현,5,,3 days ago
57,송수동,5,(Translated by Google) old memories present memories  (Original) 오랜추억 현재의추억,3 days ago
58,김희영,5,,3 days ago
59,강경오,3,(Translated by Google) What is Lotte World?  (Original) 롯데월드가 그렇지뭐,3 days ago
60,Peter C,1,Not enough A.C. and way too many people.,3 days ago
61,꾸물꾸물,5,"(Translated by Google) It was fun~~ I guess the trend these days is renting school uniforms~ If you rent school uniforms and ride on rides, I think you will have more memories~  (Original) 재미있었어요~~ 요즘 유행이 교복 대여인가봐요~ 교복 대여하시고 놀이기구 타시면 더욱 추억이 많이 남을꺼 같아요~",3 days ago
62,김혜진,5,"(Translated by Google) There were too many people, but I had a new experience of Lotte World. I'll have to prepare more strategically next time.  (Original) 사람 너무 많았지만 환장의 롯데월드를 새롭게 경험했어요~ 다음엔 더 전략적으로 준비해야겠어요ㅎㅎ",3 days ago
63,taehee,5,,3 days ago
64,Chad Ross,4,I highly recommend the Magic Pass to save time standing in lines.  The parade is a little creepy.,3 days ago
65,John Oh,5,(Translated by Google) Amusement facilities nearby. Many foreigners  (Original) 근접의 오락시설.외국인도 많다,3 days ago
66,ice wolf,5,"(Translated by Google) My legs hurt, but I like it because there are so many fun things!!! good good  (Original) 다리가 아프지만 재밌는것이 많아서 좋아요!!!  굿굿",4 days ago
67,익명,1,,4 days ago
68,방혁,5,,4 days ago
69,Lucy Kim,5,,4 days ago
70,Lemington Kim,5,,4 days ago
71,뷔져홀릭,4,(Translated by Google) Needless to say  (Original) 말이필요없음,4 days ago
72,강선호,4,,4 days ago
73,rang yi,5,"(Translated by Google) It's vacation, so there's a lot of people.  (Original) 방학이라 사람많아요.",4 days ago
