,이름,별점,리뷰,날짜
0,Learntorock,4.0,"It was cheaper to pre-book on-line, but was still quite pricey for what it offered. There are not many big rides and these had queues of two hours by midday. There were more smaller rides and these were quicker to get on with queues of thirty minutes by midday. Lots of food choice. Toilets were reasonably clean. We saw two parades, one during the afternoon and one just before closing. Both of which were excellent. Staff were all cheerful and polite. They all spoke some degree of English. When paying in the shops you are offered the option of paying in pounds or South Korean Won. Check the exchange rate before going as when we went it was cheaper to pay by Won.","Written July 16, 2022"
1,lostinatlanta,4.0,"If you have younger kids this place is great. Plan to spend the whole day there as there is lots of stuff to do with younger kids. If you have teenagers, then it will be a shorter trip since rides are more geared toward younger folks, think magic kingdom at Disney. Food is surprisingly reasonably prices and this place is very clean.  The only negative is that if you don't speak / read Korean, buying tickets and getting in can get a bit confusing but there are staff there that can help. It is very convenient to get to, since it is located at a major subway stop attached to a very nice and large mall.","Written July 13, 2022"
2,Michelle,5.0,"want to find a decent ride? want to find a kiddy ride? well then, you should go ride Jumping Fish! Jumping Fish is literally slay queen. No matter how long it is, you have to ride it. It’s a one in a life time experience. I din’t care how old you are ( but remember you have to be under 65yrs old to ride this). Me and my friends had so much fun on this ride and we’re both almost 20 yrs old! This was quite the experience! So much better than waiting three hours for a short roller coaster. 😝🫶😍😙🐟","Written June 27, 2022"
3,bagelavender,4.0,It was packed with people on the day I went there with my kids but we weren’t waiting in the lines for the roller coaster or anything so it was fine. My kids liked it so much and it’s always a nice place to take many pictures. I had many different cards with me but Master Card was most beneficial to get an on-site discount. I didn’t find this offer anywhere beforehand but was lucky that I had the card with me.,"Written May 27, 2022"
4,Shennys,4.0,Fun place. Hired cute uniforms. We went on a Friday and it was packed full of teens. Lined up for 3 hours for one ride. Went up the Lotte Sky tower on the Monday and looked down into the park; it was empty. Wish we knew that! Otherwise it was fun.,"Written May 6, 2022"
5,Cpwee,5.0,"Extensive development with a Lot of amenities and shopping. Very well kept, Clean and efficient. Variety of stores and duty free shopping are available too","Written March 21, 2022"
6,Lena M,5.0,It was a special treat for our daughter’s 7th birthday. We have arranged for her to be a princess in the parade. We spent two days in the park and enjoyed it. My daughter felt very special and had the best birthday. The park has lots to offer for different ages. It’s fun.,"Written June 20, 2021"
7,Nabila,3.0,There are many kind of attractions suitable for adult. The gyro's the best. So sad the muslim prayer room is closed due to covid and there are no other place to pray,"Written May 22, 2021"
8,LvH,3.0,"This was our first time in Seoul and the first place that we visited. They don't have a lot of attractions to do, and it's a bit pricey. Every month they close some of the attractions on certain days. I'm not sure why. Go on a weekday less crowded, and wear comfortable shoes! Lotte World Adventure Park is not to miss! We still had a fun time!","Written May 4, 2021"
9,AuthurTommy,4.0,Nice in the seoul. Its not that big though but its good to visit with kids. Prices is not cheap. Half day is fine to visit.,"Written April 25, 2021"
10,Glen C,1.0,Shameful conditions for some of the aquatic animals. There is a lack of space for their animals. I I think places like this shouldn't exist that profit on animals in poor conditions.,"Written April 7, 2021"
11,Kevin lee,5.0,"I really like this place. It has everything that I wanted in Lotte World. Has a variety of restaurant, a lot of amusement including ghost houses. The night view is wonderful too.","Written November 22, 2020"
12,Husain M Husain,4.0,"I visited Lotte world on a rainy day & the outdoor park was closed, but luckly it had indoor park was ineradicable huge park. For indoor park you can have great park for adult and children, different kind of activities were available.  I had to choose to visit either ''Everland'' or ''Lotte World"". I chose to visit Lotte World as it was easier to access the park because I had late night flight on that day, so if you have limited time & you want to go to a theme park go to Lotte World as you can go by metro.","Written March 30, 2020"
13,vinasojung,5.0,"The place is located in middle of jamsil area in Seoul, there is a discount if you visit at night. Lots of snacks too!","Written March 26, 2020"
14,xamirxj,5.0,I live pretty close here so anytime I can I always go there. I go there with my friends. The attractions there is soo fun. They also have good food too. Even though I go there all the time it's always fun.,"Written March 23, 2020"
15,Darren C,4.0,"Nice day out, good fun indoors and out, lots of places to rest, eat and drink. Suitable for all ages.","Written February 23, 2020"
16,Emerson Lam,4.0,This is a good theme park for children to have fun when travel Seoul. The theme park is at neat downtown that not far away travel need.,"Written February 11, 2020"
17,atran1979,4.0,"Whilst at the beginning I thought it was a little pricey, the number of rides available to all and short wait time made it worthwhile. Only downside was the lack of English speaking guides within the park which made it a little difficult to get around. Other than that we had a great time","Written February 7, 2020"
18,Deta,4.0,"we went there during our winter holiday, and found out that during winter some of the outdoor rides was closed. then we spend half day inside the lotte world but it was too packed, most of the rides have around 40 minutes waiting line.  but its worth the fun, our 6 years old daughter was have some fun on the park.  TIPS: install the Lotte World Adventure apps on your mobile phone, to get more info on the queue line and you also can book the ride as well.","Written February 7, 2020"
19,Tolga Y,4.0,"Lotte World Tower is one of Korea's architectural crown jewels. The tower symbolizes the meeting of the modern with the traditional, nature and cutting edge technology, and the accomplishments of man. Lotte World Tower contains everything that is necessary for modern urban living.","Written January 25, 2020"
20,Russell1979,4.0,"We travelled in winter, therefore chose Lotte over Everland and it didn't disappoint. As any theme park, there are many attraction, rides etc. It's connected to an outdoor amusement park called Magic Island and the theme park itself is connect to a shopping mall that features theaters, sports facilities etc. It's closer to the city and can be reached easily by public transport","Written January 25, 2020"
21,jacqueline j,3.0,OMG if you are a 50+ woman or a warm blooded man you are in for a hot night! The temperature of this hotel is 28 degrees and you cannot get the air conditioning to work as it does not switch on in winter. When we told the staff that we thought the air con was broken they checked it and it could not be lowered! We were kindly given a fan! It was not a silent fan but then again either am I!!,"Written January 21, 2020"
22,Adinah S,4.0,"Came on a week day but there were loads of people, glad we took the tickets with the magic pass and saved a lot of time from queueing. overall had a great time.","Written January 20, 2020"
23,akshaysmriti,1.0,"What the hell is that!!! We enter a ride that has a storyline, its in korean!!! Not a single ride has English announcements or experience!!! As a foreigner its a completely worthless experience!!! So if you really want to enjoy better learn advance korean","Written January 13, 2020"
24,DinaNoh,3.0,"Avoid going during public holidays, school holidays and weekends. The queues are so long. It takes 1 hour to queue for any ride. The plus side is that its cheap entry tickets.","Written January 10, 2020"
25,Winnie N,4.0,My 2 teens asked to visit an amusement park. Wanted to visit Everland but was quite a distance. Decided to visit some place nearer to our hotel. Took a cab there and thought that the driver had sent us to the wrong place as we are not aware that the entrance is at the basement. Unlike Disneyland. Went in and there was a long queue to purchase the tickets. There were many students. Luckily the queue proceeded smoothly and fast. Bought the tickets to the park and folk museum. Did not go to the museum so we wasted on that. Spent about 3 hours as there weren’t many rides that appealed to my teens. We bought the so called fastpass in the park so my teens need not queue up. The place was alright but not as good as Disneyland. Need a bit of refurbishment though.,"Written January 7, 2020"
26,Adrian Lee,5.0,A great place to spend time with your kids whom will love the adventure and thrilling of rides everywhere. It is similar to Disney Land & combination of Universal Studio but only Korean Style. Many amusement park indoor and outdoor were pack with teenagers and even children’s in all walks of age. Lovely to see explore and have fun to feel how it is it to be like kid again. 💕💕💕,"Written December 31, 2019"
27,ajhira,1.0,"Visited with my three kids. More crowded than Hong Kong’s MTR Subway during peak hour. Unreal. They should have a concept of crowd control. Too many people no exaggeration.  A basic swing ride took a wait of 1 hour 40 mins (quoted a 1 hour wait which was already unreasonable for the ride) - 3 minute ride.  Will never visit ever again even if I was paid  If they employed a maximum occupancy limit, it would have been a fun day for the kids. Instead wasted one out of five of our days in Seoul.  Will be disputing my credit card charge for this one to say the least. Left after the one and only ride.","Written December 30, 2019"
28,KenLow2016,1.0,"Average wait time per ride is 90-120mins, even on weekday.  Completely overhyped and overpriced. Unless you come in via Seoul Discovery Pass.  You will be lucky to hop onto 3 rides for the entire journey.  Go to Everland unless you like queuing up.","Written December 30, 2019"
29,yeesue,1.0,"Not that “wow” like I expected Park was not as good as we expected. I was excited at first during the entrance but was greeted with disappointment after a while. The queues for all rides is too long. I waited 120 mins for the hot air balloon which is not that cool after all. While queuing, you can listen to a speaker kept repeating the same sentence on and on in Korean language which makes us very annoying, more like chanting until we found out is actually a greet and bye from the staff when u get down from the rides. No merchandise items were sold inside which double the disappointment for me and my sister. Those plan to visit Korea, this place not an ideal but you can try if u want too. Something similar with Genting Highlands.","Written December 27, 2019"
30,Kelly C,2.0,"It’s a big shopping centre, with lots of entertainments like kids. There’s really not much shopping. Mostly games & food. It’s not a place for us.","Written December 27, 2019"
31,mic_leow,4.0,"The park is divided into outdoor and indoor. Outdoor features some of the most thrilling rides and coupled with a few kiddy rides. The castle is one of the prominent display outdoor that you will take picture with. Recommended to buy fast passes as most rides have very long waiting time. There are also plenty of Restaurants inside the park. For very young toddlers, they do have a designated indoor areas for them too.","Written December 26, 2019"
32,mavistan,3.0,"Had fun but park was not as good like we imagine. Kids section is fun for kids age from 2 to 7yrs old. My child got bored after awhile. Poor in general is old, makes me thing of the theme park in Genting Highland.","Written December 22, 2019"
33,Wallace,2.0,"So we decided to book a ticket to lotte world during our vacation to Seoul, but I was really disappointed about the park. Having been to Disneylands, I would say lotte world is not even close to being as good as Disneyland. I was hyped at first at the entrance, wondering about the fun rides the park is going to offer but eventually i was greeted with disappointment when i took a look at the park map. Basically, the only fun ride was the Atlantis roller coaster and nothing else is that good. Plus, the place was packed with local students and I had to queue for 3 hours just for the Atlantis ride and trust me it wasn't pleasant at all. By the time we completed the ride, it was already evening. I would say they're trying to emulate disneyland with the castle and stuffs but boy was i wrong, as it wasn't even a ""fun"" experience at all. Rides were below average, some places were not covered with the 1 day pass and of course the massive crowd. I don't blame the crowd, but rather how small the park is to accommodate the large crowd.","Written December 21, 2019"
34,WandeReen,3.0,"A much overhyped amusement park, I'd say with nothing spectacular really. Generally great for thrill-seeking teenagers, perhaps adults, and families with young kids. Food is expectedly priced higher than usual. I'd say it's good enough to have been there, done that. Doesn't entice us to return unless there's major revamp.","Written December 18, 2019"
35,Jackie T,3.0,Visited on Tue 17 December 2019. Waited 1.5 hour for French Revolution VR. They should remove VR when it is not VR. Should have gotten the magic pass for this. Luckily this roller coaster ride is quite fun with a 360 degree turn. Only family rides have shorter queues around 5 to 1p minutes.,"Written December 18, 2019"
36,crwibawa,3.0,5th tallest building in the world. On a cloudy day not worth going to the top of the floor. Fortunately you are able to go to the 31st floor (but have to queue for the access card) where the food court is and the Signature 7/11 is located. Nothing more nothing less.,"Written December 17, 2019"
37,Mel,1.0,Nice theme park but not at $50 USD. Rides have long waiting times and staff are super difficult to deal with. You are better off going to a local disneyland or other theme parks at that price.,"Written December 15, 2019"
38,Wahyudi Lumakso,4.0,"I visit Lotte World on Sunday and the weather is light rain, unfortunate for me. Because the most extreme ride is closed. The rest is just good","Written December 13, 2019"
39,LovTraveller,5.0,kids enjoy the rides. Come during weekdays less hassle and queue. convenient facilities. Prayer room is available but need to be request access via intercom. ambiance were great. many parades able to catch on. value for money.,"Written December 3, 2019"
40,LaiWF,2.0,"This amusement park is much more indoor-centric , and quite alot of the rides need extra payment which are not included in the entrance fee. And the waiting time are really crazy even on a school day. The outdoor park is quite small as well. In short, if you want to come here , I highly recommend you to get the Fast pass or else you would end up wasting alot of your time waiting.","Written December 3, 2019"
41,Justbeinghonest,4.0,"Lotte world is just that, it's own little world that part amusement park, part indoor ice skating rink, underground aquarium part shop till you drop underground, followed by restaurants galore from street food to fine dining. It's your one day to explore underground activities all in one place. In the spring, it's one of the best place to catch in Seoul to catch cherry blossoms around the lake. There's plenty to do for all ages that it will literally take you the whole day if you just take slow and steady.","Written December 2, 2019"
42,Rudy K,1.0,"Worst place ever, even with a map it’s confusing to go around . Trying to be a Amusement park but it’s a giant arcade","Written November 29, 2019"
