,이름,별점,리뷰,날짜
0,Sahar K,2,"Visiting this place in the summer is a huge mistake, lines were unbelievably long and slow. I’ve never seen such a long line and was forced to stand in it because no I don’t want to go down walking in a 200 stairs in the summer, and I paid a rounded ticket.",13 minutes ago
1,Eveline Krebs,5,I always wanted to visit the Namsan Seoul Tower! What a beautiful view all over Seoul! I highly recommend it!,an hour ago
2,mirwais ahmady,5,,2 hours ago
3,Yoongki Ahn,5,,3 hours ago
4,거북맨,4,밤에 가면 좋을곳,3 hours ago
5,Hoodam Lee,5,서울 시내 한눈에 구경할 수 있어서 좋아요~ 평일에는 반절이 외국분이시네요,4 hours ago
6,강민성,4,"흐린날에 가서 전망대 입장권을 샀더니, 3개월 안에 다시 오면 공짜라고 도장 찍어주네요. 이런 제도 괜찮네요!",6 hours ago
7,Thomas Excoffon,5,Top on voit tout Séoul c'est génial,6 hours ago
8,이향숙,5,타워는 한번쯤만 올라갈 만 하다. 타워 아래에서 전통무예 공연 등을 하는데 재미있었다,8 hours ago
9,Deby,4,good :),11 hours ago
10,Pakkapol Lailert,4,"The entry ticket is a little pricey (especially as you also have to buy a cable car ticket up to the base if you don't want to hike), but I think it's quite worth a visit. The view from there is great and there are also shops with drinks as well as souvenirs (they're quite reasonably priced actually). There's also a restaurant both at the base and on the tower. Overall, I think it is great for a chill day in Seoul. I've heard that the queue for the tower can be quite long at times, but when I was there it was less than a 10 min wait for the lift.",16 hours ago
11,Muhammed al,4,"(Translated by Google) Worth a visit, there are restaurants and cafes  (Original) يستحق الزيارة ويوجد مطاعم ومقهي",16 hours ago
12,한병환,5,"(Translated by Google) It was a day that fulfilled one of my bucket list with my sons. Living in Seoul, I went to a farther place to play and see, but I was embarrassed because I had never been to the nearby Namsan Mountain. It was especially nice to be able to show my sons, who tend to sleep early, to see the night view of Seoul. My sons liked it so much that I was even proud to think that it was even better. Due to time constraints, we couldn't go inside the tower, but the exterior was beautifully decorated, so we took a lot of pictures. Come visit us!  (Original) 아들들과의 버킷리스트 중 하나를 이룬 날이었습니다. 서울에 살면서 더 먼 곳으로는 놀러도 다니고 구경도 다녔는데 정작 가까운 남산을 한번도 안가봐서 머쓱하더군요. 특히나 일찍 자는 편인 아들들에게 서울의 야경을 구경 시켜 줄 수 있어서 좋았습니다. 아들들도 너무 좋아해서 더욱 잘왔단 생각에 뿌듯 하기까지 했습니다. 시간 관계 상 타워 안으로는 못 들어갔지만 외관도 이쁘게 잘 해 놓아서 사진 많이 찍었습니다. 한번 다녀오세요!",19 hours ago
13,Erik Cayer-Barrioz,5,,21 hours ago
14,SangSoo Vlogs,5,(Translated by Google) So good. The air scenery is superb. Will visit again.  (Original) 너무 좋아요. 공기 경치 최고입니다. 다시 방문할 것입니다.,22 hours ago
15,포커스아웃,5,,22 hours ago
16,Dewi Intan,4,"(Translated by Google) It's really mandatory to enter the Bucketlist when you go to Korea, to Namsan Tower, as an icon of Seoul. The road to get there is a bit uphill, so it's a bit messy. but it's really worth seeing Korea from above. There are also many photo spots here, in the love lock area. a place to sell postcards, then there are lots of gardens and places to sit and then you really have to take photos on the colorful trees according to the season.  (Original) Wajib banget masuk Bucketlist kalau lagi ke Korea, ke Namsan Tower, sbg icon nya Seoul. Jalanan menuju kesana rada naikan, jadi agak ngos2an yah. tapi worth it banget liat korea dari atas. Banyak spot foto juga disini, di area gembok2 cinta. tempat jual postcard, trus ada banyak taman dan tempat duduk lalu mesti banget foto di pohon2 yang berwarna warni sesuai musim.",23 hours ago
