,이름,별점,리뷰,날짜
0,Learntorock,5.0,"Stunning views over Seoul. Nice area to wander around, I liked the duck statues and padlocks. There were places to eat and toilets. Worth noting we were offered 25% off if we paid by cash instead of card. Bus went part way up the hill, then there was a short walk. Caught the cable car back down. You have to pay extra for this.","Written July 15, 2022"
1,SherbetMelbourne,4.0,We took a train and then a bus to get here. Once you hop off the bus there is still a failry decent uphill walk involved. Lots of greenery and the view was worth it. Seoul is an awesome city to look down on and i would recommend doing this and Seoul Sky at Lotte world tower as they both offer jawdropping vistas even if the Lotte World view point is higher.,"Written July 5, 2022"
2,Bella,4.0,Very good experience. Good views from the top however we went on a clear day so it could be different on a rainy day. Lift was a bit tacky but overall would reccomend going for the views .,"Written July 2, 2022"
3,Traveltheorient,5.0,The Seoul Tower is really not difficult to access. I just walked to it and it was not even a hike but a nice walk.,"Written June 11, 2022"
4,bagelavender,4.0,"Such a nice place for a walk and has a beautiful view! My husband and I went up by walking since I love hiking, but you can also decide to go up there using the cable car. They were also filming some kind of a K-drama at the top so we had to be quiet. Also, we used an app called Dealightme to get a discount for the tower entrance fee. I’m sure it would be a great experience where you can see beautiful sights of the whole city. Lastly, don’t forget to leave your “Lock of love” if you’re going there with your significant other!! xD","Written June 10, 2022"
5,Maribel Saldivar,5.0,"The visit at the seoul tower is an experience unforgettable , well the are in that place, made me remember the scenes of my dramas and the think that my favorite artists were recording in the place i am filled emotion. i enjoyed a lot the route well it was how to be in a dream made reality . is a place beautiful because from above can you see all seoul and the view is great , you feel in the Paradise.though a disadvantage of place is that the lights of the business are very talls and hinder the visión from outside. This visit it was the best and definitely i recommend let them go a visit the tower.","Written June 2, 2022"
6,Traveller of the world,5.0,"With these view things, they are always hit and miss.  This was a hit and I would highly recommend coming!  Use the Cable Car to come.  We arrived just before sunset, the day views were nice but slightly cloudy.  As day turned into night, the views were spectacular.  Before getting your ticket and going to the top of the tower (or after), get a drink or bite to eat or browse the shops and soak up the atmosphere on the lower ground section.  Lovely with the lights.  Such a great vibe.  Can get chilly so take a light throw.  Purchase a ticket and then head up.  Pretty quick.  When you get to the top, it is all enclosed but the night views were stunning.  There are seats if your lucky enough to get one plus a place where you can purchase drinks, sweets, souvenirs and other things.  Very busy.  Strangely there were a lot of children!  Clean.  There are toilets as well. Waiting for the lift to go back down took a bit longer but was still quick.  Nice.  I would have liked it to be less busier so you could really soak it up and enjoy the views but it was a weekend and I still enjoyed it.  Would recommend for sure.  Staff are not the friendliest!  For those scared of heights, this was not that bad at all.","Written June 1, 2022"
7,Ambar Guzman,4.0,"The tower is one the most amazing place in korea. From there you have a beautiful view of seul,you can leave your love lock and take beautiful photos with an amazing background. I recommend goin in the afternom or evening,you can enjoy the view of the city more and there are few people. It has affordable prices and the costs are around 9500 W for adults or 6500 W for children. The tower has an abservatory this is a unique and extraordinary experience . It really is a very beutiful place, people from many countries visit the tower, this has to be one of the first place you will have to visit in Korea.","Written May 26, 2022"
8,Shennys,3.0,"Nice view of you can see if though the filthy windows. We went at sunset and it was packed and stuffy. I wanted to avoid covid, so we got the heck out working 10 mins. Better off going to the Lotte World Tower.","Written May 6, 2022"
9,Toni J,5.0,"I hiked up the stairs path and down the road path. I think next time I'd stick to the road side because the stairs are SO HARD to climb...at least for me. Still I was proud to get to the top. Once there, the view of Seoul just can't be beat. It's amazing. I went in the Fall so seeing the colorful trees just added to the beauty of the journey.","Written January 27, 2022"
10,Amrel26,4.0,"I had a great time at this place. It was kinda windy when I went there, but it was still worth it. Great views of Seoul. I especially enjoyed those locks of different colors, like those in Paris. Koreans are hopeless romantics which is endearing. 😍","Written October 21, 2021"
11,AuthurTommy,5.0,I have visited couple of times. Both experiences were amazingly great. Highly recommended if you like walk and enjoy the opportunity to see greater Seoul.,"Written May 14, 2021"
12,Mel G,4.0,"We visited Seoul Tower during the summer of 2020. It was pleasantly even more enjoyable than I thought it would be. Be sure to wear walking comfortable shoes. The trolley up gives a lovely night time view. There's a love locket bridge. You and your special one can either bring a lock or purchase a lock at a little store and attache to a bridge or any of the rails in a certain area, you can also sign the benches and novelty items there. You'll know the spot when you see it. The elevator up the tower is super fast and all the little rooms you go through to get to the viewing spot at the top of the tower are delightful and offer opportunities for selfies, and pics. We enjoyed the great view of Seoul from the observation tower and the portions of the glass floor. Actually found some really great gifts to bring home to the kids who didn't travel with us. Overall, an enjoyable experience. Plenty of taxis outside, but beware they don't want to travel too far out of their radius so you might have to check with a few before finding one to get you back to your hotel, depending on where you are staying. Also know in general traffic in Seoul is horrible. It can take way too long to get from one spot to another. Plan for that as you make your plans.","Written May 8, 2021"
13,ChongWang,5.0,"Namsan Tower is a Korean landmark, and it is one of the tallest towers in Asia. It offers not only a view of all of Seoul, but also a chance to enjoy a meal inside the tower. At first, Namsan Tower was used for broadcasting, and then fully open to the public, it is worth watching the Namsan Tower lock wall, slowly a wall of locks, and the lock hanging on it must be a couple together. Now, the Nanshan Tower locked wall is a very popular tourist attraction. At Nanshan Tower, the highlight is that there are interpreters for multiple languages so that you do not have to worry about language barriers. Secondly, the entertainment near the tower is also very much available, which can satisfy no longer a single view of a tourist destination but can enjoy food and shopping at the same time as viewing the landscape.","Written April 13, 2021"
14,spryan,5.0,"The SkyRail Cable Car saves you the time & energy of climbing up to Seoul Tower on foot, so you’ll have more time/energy to explore while you are up there. Worth the $12 per person! I suggest bringing a lock from home w/ your initials on it; that way you’ll have a unique lock that’ll stick out from the sea of locks sold up there. Breathtaking views, too.","Written March 10, 2021"
15,Švie,5.0,"The views are amazing, but I also really recommend walking up and down the hill instead of the cable car if you can.  It's a long climb but so worth it, especially if you go at sunset. You'll also skip the long cable car queues this way.","Written November 24, 2020"
16,Tobias L,2.0,"I walked from my hotel, a nice 3 km walk through Seoul. Last bit through a forest. The tower plaza, decks and viewing deck at the top is covered in American kids Halloween music, like monster mash. Cute at first but after about 10 minutes I’m dying to get away.  The music and the gift shop feel of the whole place was a big minus for me. There are some restaurants were you can escape the music. It is a great view from the top of the tower though.","Written October 12, 2020"
17,Augustine J,5.0,"Namsan Seoul tower or Seoul tower or the radio tower is a popular tourist spot in the heart of Seoul, close to Myeongdong. It is located on top of a mountain and is accessible by road/cable car/a hike. Prefer going in the evening to catch a glimpse of sunset & night time of Seoul. However, it gets crowded & boarding a cable car would be a long wait. A whole lot of love padlocks are put up in the rails & it was mind blowing to see them locked for years together. You can see a lot of people struggling to pose and snap the whole tower in the picture. This was fun to watch.  View point for photo-op/usual convenience stores/snack bars/restrooms/souvenir shop are available at the top.","Written August 21, 2020"
18,Thomas M,5.0,Great view after a power walk through Namsan Park. Loved the views of the city in all directions. Gorged myself on gummy candies from the candy store.,"Written July 6, 2020"
19,Cyril Grace R,5.0,this place had 360 degree vies of seoul.best time to visit is afternoon until night to see the lights at night,"Written May 11, 2020"
20,Blossom,5.0,"The Korean Drama that left the biggest impact on Namsam Tower to me is Legend of the Blue Sea! If you're a fan like me, don't miss this!  Remember the scene when Sim Cheong told Heo Joon Jae to meet at Namsam Tower on the next first snow? She walked up the hill and he drove up but she got into an accident and didn't make it to the top. You definitely don't want to miss Heo Joon Jae. So let me share with you a tip: How to get to N Seoul Tower!  Search on Kakao Map/Google Map: Namsan Ormi Elevator (Bottom Entrance) in my opinion this is the easiest way to get up! The Elevator is like a tram train, you'll be able to enjoy the surrounding view on your way up. Then follow the crowd and you'll get to N Seoul Tower!  When leaving N Seoul Tower back to the city, i recommend to catch a bus to the nearest station depending on your next destination. The bus stop is just a stone throw away by walking down a short slope, do look out for bus stop signs :)","Written April 3, 2020"
21,Kens,4.0,"I went to Namsan on my first day at Seoul. I went there at golden hour to catch winter sun set. Seeing Seoul from top, bathed in golden sun rays, it was really worthy went all the way to Namsan Tower against breezing wind winter. A cup of hot chocolate was enough to keep me warm during my visit.","Written March 18, 2020"
22,Catherine Q,5.0,"If your in Seoul you should visit the N Tower. The view is very fantastic, you can see the city lights on the top, its nice to visit during evening. They also have restaurant there in case your hungry and you want to enjoy the view while eating.","Written March 15, 2020"
23,Bhoghing the Explorer,5.0,"The view on the top of Seoul tower is very wonderful, were you can see the beauty of Seoul, its better to visit there during night time to see the city lights. They also have restaurants where you can eat their delicious Korean food while enjoying the city view.","Written March 11, 2020"
24,jrrjr619,4.0,"The N Seoul Tower is relatively easy to get to by train/bus. You can take a special bus to the top of the hill or you can hike it up the hill which is a very good workout. Go to the tower in the evening as the view of the city is fantastic. There is also a couple of gift shops to purchase your souvenirs. A must see while in Seoul. Take the tram ride up to the elevator, at the base of the tower, if you’re not up to the hike.","Written March 10, 2020"
25,Qivsten,4.0,"Well worth the time and it offers a great view of the city. There is plenty of merch to buy, and of you get hungry there see restaurants here as well. Of you visit during winter you should dress warm since it could get pretty windy up here.  It is easy to get here by bus and the entrence fee is pretty cheap.","Written March 8, 2020"
26,BillNabilah,4.0,"The day we arrived in Seoul, after putting our luggage at the hotel, we straight away took a bus to Namsan Tower. I booked the ticket using Klook and scanned the ticket at the entrance. The view at night is amazing you can see the whole area. If you have strong legs, you can walk up the hill.","Written February 19, 2020"
27,Lee Shearer,4.0,"Located in a relatively central location in Seoul,no direct metro but can easily navigate your way there by alighting at Dongguk University stn, exit 6 n go to bus stop near Uni bridge. Take bus 2 n 4 to reach. Tower located at Namsan Mountain whereby one can take many nice photos. Tower visit itself is rather optional as the mountain already provide a fantastic view of the city. Defo worth a visit.","Written February 17, 2020"
28,Tracy B,4.0,"I purchased the Skip the Line ticket, but for the time I actually went (during the day, middle of the week, January), I didn't need it (however, it seems like from other reviews, you may still want to consider it). I took the Hop On Hop Off Bus - Palace Route to get to the tower. It's still quite a hike up the hill, but the sun was out and the views of Seoul were really incredible. I feel very lucky that the weather cooperated and while there was some glare through the windows and a bit of haze, I think my photos came out okay and I had a good time just walking around the floor, looking at different points around the city. There is helpful signage with the distance of different cities from Seoul. There is a small gift shop where you can buy postcards and even mail them. There is a sit down restaurant, but I believe you need to have reservations. Once you get out of the tower, there are other restaurants and souvenir shops. I wish I would have taken the cable car, that sounds like it was fun.","Written February 16, 2020"
29,Manjju Chandran,5.0,I sure am a sucker for towers and tall buildings I donno why and Nseoul tower was one of the best..121 floors high I guess and the glass bottom and all the photo ops..we all had a good time!,"Written February 12, 2020"
30,Diane,4.0,We visited it during weekday to avoid the long line of the cable car. We skipped the ticket line by purchasing it thru Klook. The view is much nicer in autumn.,"Written February 11, 2020"
31,Janeli K,4.0,"Its a pretty nice place, I enjoyed the hike up to the tower, got some great pictures. Not really worth the money to go all the way up to the tower tho.","Written February 10, 2020"
32,Deta,4.0,"from myeongdong, we walk uphil to the cable car station. it was 3PM in the afternoon. And once we arrive at the station, we need to wait in line for around 50 minutes before we can go up. it was quite a waste of time, considering the cable car ride was only 5 minutes.  then since we already bought the observatory tower ticket via Klook, then we go up directly. however to my surprise, the view from the deck was not that special. so, its not worth the cost. You can see a better view without go up to the observatory tower. and spend more time on the locks of love area which is cute.  we go down via shuttle bus to myeongdong, its way cheaper and time savings compare if you have to take the line to get the cable car.","Written February 7, 2020"
33,Jenine May L,5.0,Super awesome place! I really love everything from here . Would like to go back again here! Super worth it,"Written January 31, 2020"
34,travelovemn,4.0,"We had 1 day in Korea, so we decided to go despite the weather. It was a lot of people, local and foreigners. We can only imagine how spectacular it would be on clear day","Written January 29, 2020"
35,Kaleb S,5.0,"I did not mind spending the money for the cable car ride or the ticket to the top. They view was absolutely worth the cost.  The coffee shop at the top had *amazing* desserts, there were stools/tables to snack at, the 360 degree view was amazing, the elevators moving quickly, and the bathroom had quite the view.. seriously!","Written January 26, 2020"
36,Russell1979,5.0,"Located on Namsan mountain in central Seoul, it's easy to get to. Just after dusk provides breathtaking views. You need to take the cable car up the plaza area. Here you will find lots of attraction like the ""love locks"" something similar to Paris, wishing pond, various observatory decks, food court, museum's and the entrance to the observatory tower itself which boasts of panoramic views of the city of Seoul. One of Seoul's must visit attractions.","Written January 25, 2020"
37,Tolga Y,5.0,"Namsan Tower is known for many things: the cable car ride, the nice trekking at Namsan Park, the great aerial view of the city, museums and café.  At a height of almost 240m, the tower has an onservatory deck that offers an amazing view of the city. The iconic letter “N” was the result of the remodeling of the tower in 2005. Since then, the place is known as N Seoul Tower, with beautiful bright lights at night.","Written January 24, 2020"
38,Tee L,5.0,My family and I vacationed in Seoul for New year's Eve. We stayed at the millenium Hilton in front of Seoul station. we didn't know what to do for New year's Eve countdown. So we decided to climb the mountain directly in front of the millenium Hilton. At The summit is Seoul tower. From which you can see the New year's Eve fireworks from down below. The temperature was about minus 8 degrees Celsius. We bundled up around 11 p.m. and started up. The hike was very lovely. As you hike up you can see a beautiful a 360 view of the city of Seoul at night. It's not a hard hike. And there are art installations along the way. Including a strange love heart lock it installation. Apparently you can buy love heart lockets and write a message and lock it around these fences and other art installations along the mountain. At the top of the mountain there are cafes and gift shops. You can purchase tickets to go in to Seoul tower. We did not do that. Instead We got some hot chocolate and coffees and celebrated 2020 watching the fireworks from down below. The fireworks were very small from our vantage point and not that impressive. but overall it was a beautiful hike and an absolutely fantastic way to ring in the New year. It started to snow along the way as well but that made it all the more romantic and special. My teenage daughter took many pictures. We walked around with our hot drinks looked around the gift shops and then made our way back down as we started to feel the chill. I highly recommend this hike. I could not have imagined a better New year's Eve . It was perfect,"Written January 22, 2020"
39,Bekah,5.0,"What a gorgeous view of Seoul at night! When we got on the bus to go to the tower, I didn’t realize that it was at the top of a hill/mountain so I was surprised that we didn’t just walk, but I was thankful as we made our way up the windy roads that walking wasn’t happening! It was definitely worth the trip and I loved the whole experience. Would definitely do it again next time I come to Seoul, but maybe during the day next time!","Written January 21, 2020"
40,jed,4.0,"The prices for the ticket were a bit expensive, considering the surrounding attractions are significantly cheaper. We enjoyed the view though, and the many opportunities to grab a souvenir. Would definitely come back during a different season to see how the view would look during spring or summer.","Written January 20, 2020"
41,lauricejustine,5.0,"It was really an amazing view at night. Although it was -1°c, but it was nice to see. The place had recreation for the young ones & had alot of food plc too.","Written January 19, 2020"
