,STAR,CONTENT,DATE
0,5, Its holiday season so there are a lot of people on weekdays but I still watch parades and love babies Im satisfied with an amusement park this size in Seoul ,a day ago
1,4, Rain or shine it is the best amusement facility to enjoy indoors ,a day ago
2,4, I went there for my daughters birthday celebration but every time it starts I go in and its close to closing time Its hard but Ive been making fun memories with my daughter ,a day ago
3,4, I dont go on Saturdays Sundays public holidays and vacations ,2 days ago
4,3,Its good for a one time visit The waiting time is too long so I advice to buy the express pass otherwise youll have to wait like 1 hr per game,2 days ago
5,5, It has been a long time since the children were able to have a good time ,2 days ago
6,5, You can have such a fun and happy time Its a magical space ,2 days ago
7,5, When popular attractions are closed be prepared to get out of them Because you will start to be pushed back by unpopular attractions as well ,2 days ago
8,3, A beautiful and spacious amusement park but the outdoor games were few small space and very crowded ,2 days ago
9,5, So much fun so many attractions and you can buy an annual membership ,3 days ago
10,3, August 1st was raining and it was vacation season There were a lot of people from the moment I entered so I had to wait 5 hours to get on the Froom Rider The Magic Pass is very difficult and those who use ,4 days ago
11,5,I went on Monday but there was a lot of people here This amusement park was divided into 2 zones indoor and outdoor Outdoor playthings was more exciting ,4 days ago
12,2, Because there were so many people the staff worked really mechanically with a voice wet with inertia Even if you want to ask something you feel like avoiding eye contact as much as ,4 days ago
13,5, It is better to go on a day when there are not many people The food they sell is delicious ,4 days ago
14,3,The building and the attractions are great Seems like a plagiarized and cheap version of Disneyland but hey theyre not in Korea Would recommend to spend an overheated summer day Attractions are plenty fun and sensations so trying it ,4 days ago
15,3, There are so many people but I cant help it but the line was so long that I could only ride two for almost 4 hours ,5 days ago
16,3, Parking is difficult and there are a lot of people Short ride time ,5 days ago
17,5, Wednesday and Thursday are the least crowded days As soon as you enter run to French and Atlantis ,5 days ago
18,5, Can I cancel my annual membership It is difficult to reserve a Magic Pass Gwangkle required ,5 days ago
19,5, Its been a while since Ive been here but I felt a strange nostalgia I dont have that thrilling feeling when I was young but it was so much fun ,6 days ago
20,5, Is it possible for only one accompanying person to board the disabled child The rides can accommodate up to 6 people but if the number of people on board is not exceeded all family members of 4 should board first ,6 days ago
21,3, Huge queues are long few extreme ones I liked the other park more ,6 days ago
22,5, I went with my friends but I have to buy a ticket to get into the neighborhood and it would be better if I had a magic pass ready Waiting time is crazy ,6 days ago
23,4, Premium Magic Pass is essential because there are many people Even if it is an open run the waiting time is Hell without a Magic Pass after ,6 days ago
24,5,Fantastic place for fun and amusement park for families and friends,6 days ago
25,4, what an amusement park If it rains 4 stars if it doesnt rain Ill go to Yongin ,6 days ago
26,4,The place is enjoyable but I recommend migic pass if you are visiting on weekend or holidays Each ride has a wait time for more then an hr or 2 so it was a bit disappointing for the wait,6 days ago
