,STAR,CONTENT,DATE
0,5,Seoul tower is very peacfull and one of clean place that I visit in my life Beautiful city view Fantastic gardens trees And I do highly suggest you to visit here if you visit seoul must add on your booking list When you come this place you will love to spend your time,11 hours ago
1,4, We have walked up and down It is a good walk on one side stairs on the other path through the forest Visibility a bit poor but to be expected cloudy weather ,21 hours ago
2,4, It was a bit late to open and it was raining and it was hard to wait outside but its still good ,21 hours ago
3,5, It was nice to be able to see the beautiful night view of Seoul ,a day ago
4,5,Got there at dusk By the time we got into the tower and up to the top it was dark out It would have been better to get there earlier to see the foothills etc but time and buses wouldnt allow it But it was a stunning view of the city ,a day ago
5,4, Its been a long time since I visited with my mother and children to see the night view Even on the weekend there were not many visitors because it was Kosiguk so it ,a day ago
6,1, I went a few years ago and I didnt like it its not much of a joke and its expensive for what it offers It seems that the only attractions in South Korea are Kpop and Kdramas A few palaces if anything but ,a day ago
7,5,Overlooking Seoul,2 days ago
8,4,cool weather many trees convenient for walking and morning exercise there is a cafe on the tower spacious outdoor space,2 days ago
9,5, Worth a visit and one of the beautiful landmarks of Seoul ,2 days ago
10,5, Go up on the cable car and eat pork cutlet good for a date ,2 days ago
11,5,1 point worth going when visiting Seoul,2 days ago
12,5,Namsan Seoul Tower was built in 1969 as Koreas first integrated transmission tower beaming television and radio broadcasts across the capital Since opening to the public in 1980 it has become a muchloved Seoul landmark The towers main ,3 days ago
13,5, Its like riding a doubledecker bus to the tower but it feels different Is it It was nice to arrive at Seoul Tower and look around ,3 days ago
14,5,Its a Buran place,4 days ago
15,4,Nice ride up Nice view of Seoul city,4 days ago
16,5,Aju joa,4 days ago
17,5,Been up to the tower quite a few times Mostly walked up It an easy walk but will get you swearing Cable car option for those who prefer the less active way Plenty to see and do up there as we as grab something to eat,4 days ago
18,5, Arrive at Namsan Library around 820 in the morning and park It takes about 30 minutes to walk to Namsan Tower ,4 days ago
19,5,Nice small hike to the tower Plenty of restoraunts as well to choose from  Very scenic views and overall a great experinece right in the city,5 days ago
20,4, If you dont take the Namsan Tower cable car its about a 20minute walk from the park parking lot Its a little hard because Im going up the stairs ,5 days ago
21,4, Okay I think it would be nice if it was a little more dynamic ,5 days ago
22,5,My favorite place in Seoul ,5 days ago
23,5,Very cool location extremly nice 360degview to all sites of the town,5 days ago
24,5,Great view of the city and a nice place to relax and chill during summer Do take the cable car from Myeongdong ,5 days ago
25,5,Great place to visit for the view of the Seoul skyline,5 days ago
26,5, It was my turn to climb the tower so I waited for a while but the night view from around the tower was beautiful enough Of course the night view from the tower is the best ,5 days ago
27,5, This is a picture of Bongsudae next to the Seoul Metropolitan City Cultural Heritage Excavation Exhibition Hall and Namsan Tower ,6 days ago
28,5, Seeing the night view of Seoul here is indeed the first recommendation But unfortunately as a hurried passerby we only stayed for one night and we just didnt buy a ticket to the tower Taking the next step I ,6 days ago
29,2,Visiting this place in the summer is a huge mistake lines were unbelievably long and slow Ive never seen such a long line and was forced to stand in it because no I dont want to go down walking in a 200 stairs in the summer and I paid a rounded ticket,6 days ago
30,5,I always wanted to visit the Namsan Seoul Tower What a beautiful view all over Seoul I highly recommend it,6 days ago
31,5, Its nice to be able to see downtown Seoul at a glance On weekdays half of them are foreigners ,6 days ago
32,4, I went on a cloudy day and bought a ticket to the observatory and they stamped it saying it was free if I came back within 3 months This system is fine ,a week ago
