,STAR,CONTENT,DATE
0,5, After lunch at Mazesoba I went to Giordano then to Jo Malone and for dinner I went to Broxi and ate a burger ,18 hours ago
1,5, There is a lot to see and frequent I happened to stop by Gordon Ramsay Burger because there was no line but at a very wicked price the taste is okay More surprising than a hamburger is a Coke of 5000 won lol ,a day ago
2,5,Amazing Must see,a day ago
3,5, The Lotte Tower Observatory is the best Even on a cloudy day you can see Seoul at a glance There are several tourist attractions so it is worth visiting the observatory ,a day ago
4,3, Visited the day after the Gangnam area was flooded Something wasnt what I expected ,2 days ago
5,5,Very nice view,3 days ago
6,5,Breathtaking views,3 days ago
7,5,Seoul is soul of asia ,4 days ago
8,5,Without expectation will be good to visit If expect too much not sure I think if visit weekday will be better as this place is too crowded,4 days ago
9,1, Hmm very disappointing There isnt much to see Each person may feel differently but there is no theme suitable for Seoul Sky and its in the middle ,4 days ago
10,5,Amazing By far the best observation tower I have ever gone up The views of Seoul were breathtaking Very spacious at the top and somehow we spent more than an hour up there If you want to have dinner at the very top around 50000 per person make sure you make a reservation in advance,4 days ago
11,4, It was hard to find the place I wanted The first visit felt like wandering through a maze as the space was very spacious and the escalator and elevator connections were not easy The Seoul view from Sky was ,4 days ago
12,1,Seeing many people waiting for the  elevator  was   one i hate  and  without no seeing anything   from inside the elevator made me  unhappy and all the time that I being  forced to look up the celling creating various colorful lighting show ,5 days ago
13,5, The view of Seoul from the observatory is the best The windows also seem to be well maintained and the indoor lighting is not too much so there is no difficulty in taking night shots ,5 days ago
14,5,High end luxury brands,5 days ago
15,4, Shopping sights food entertainment allpurpose tower with just one shot ,5 days ago
16,5, Even though I live nearby Im not interested so I didnt go there but I got a discount ticket so I went Its full of apartments around The feeling of seeing from a high place seems to be different from Namsan ,5 days ago
17,4, I go once twice wellj ,5 days ago
18,4, Parking is a bit inconvenient but Sky Lounge is scary and fun ,6 days ago
19,5,The most beautiful view in all of Seoul,6 days ago
20,5, An indescribable experience A great view and distant view The ride in the elevator was an experience ,6 days ago
21,2, The things I didnt like were that the restaurant did not have a parking discount the toilet was dirty and the interior was hot The good things are the delicious cheesecake the Lotte Cinema Sound Bread and ,6 days ago
22,5,Worth it  The fifth highest building in the world  Amazing view  A thrill ride from beginning to end  This is what I call a birds eye view If you arent afraid of heights than youll love it,6 days ago
23,5,Must go place,6 days ago
24,5, There are so many things to enjoy inside When you get off at Jamsil Station everything is connected ,a week ago
25,5, 30 minutes until ticket confirmation Additional 40 minutes to the elevator Only people with strong legs go ,a week ago
26,5, As expected Lotte World Tower Aquarium and observatory are worth visiting ,a week ago
27,3,Quite expensive To get there u have to wait almost 1 hour To go down maybe much longer,a week ago
28,5, South Korea is development innovation scientific breakthroughs modern style in all areas of life Admire Korea ,a week ago
29,5,Very good place,a week ago
30,5,Its a very tall tower with a great view,a week ago
31,5,Great view up there,a week ago
32,4,Its really awesome,a week ago
33,5, There are restaurants and cultural spaces so its a great way to pass the time  ,a week ago
34,5, Ill be arriving in Seoul soon and I want to climb to the top of Lotte Tower ,a week ago
35,5, Its the World Tower I often go to to watch movies There are plenty of places to eat and to see Its a great place to spend a lot of time ,a week ago
36,5, Seoul looks amazing from a height of 555 meters on the 123rd floor  ,a week ago
