,긍정,부정
0,night/NN,staff/NN
1,also/RB,expecting/VBG
2,burton/NN,eat/VB
3,zaha/NN,chill/NN
4,subway/NN,inside/NN
5,great/JJ,stores/NNS
6,many/JJ,unfriendly/JJ
7,good/JJ,surrounding/VBG
8,always/RB,outside/JJ
9,visit/NN,hope/VBP
10,really/RB,vacant/JJ
11,seoul/NN,waste/NN
12,enjoy/VB,inside/IN
13,art/NN,r/NN
14,interesting/JJ,n/NN
15,hadid/NN,landscapes/NNS
16,different/JJ,fav/NN
17,amazing/JJ,roam/VB
18,lots/NNS,whole/JJ
19,ddp/NN,except/IN
20,visit/VB,people/NNS
21,worth/IN,viewing/VBG
22,ive/JJ,something/NN
23,tim/JJ,euljiro/NN
24,evening/NN,coex/NN
25,famous/JJ,weekday/NN
26,dongdaemun/NN,disappointment/NN
27,plaza/NN,movie/NN
28,due/JJ,crowded/JJ
29,beautiful/JJ,inside/RB
30,exhibition/NN,information/NN
31,light/NN,reknown/JJ
32,visited/VBN,closed/VBN
33,tim/NN,much/JJ
34,week/NN,costeffective/JJ
35,day/NN,go/VB
36,ud/JJ,appreciate/VB
37,walking/VBG,big/JJ
38,must/MD,need/VBP
39,environment/NN,little/JJ
40,enjoyed/VBD,money/NN
41,library/JJ,museum/NN
42,books/NNS,find/VB
43,exhibitions/NNS,special/JJ
44,watching/VBG,get/VB
45,busy/JJ,dot/NN
46,shops/NNS,guide/NN
47,picture/NN,nothing/NN
48,nice/NN,disappointing/JJ
49,photo/NN,empty/JJ
