,긍정,부정
0,good/JJ,places/NNS
1,bookstore/NN,made/VBD
2,books/NNS,staff/NN
3,kyobo/NN,much/RB
4,place/NN,childrens/NNS
5,read/VB,sight/JJ
6,best/JJS,seeing/NN
7,selection/NN,hence/NN
8,time/NN,sold/VBN
9,great/JJ,responding/VBG
10,well/RB,im/VBP
11,lot/NN,im/JJ
12,also/RB,enough/RB
13,section/NN,book/NN
14,kinds/NNS,preorder/VB
15,english/JJ,jump/NN
16,wide/JJ,3/CD
17,korea/NN,im/NN
18,go/VB,went/VBD
19,station/NN,smaller/JJR
20,various/JJ,said/VBD
21,large/JJ,man/NN
22,seoul/NN,kindly/RB
23,korean/JJ,older/JJR
24,friendly/JJ,little/RB
25,spacious/JJ,speak/VB
26,kids/NNS,corner/VBP
27,visit/VB,like/IN
28,space/NN,receipt/NN
29,stationery/JJ,online/NN
30,always/RB,number/NN
31,one/CD,unfriendly/JJ
32,comfortable/JJ,visit/NN
33,lots/NNS,sit/VB
34,favorite/JJ,plastic/NN
35,reading/VBG,piled/VBN
36,love/VBP,better/NN
37,convenient/JJ,look/VB
38,available/JJ,long/JJ
39,go/VBP,see/VB
40,still/RB,felt/VBD
41,think/VBP,enter/VB
42,makes/VBZ,appliances/NNS
43,much/JJ,cant/VBP
44,largest/JJS,home/VB
45,library/NN,readers/NNS
46,language/NN,expensive/JJ
47,little/JJ,asked/VBD
48,day/NN,parking/VBG
49,supplies/NNS,crowded/JJ
