,긍정,부정
0,time/NN,pavilion/NN
1,place/NN,lame/JJ
2,beautiful/JJ,money/NN
3,great/JJ,rest/VB
4,lot/NN,drink/VB
5,see/VB,free/JJ
6,cute/JJ,expected/VBN
7,experience/NN,even/RB
8,well/RB,haha/VBP
9,kids/NNS,vacation/NN
10,enjoy/VB,seems/VBZ
11,fun/NN,mites/NNS
12,different/JJ,dont/VBP
13,penguins/NNS,gone/VBN
14,family/NN,particular/JJ
15,best/JJS,watched/VBD
16,lots/NNS,didnt/VBP
17,also/RB,much/JJ
18,good/JJ,night/NN
19,things/NNS,scale/NN
20,enjoyed/VBD,maybe/RB
21,little/JJ,lion/NN
22,amazing/VBG,house/NN
23,price/NN,fish/NN
24,aquarium/NN,show/NN
25,lotte/JJ,front/NN
26,water/NN,less/JJR
27,fishes/NNS,interesting/JJ
28,facilities/NNS,people/NNS
29,spend/VB,fish/JJ
30,whale/NN,claustrophobia/NN
31,since/IN,parents/NNS
32,like/IN,korea/NN
33,child/NN,tallest/JJS
34,long/JJ,due/JJ
35,liked/VBD,mall/NN
36,bigger/JJR,big/JJ
37,far/RB,aquariums/NNS
38,baby/NN,difficult/JJ
39,come/VB,looks/VBZ
40,clean/JJ,weekend/NN
41,pictures/NNS,compared/VBN
42,huge/JJ,space/NN
43,haha/NN,okay/NN
44,seals/NNS,honestly/RB
45,much/RB,building/NN
46,friends/NNS,number/NN
47,crowded/VBN,expectations/NNS
48,happy/JJ,many/JJ
49,everything/NN,small/JJ
