,긍정,부정
0,place/NN,shinjuku/NN
1,food/NN,manhattan/NN
2,street/NN,cool/NN
3,great/JJ,anymore/NN
4,seoul/NN,bit/NN
5,night/NN,first/JJ
6,also/RB,crowded/JJ
7,korean/JJ,chinese/JJ
8,things/NNS,sad/JJ
9,nice/JJ,going/VBG
10,best/JJS,lonely/RB
11,good/JJ,seems/VBZ
12,shopping/NN,old/JJ
13,cosmetics/NNS,less/RBR
14,area/NN,didnt/VBP
15,try/VB,past/JJ
16,lots/NNS,felt/VBD
17,must/MD,disappointed/VBN
18,one/CD,closed/VBD
19,buy/VB,sad/NN
20,shops/NNS,streets/NNS
21,foods/NNS,im/JJ
22,stalls/NNS,away/RB
23,products/NNS,used/VBN
24,well/RB,floor/NN
25,shopping/VBG,difficult/JJ
26,everything/NN,disappeared/VBN
27,visit/VB,particularly/RB
28,plenty/NN,disappointed/JJ
29,definitely/RB,like/IN
30,day/NN,places/NNS
31,restaurants/NNS,lot/NN
32,want/VBP,emptu/NN
33,evening/NN,go/VBP
34,experience/NN,completely/RB
35,eat/VB,used/VBD
36,variety/NN,year/NN
37,family/NN,fewer/JJR
38,goods/NNS,quiet/JJ
39,available/JJ,virus/NN
40,really/RB,rental/JJ
41,care/NN,past/NN
42,hotel/NN,dead/JJ
43,shop/VB,nothing/NN
44,kinds/NNS,bad/JJ
45,brand/NN,due/JJ
46,especially/RB,people/NNS
47,souvenirs/NNS,empty/JJ
48,love/VB,corona/NN
49,recommend/VBP,closed/VBN
