,긍정,부정
0,wonderful/JJ,guess/NN
1,amazing/JJ,fine/JJ
2,amazing/VBG,fingerprints/NNS
3,excellent/JJ,queuing/VBG
4,beautiful/JJ,interest/NN
5,great/JJ,dont/JJ
6,loved/VBD,imagine/VB
7,seoul/NN,touristic/JJ
8,fantastic/JJ,filled/VBN
9,city/NN,boring/NN
10,level/NN,minutes/NNS
11,choose/VB,ride/VB
12,must/MD,typical/JJ
13,afternoon/NN,expectation/NN
14,magnificent/JJ,solo/VBZ
15,spectacular/JJ,smog/JJ
16,tree/NN,pricy/NN
17,stunning/VBG,driving/VBG
18,enjoyed/VBD,standing/VBG
19,stops/NNS,overcast/JJ
20,coffee/NN,unfortunately/RB
21,reasonably/RB,wasnt/VBP
22,love/VBP,ok/JJ
23,enjoyed/VBN,lock/VB
24,uphill/NN,slope/NN
25,put/VB,limited/JJ
26,fun/NN,enough/RB
27,happy/JJ,reduces/VBZ
28,late/RB,give/VBP
29,either/DT,landmark/NN
30,life/NN,group/NN
31,drink/NN,expected/VBD
32,thousands/NNS,alone/NN
33,depending/VBG,dissepoinding/VBG
34,worth/NN,else/RB
35,stunning/JJ,much/RB
36,buffet/NN,crowded/VBN
37,anywhere/RB,crazy/JJ
38,choice/NN,better/JJR
39,shop/NN,overview/VB
40,seoul/VB,closed/VBN
41,either/RB,smog/NN
42,times/NNS,unimpressive/JJ
43,less/RBR,tourists/NNS
44,buy/VB,average/JJ
45,like/VB,overview/NN
46,360/CD,much/JJ
47,korea/NN,crowded/JJ
48,yellow/JJ,disappointed/JJ
49,love/IN,nothing/NN
