,긍정,부정
0,great/JJ,us/PRP
1,everything/NN,country/NN
2,best/JJS,might/MD
3,lot/NN,8pm/CD
4,place/NN,road/NN
5,delicious/JJ,kind/NN
6,nice/JJ,fish/NN
7,seoul/NN,quality/NN
8,must/MD,really/RB
9,namdaemun/JJ,anywhere/RB
10,things/NNS,goods/NNS
11,fun/NN,okay/JJ
12,accessories/NNS,area/NN
13,people/NNS,large/JJ
14,cutlassfish/JJ,say/VB
15,good/JJ,write/VB
16,also/RB,long/JJ
17,especially/RB,one/CD
18,eat/NN,closed/VBN
19,alley/NN,bad/JJ
20,ive/JJ,price/NN
21,restaurants/NNS,clothing/NN
22,old/JJ,mostly/RB
23,eat/VB,probably/RB
24,kalguksu/NN,sold/VBN
25,often/RB,properly/RB
26,flowers/NNS,left/VBD
27,affordable/JJ,night/NN
28,souvenirs/NNS,bit/NN
29,street/NN,household/NN
30,visit/NN,overrated/VBN
31,hours/NNS,mainly/RB
32,deals/NNS,less/JJR
33,prices/NNS,characteristic/JJ
34,back/RB,stores/NNS
35,buy/VB,without/IN
36,whole/JJ,still/RB
37,go/VB,afternoon/NN
38,available/JJ,shop/VB
39,enjoyed/VBD,big/JJ
40,wholesale/JJ,came/VBD
41,feel/VB,would/MD
42,want/VBP,junk/NN
43,getting/VBG,shoes/NNS
44,always/RB,similar/JJ
45,worth/JJ,stalls/NNS
46,morning/NN,made/VBN
47,various/JJ,markets/NNS
48,went/VBD,think/VBP
49,fun/JJ,nothing/NN
