,긍정,부정
0,everything/NN,used/VBN
1,also/RB,go/VB
2,clean/JJ,opinion/NN
3,center/NN,note/NN
4,okay/NN,purposes/NNS
5,many/JJ,donga/NN
6,walking/VBG,2nd/JJ
7,located/VBN,nothing/NN
8,beautiful/JJ,recommended/VBN
9,movie/NN,browse/VB
10,strong/JJ,special/JJ
11,liked/VBD,tastes/NNS
12,size/NN,overrated/VBN
13,huge/JJ,outdated/VBN
14,cool/JJ,renovation/NN
15,must/MD,mall/JJ
16,shinsegae/NN,positioning/NN
17,convention/NN,ambiguous/JJ
18,improved/VBN,undergrounddont/JJ
19,signage/NN,evaluation/NN
20,food/NN,office/NN
21,theres/NNS,visited/VBN
22,connected/VBN,one/NN
23,coex/NN,overpriced/VBN
24,enjoy/VB,really/RB
25,famous/JJ,came/VBD
26,hours/NNS,spot/NN
27,watch/VB,compared/VBN
28,underground/NN,renovations/NNS
29,everyone/NN,visit/IN
30,cool/NN,anymore/RB
31,otherwise/NN,pricey/JJ
32,honestly/RB,theres/VBZ
33,waiting/VBG,please/NN
34,entertainment/NN,found/VBD
35,placed/VBN,know/VBP
36,feels/VBZ,maze/NN
37,great/JJ,anything/NN
38,conference/NN,evening/NN
39,first/JJ,shop/NN
40,helpful/JJ,areas/NNS
41,roof/NN,going/VBG
42,spend/VB,found/VBN
43,started/VBD,indoormall/NN
44,operating/NN,hotels/NNS
45,wont/VBP,closed/VBN
46,cosmetics/NNS,much/JJ
47,different/JJ,difficult/JJ
48,quiet/JJ,dont/VBP
49,facilities/NNS,mall/NN
