,긍정,리뷰 수,부정,리뷰 수
0,see/VB,37,actually/RB,4
1,best/JJS,10,tourist/NN,6
2,buy/VB,8,far/RB,10
3,wax/NN,23,wax/JJ,23
4,bus/NN,9,planet/NN,1
5,river/NN,20,galleria/NN,2
6,glass/NN,8,people/NNS,10
7,south/JJ,1,nothing/NN,1
8,want/VBP,13,difficult/JJ,1
9,may/MD,6,restaurant/NN,13
10,fun/NN,6,imax/NN,0
11,floor/NN,33,sea/NN,9
12,cool/JJ,2,observatory/NN,9
13,restautant/NN,1,activity/NN,2
14,enjoy/VB,12,buses/NNS,2
15,big/JJ,5,everything/NN,1
16,always/RB,3,long/JJ,12
17,different/JJ,6,fashioned/VBN,1
18,excellent/NN,2,downtown/IN,2
19,kids/NNS,5,distant/NN,1
20,hot/JJ,6,impressed/JJ,5
21,number/NN,4,wasnt/VBP,6
22,tour/NN,9,special/JJ,12
23,interesting/JJ,7,wife/NN,2
24,watch/VB,6,asia/NN,0
25,otherwise/RB,2,gallery/NN,13
26,elevator/NN,9,go/VB,52
27,taking/VBG,4,youre/NN,5
28,office/NN,2,since/IN,8
29,eating/JJ,2,window/NN,5
30,lift/NN,3,closed/VBN,3
31,liked/VBD,2,rainy/JJ,3
32,wont/VBP,1,impressive/JJ,2
33,lunch/NN,4,worth/JJ,21
34,getting/VBG,5,though/IN,11
35,get/VB,27,friends/NNS,5
36,finally/RB,1,tourists/NNS,2
37,via/IN,4,waiting/VBG,3
38,september/NN,0,little/JJ,11
39,,,day/NN,26
40,,,visiting/VBG,5
41,,,crowded/VBN,6
42,,,n/NN,124
43,,,area/NN,8
44,,,would/MD,14
45,,,time/NN,21
