,긍정,리뷰 수,부정,리뷰 수
0,walk/VB,10,design/NN,1
1,ok/NN,2,decided/VBD,1
2,crowded/VBN,1,cube/NN,0
3,track/NN,5,corporate/JJ,1
4,people/NNS,5,contains/VBZ,1
5,also/RB,3,contain/VBP,1
6,subway/NN,2,consists/VBZ,1
7,real/JJ,1,common/JJ,1
8,music/NN,2,comfronted/VBN,1
9,time/NN,4,combos/NNS,1
10,show/NN,2,collection/NN,1
11,fountain/NN,3,chocolate/NN,1
12,one/CD,7,cheaper/JJR,1
13,many/JJ,3,camo/JJ,1
14,today/NN,1,called/VBN,1
15,walking/VBG,6,business/NN,1
16,run/VB,1,bomber/NN,1
17,crowded/VBD,1,beyond/IN,1
18,parks/NNS,3,belches/NNS,1
19,long/JJ,2,behind/IN,1
20,construction/NN,1,beat/NN,1
21,available/JJ,1,batteries/NNS,1
22,exercise/NN,3,base/NN,1
23,walking/NN,6,back/RB,1
24,airforce/NN,1,avenue/RP,1
25,really/RB,1,appears/VBZ,1
26,oh/UH,0,alarmingly/RB,0
27,god/NN,1,ages/NNS,1
28,lovely/RB,0,affected/VBN,1
29,family/NN,2,adversely/RB,1
30,walk/NN,10,across/IN,1
31,b/NN,14,accessed/VBN,1
32,boramae/NN,0,70s/CD,1
33,period/NN,1,31/CD,1
34,pandemic/JJ,1,30/CD,1
35,meet/VB,2,24/CD,1
36,weather/NN,1,14/CD,1
37,fell/VBD,1,100/CD,1
38,drowsy/JJ,1,lake/NN,3
39,asleep/RB,1,fun/NN,2
40,large/JJ,4,water/NN,1
41,,,monuments/NNS,1
42,,,local/JJ,0
43,,,fountain/VBP,3
44,,,fishes/NNS,2
45,,,feed/VB,2
46,,,extra/JJ,1
47,,,ducks/NNS,1
48,,,adds/VBZ,1
