,긍정,리뷰 수,부정,리뷰 수
0,night/NN,6,walking/VBG,1
1,drive/NN,5,uncomfortable/JJ,1
2,car/NN,7,told/VBD,1
3,construction/NN,2,take/VB,2
4,superb/NN,0,service/NN,1
5,also/RB,4,poured/VBD,1
6,course/NN,2,pickup/NN,1
7,millions/NNS,0,paper/NN,1
8,fresh/JJ,1,orders/NNS,1
9,air/NN,1,order/NN,1
10,mountain/NN,3,one/NN,3
11,walk/NN,4,needed/VBN,1
12,curious/JJ,1,inside/VB,1
13,could/MD,3,inside/IN,1
14,mediocre/NNS,1,group/NN,1
15,facilities/NNS,1,forces/NNS,1
16,area/NN,3,felt/VBD,1
17,watch/VB,2,extra/JJ,1
18,drive/VB,5,everyone/NN,1
19,glance/NN,2,drink/NN,2
20,best/JJS,2,dirty/NN,1
21,need/VBP,1,desk/NN,1
22,since/IN,1,customers/NNS,1
23,time/NN,2,crew/NN,1
24,first/RB,3,bring/VB,1
25,people/NNS,2,asked/VBD,1
26,pavilion/NN,2,parking/VBG,7
27,first/JJ,3,many/JJ,3
28,visited/VBD,2,unfortunately/RB,2
29,weather/NN,2,get/VB,3
30,uphill/JJ,1,without/IN,1
31,riding/VBG,1,direction/NN,3
32,available/JJ,3,wait/VB,1
33,whole/JJ,2,gave/VBD,1
34,hiking/VBG,3,directed/VBN,1
35,north/JJ,2,couldnt/VBP,1
36,better/JJR,2,cars/NNS,1
37,near/IN,2,anything/NN,1
38,day/NN,2,another/DT,1
39,,,togo/JJ,0
40,,,kitchen/NN,1
41,,,coffee/NN,1
42,,,parking/NN,7
43,,,restaurants/NNS,2
44,,,lacking/VBG,1
45,,,bit/NN,2
46,,,hour/NN,2
47,,,cup/NN,1
