,긍정,리뷰 수,부정,리뷰 수
0,must/MD,288,couldnt/VBP,21
1,learn/VB,109,ones/NNS,48
2,take/VB,394,decent/JJ,10
3,royal/NN,150,bit/NN,161
4,explore/VB,99,wood/NN,35
5,make/VB,242,wasnt/NN,50
6,worth/NN,441,expectations/NNS,7
7,traditional/JJ,178,empty/JJ,38
8,beauty/NN,93,understand/VB,104
9,hours/NNS,216,boring/JJ,15
10,culture/NN,119,done/VBN,62
11,whole/JJ,65,overall/PDT,17
12,takes/VBZ,61,much/RB,285
13,imagine/VB,51,elderlies/NNS,2
14,quiet/JJ,76,secret/VB,666
15,idea/NN,44,colours/NNS,30
16,surrounding/VBG,73,conducted/JJ,10
17,away/RB,45,europe/NN,2
18,5/CD,361,w5000/NN,0
19,crowded/JJ,110,asians/NNS,1
20,always/RB,40,changing/VBG,122
21,need/VBP,203,hill/VB,113
22,best/JJS,152,little/RB,137
23,especially/RB,125,jungkook/NN,0
24,highly/RB,60,guess/VBP,21
25,gorgeous/JJ,35,rooms/NNS,59
26,plenty/NN,40,asia/NN,4
27,preserved/VBN,111,missed/VBD,67
28,foliage/NN,28,dont/JJ,149
29,tour/NN,1293,apart/RB,17
30,accessible/JJ,50,dull/JJ,5
31,water/NN,49,disappointed/JJ,35
32,online/NN,93,hour/NN,358
33,gives/VBZ,44,pay/VB,107
34,miss/VBP,277,average/JJ,15
35,favorite/JJ,47,palance/NN,1
36,visiting/VBG,171,mainly/RB,15
37,join/VB,131,wife/NN,17
38,magnificent/JJ,35,need/NN,203
39,,,japan/NN,11
40,,,looks/VBZ,52
41,,,didnt/VBP,134
42,,,maybe/RB,28
43,,,probably/RB,49
44,,,much/JJ,285
45,,,rich/VB,34
46,,,looked/VBD,36
47,,,ok/JJ,1092
48,,,nothing/NN,49
