,긍정,리뷰 수,부정,리뷰 수
0,loved/VBD,27,save/VB,7
1,exhibits/NNS,42,geared/VBN,6
2,fun/NN,55,towards/NNS,7
3,inside/IN,54,okay/JJ,6
4,hours/NNS,61,looks/NNS,5
5,family/NN,27,pigs/NNS,4
6,especially/RB,39,impressive/JJ,11
7,also/RB,75,dont/VB,22
8,variety/NN,39,extra/JJ,5
9,enjoyed/VBD,50,waste/VB,5
10,must/MD,23,get/VB,73
11,touch/VB,43,amount/NN,2
12,spend/VB,38,fishes/NNS,58
13,shark/NN,74,life/NN,41
14,see/VB,144,whole/JJ,20
15,varieties/NNS,14,disappointed/JJ,13
16,size/NN,18,saw/VBD,19
17,english/JJ,7,close/RB,21
18,take/VB,47,space/NN,12
19,took/VBD,18,fee/NN,65
20,different/JJ,54,adults/NNS,26
21,aquatic/JJ,11,sized/JJ,5
22,recommend/VBP,36,scale/NN,3
23,interesting/VBG,48,priced/VBN,14
24,nicely/RB,7,yes/VB,7
25,us/PRP,178,front/NN,8
26,enjoyable/JJ,7,go/VB,163
27,thought/VBD,27,crammed/VBN,4
28,surprisingly/RB,4,school/NN,12
29,recommended/VBD,8,kill/VB,6
30,looking/VBG,17,depressed/VBD,1
31,cute/JJ,17,mind/NN,4
32,wide/JJ,12,excesive/JJ,1
33,unique/JJ,20,could/MD,31
34,penguins/NNS,34,blowing/VBG,1
35,ages/NNS,12,overpriced/VBD,9
36,indeed/RB,3,might/MD,11
37,worth/NN,47,exhibits/VBZ,42
38,lovely/RB,9,however/RB,9
39,liked/VBD,12,get/VBP,73
40,,,aquariums/NNS,72
41,,,running/VBG,6
42,,,children/NNS,67
43,,,poor/JJ,8
44,,,better/JJR,43
45,,,display/NN,55
46,,,way/NN,61
47,,,nothing/NN,14
48,,,small/JJ,76
