,긍정,리뷰 수,부정,리뷰 수
0,ceremony/NN,123,spent/VBN,11
1,free/JJ,83,included/VBN,4
2,even/RB,55,otherwise/IN,3
3,much/RB,51,visited/VBN,48
4,modern/JJ,71,relative/JJ,12
5,building/NN,157,construction/NN,14
6,art/NN,127,since/IN,11
7,culture/NN,18,originally/RB,3
8,think/VBP,22,area/NN,38
9,big/JJ,43,going/VBG,30
10,always/RB,14,ago/RB,10
11,located/VBN,29,dynamic/JJ,2
12,stone/NN,25,scale/NN,6
13,price/NN,15,nearby/RB,13
14,made/VBD,15,lunch/NN,8
15,make/VB,39,stepped/VBN,1
16,another/DT,17,one/CD,168
17,closed/VBD,21,spelled/VBD,1
18,gojong/NN,0,geongbukkung/NN,0
19,close/JJ,50,gyeongbokdung/NN,0
20,flowers/NNS,11,japanese/JJ,0
21,night/NN,39,made/VBN,15
22,near/IN,49,suggest/VB,5
23,emperor/NN,9,although/IN,14
24,exhibition/NN,28,sunday/NN,0
25,autumn/NN,23,angles/NNS,1
26,heart/NN,19,compare/VBP,24
27,sites/NNS,6,westernstyled/VBD,0
28,easy/JJ,26,photos/NNS,32
29,hours/NNS,21,installation/NN,3
30,grounds/VBZ,71,fifty/CD,0
31,get/VB,91,cafe/VBP,10
32,recommend/VBP,42,1000/CD,76
33,inside/RB,63,standing/VBG,8
34,compact/JJ,6,stand/NN,28
35,beautifully/RB,13,anything/NN,5
36,listen/VB,9,usually/RB,3
37,russian/JJ,1,smaller/JJR,36
38,complex/NN,24,im/NN,215
39,recommended/VBN,14,pm/NN,34
40,tour/NN,94,unless/IN,2
41,grounds/NNS,71,didnt/NNS,16
42,colorful/JJ,19,bother/VB,2
43,season/NN,10,exciting/VBG,5
44,ancient/JJ,14,rest/NN,121
45,,,information/NN,11
46,,,outside/IN,36
47,,,nothing/NN,8
