,긍정,리뷰 수,부정,리뷰 수
0,night/NN,92,staff/NN,3
1,also/RB,62,expecting/VBG,3
2,burton/NN,2,eat/VB,124
3,zaha/NN,8,chill/NN,7
4,subway/NN,20,inside/NN,101
5,many/JJ,72,stores/NNS,18
6,always/RB,12,unfriendly/JJ,1
7,really/RB,42,surrounding/VBG,19
8,enjoy/VB,53,outside/JJ,45
9,art/NN,102,hope/VBP,4
10,interesting/JJ,57,vacant/JJ,1
11,hadid/NN,6,waste/NN,4
12,different/JJ,18,inside/IN,101
13,worth/IN,44,r/NN,605
14,ive/JJ,93,n/NN,612
15,tim/JJ,92,landscapes/NNS,1
16,evening/NN,19,fav/NN,7
17,famous/JJ,22,roam/VB,1
18,dongdaemun/NN,4,whole/JJ,13
19,plaza/NN,34,except/IN,8
20,due/JJ,10,people/NNS,44
21,exhibition/NN,154,viewing/VBG,7
22,light/NN,53,something/NN,17
23,visited/VBN,28,euljiro/NN,0
24,tim/NN,92,weekday/NN,4
25,week/NN,16,disappointment/NN,2
26,day/NN,59,movie/NN,6
27,ud/JJ,26,crowded/JJ,5
28,walking/VBG,21,inside/RB,101
29,must/MD,26,information/NN,6
30,environment/NN,3,reknown/JJ,1
31,enjoyed/VBD,18,closed/VBN,13
32,library/JJ,2,much/JJ,37
33,exhibitions/NNS,60,costeffective/JJ,1
34,watching/VBG,8,go/VB,168
35,busy/JJ,8,appreciate/VB,18
36,picture/NN,27,big/JJ,21
37,photo/NN,44,need/VBP,12
38,,,little/JJ,16
39,,,money/NN,3
40,,,museum/NN,46
41,,,find/VB,29
42,,,special/JJ,31
43,,,get/VB,46
44,,,dot/NN,3
45,,,guide/NN,6
46,,,nothing/NN,19
47,,,disappointing/JJ,6
48,,,empty/JJ,10
