,긍정,리뷰 수,부정,리뷰 수
0,airport/NN,11,fair/JJ,1
1,clean/JJ,4,confidence/NN,1
2,convenient/NN,1,concerned/VBN,1
3,satisfied/JJ,0,china/NN,0
4,kind/NN,2,check/VBP,2
5,busy/JJ,1,check/NN,2
6,get/VB,1,bite/VB,2
7,staffs/NNS,2,along/IN,1
8,convenience/NN,1,admit/VBP,1
9,clean/NN,4,staff/NN,6
10,spacious/JJ,0,even/RB,2
11,tidy/JJ,1,took/VBD,2
12,crowded/VBN,2,wouldnt/VBP,1
13,taxi/NN,2,werent/VBD,1
14,weekend/NN,1,though/IN,1
15,usual/JJ,1,quit/VBN,1
16,helpful/JJ,2,priority/NN,0
17,politics/NNS,1,platinum/NN,0
18,maintained/VBD,1,pass/VBP,0
19,area/NN,0,partnership/NN,1
20,subway/NN,1,much/JJ,1
21,connect/VB,2,missing/VBG,1
22,bus/NN,2,looks/NNS,1
23,washlet/NN,1,lines/NNS,0
24,eat/VB,4,kal/JJ,0
25,flights/NNS,1,flying/VBG,1
26,runs/VBZ,1,amex/VBN,0
27,fast/RB,1,information/NN,1
28,everything/NN,1,board/NN,2
29,go/VBP,3,easy/JJ,3
30,exit/NN,2,us/PRP,9
31,bags/NNS,1,let/VB,4
32,wellknown/JJ,1,wellaligned/VBN,0
33,second/JJ,1,visitors/NNS,1
34,opens/NNS,1,smoking/VBG,1
35,morning/NN,1,service/NN,0
36,430/CD,1,gates/NNS,1
37,lovely/RB,1,english/JJ,0
38,long/JJ,3,available/JJ,1
39,fly/VB,2,air/NN,11
40,delight/JJ,1,parking/VBG,1
41,courteous/JJ,0,oneexcept/IN,0
42,super/JJ,0,fee/NN,1
43,love/VBP,2,central/JJ,1
44,,,access/NN,1
45,,,cool/NN,0
