,긍정,리뷰 수,부정,리뷰 수
0,museum/NN,19,pass/NN,9
1,sejong/NN,0,note/NN,1
2,see/VB,34,heavy/JJ,1
3,big/JJ,12,side/NN,12
4,things/NNS,9,something/NN,3
5,day/NN,16,centrally/RB,2
6,historical/JJ,11,embassy/VBP,3
7,free/JJ,11,shin/NN,8
8,gwanghwamun/JJ,1,concrete/JJ,3
9,clean/JJ,4,thats/VBP,1
10,many/JJ,17,couple/NN,2
11,pretty/RB,2,interesting/VBG,9
12,definitely/RB,5,right/JJ,5
13,loved/VBD,4,importan/JJ,4
14,water/NN,6,changed/VBD,1
15,fountain/NN,11,centuries/NNS,1
16,learn/VB,6,ago/IN,3
17,landmark/NN,3,main/JJ,6
18,statue/NN,49,maybe/RB,3
19,plaza/NN,3,one/CD,16
20,super/NN,1,anything/NN,2
21,downtown/JJ,1,find/VB,7
22,sejong/RB,0,roads/NNS,1
23,modern/JJ,4,project/NN,1
24,end/NN,24,finished/VBN,1
25,wide/JJ,5,annoyed/JJ,1
26,held/VBN,4,nothing/NN,1
27,sejong/JJ,0,currently/RB,3
28,recommend/VBP,6,location/NN,4
29,best/JJS,3,colors/NNS,2
30,sunsin/NN,0,picture/NN,7
31,cool/JJ,2,two/CD,12
32,excellent/JJ,1,crowds/NN,2
33,hangeul/NN,2,much/JJ,4
34,thank/NN,0,statues/NNS,31
35,heart/NN,3,large/JJ,10
36,south/RB,1,admiral/NN,3
37,part/NN,6,site/NN,15
38,,,season/NN,1
39,,,autumn/NN,1
40,,,however/RB,0
41,,,markets/NNS,2
42,,,festival/NN,4
43,,,surrounded/VBN,3
44,,,often/RB,5
45,,,famous/JJ,4
46,,,buildings/NNS,9
47,,,palace/NN,33
