,긍정,리뷰 수,부정,리뷰 수
0,delicious/JJ,103,didnt/VBP,46
1,also/RB,168,covered/JJ,15
2,many/JJ,192,long/JJ,73
3,live/JJ,82,chicken/NN,26
4,everything/NN,60,kinds/NNS,24
5,octopus/NN,82,look/VB,98
6,price/NN,137,much/JJ,99
7,try/VB,219,tradition/NN,205
8,one/CD,254,dirty/JJ,13
9,fresh/JJ,79,taste/NN,79
10,hanbok/NN,56,personally/RB,5
11,mung/NN,118,wasnt/NN,12
12,fun/NN,43,elsewhere/RB,3
13,must/MD,87,told/VBD,15
14,find/VB,127,else/RB,20
15,raw/JJ,68,way/NN,146
16,bean/NN,154,left/VBD,9
17,enjoy/VB,103,check/VB,15
18,affordable/JJ,25,hygiene/NN,5
19,definitely/RB,39,far/RB,31
20,full/JJ,47,dried/JJ,18
21,soup/NN,54,would/MD,91
22,different/JJ,95,shop/NN,182
23,able/JJ,181,crowded/VBN,80
24,loved/VBD,33,maybe/RB,6
25,tour/NN,126,comfortable/JJ,9
26,taste/VB,79,sadly/RB,3
27,eat/VB,424,souvenir/VBP,111
28,enjoyed/VBD,41,eat/JJ,424
29,small/JJ,65,average/JJ,9
30,meal/NN,44,line/NN,41
31,saw/VBD,21,restaurant/NN,58
32,get/VB,191,friend/NN,85
33,english/JJ,17,tourists/NNS,70
34,gimbap/NN,35,frequent/VBP,5
35,portion/NN,23,see/VBP,173
36,friendly/JJ,48,sell/VBP,247
37,busy/JJ,55,overall/JJ,3
38,fruits/NNS,22,extremely/RB,8
39,walk/NN,93,wouldnt/VBP,10
40,twice/RB,16,overrated/JJ,4
41,big/JJ,59,stores/NNS,64
42,center/NN,19,however/RB,20
43,products/NNS,25,visited/VBN,39
44,,,family/NN,21
45,,,markets/NNS,83
46,,,nothing/NN,23
47,,,quite/RB,59
48,,,clean/JJ,35
49,,,dirty/NN,13
