,긍정,리뷰 수,부정,리뷰 수
0,fruits/NNS,13,harrass/NN,1
1,best/JJS,6,getaway/NN,1
2,many/JJ,9,didnt/NN,3
3,thing/NN,6,decided/VBD,1
4,around/IN,5,badger/VB,1
5,mushrooms/NNS,2,part/NN,2
6,fresh/JJ,9,turn/NN,2
7,food/NN,6,stroll/NN,3
8,vegetables/NNS,11,ended/VBD,3
9,gooooood/NN,0,worth/NN,3
10,busy/JJ,1,tripadvisor/NN,1
11,station/NN,3,thank/NN,0
12,range/NN,2,need/VB,3
13,nature/NN,1,metro/JJ,2
14,full/JJ,0,managed/VBD,2
15,cultivated/VBN,1,know/VBP,4
16,people/NNS,7,inner/JJ,2
17,also/RB,7,guide/NN,1
18,stores/NNS,4,first/JJ,2
19,local/JJ,9,didnt/VBP,3
20,little/JJ,0,deeper/RBR,2
21,meat/NN,4,bargain/VB,4
22,available/JJ,2,made/VBD,2
23,quality/NN,2,came/VBD,5
24,kinds/NNS,4,day/NN,4
25,ones/NNS,5,come/VB,4
26,could/MD,5,certainly/RB,2
27,fish/JJ,4,go/VB,10
28,l/JJ,38,wrong/JJ,1
29,almost/RB,1,want/VB,4
30,kind/NN,5,vomit/VB,1
31,things/NNS,2,unfortunately/RB,0
32,soup/NN,2,ruined/JJ,1
33,super/JJ,3,look/VBP,6
34,ginseng/NN,14,live/JJ,2
35,various/JJ,2,dogs/NNS,0
36,big/JJ,3,cages/NNS,1
37,cheap/JJ,9,owner/NN,2
38,experience/VB,4,us/PRP,15
39,see/VB,4,traditional/JJ,5
40,stroll/VB,3,get/VBP,16
41,separate/JJ,1,took/VBD,2
42,recommended/VBN,1,prices/NNS,6
43,outside/IN,1,reasonable/JJ,4
44,everything/NN,2,biggist/JJ,1
45,parking/VBG,0,,
46,needs/VBZ,1,,
47,improvement/NN,1,,
