,긍정,리뷰 수,부정,리뷰 수
0,food/NN,89,phone/NN,1
1,one/CD,49,overcrowded/VBN,2
2,best/JJS,21,highly/RB,2
3,large/JJ,19,almost/RB,5
4,many/JJ,39,didnt/VBP,17
5,level/NN,20,lost/VBN,4
6,selection/NN,15,day/NN,25
7,huge/JJ,24,asked/VBD,3
8,free/JJ,53,assistant/NN,5
9,court/NN,50,around/IN,19
10,tax/NN,18,size/NN,4
11,basement/NN,42,clothes/VB,12
12,brands/NNS,45,inside/IN,7
13,need/VBP,21,way/NN,31
14,bags/NNS,12,times/NNS,8
15,also/RB,34,last/JJ,6
16,must/MD,8,unhelpful/JJ,2
17,clothes/NNS,12,wont/VBP,5
18,always/RB,7,choices/NNS,11
19,happy/JJ,5,top/JJ,21
20,hours/NNS,11,foot/NN,3
21,duty/JJ,39,country/NN,2
22,hotel/NN,14,bucheon/NN,0
23,japanese/JJ,0,buy/VB,43
24,mainly/RB,6,visited/VBD,4
25,floors/NNS,33,feels/VBZ,2
26,supermarket/NN,24,accessible/JJ,5
27,duty/VB,39,marginal/JJ,2
28,hall/NN,12,close/JJ,7
29,get/VB,42,surprised/VBN,5
30,us/PRP,96,made/VBN,5
31,passport/NN,14,elsewhere/RB,3
32,stayed/VBD,6,already/RB,6
33,options/NNS,8,without/IN,9
34,selling/VBG,6,overpriced/VBN,4
35,bit/NN,9,arrogant/JJ,1
36,full/JJ,10,priced/VBN,8
37,go/VBP,91,would/MD,19
38,,,another/DT,4
39,,,crowded/VBN,27
40,,,yes/NNS,3
41,,,price/NN,48
42,,,busy/JJ,7
43,,,posh/NN,1
44,,,looking/VBG,22
45,,,standard/JJ,7
