,긍정,리뷰 수,부정,리뷰 수
0,time/NN,52,pavilion/NN,0
1,see/VB,100,lame/JJ,1
2,cute/JJ,14,money/NN,7
3,experience/NN,20,rest/VB,17
4,kids/NNS,42,drink/VB,3
5,enjoy/VB,28,free/JJ,4
6,fun/NN,28,expected/VBN,10
7,different/JJ,15,even/RB,15
8,penguins/NNS,15,haha/VBP,7
9,family/NN,21,vacation/NN,3
10,best/JJS,13,seems/VBZ,8
11,also/RB,22,mites/NNS,1
12,things/NNS,14,dont/VBP,10
13,enjoyed/VBD,12,gone/VBN,1
14,little/JJ,15,particular/JJ,4
15,price/NN,15,watched/VBD,1
16,water/NN,15,didnt/VBP,13
17,fishes/NNS,12,much/JJ,20
18,facilities/NNS,6,night/NN,2
19,spend/VB,16,scale/NN,2
20,whale/NN,26,maybe/RB,2
21,since/IN,8,lion/NN,9
22,child/NN,47,house/NN,4
23,long/JJ,13,fish/NN,76
24,liked/VBD,5,show/NN,14
25,bigger/JJR,9,front/NN,3
26,far/RB,7,less/JJR,4
27,baby/NN,5,interesting/JJ,9
28,come/VB,12,people/NNS,41
29,clean/JJ,12,fish/JJ,76
30,pictures/NNS,8,claustrophobia/NN,1
31,huge/JJ,11,parents/NNS,3
32,haha/NN,7,tallest/JJS,2
33,seals/NNS,11,due/JJ,3
34,much/RB,20,big/JJ,31
35,friends/NNS,9,aquariums/NNS,24
36,crowded/VBN,9,difficult/JJ,9
37,happy/JJ,6,looks/VBZ,8
38,everything/NN,7,weekend/NN,11
39,,,compared/VBN,9
40,,,space/NN,12
41,,,okay/NN,3
42,,,honestly/RB,2
43,,,building/NN,5
44,,,number/NN,6
45,,,expectations/NNS,2
46,,,many/JJ,48
47,,,small/JJ,29
