,긍정,리뷰 수,부정,리뷰 수
0,floor/NN,152,supermarket/NN,9
1,restaurants/NNS,49,4/CD,36
2,worth/IN,69,rolex/NN,0
3,go/VBP,213,novice/NN,1
4,shop/NN,136,cartier/NN,0
5,everything/NN,19,cant/VBP,7
6,since/IN,7,flooded/VBN,1
7,located/VBN,14,expected/VBD,6
8,excellent/JJ,9,thinking/VBG,2
9,definitely/RB,15,layout/NN,1
10,weather/NN,17,compromised/VBN,1
11,sunset/NN,20,wait/VB,39
12,highest/JJS,13,similar/JJ,11
13,coffee/NN,11,far/RB,15
14,floors/NNS,57,weekend/NN,7
15,tickets/NNS,18,would/MD,51
16,entrance/NN,19,wont/VBP,8
17,came/VBD,10,list/NN,8
18,near/IN,24,long/JJ,31
19,sky/NN,29,youngmos/JJ,0
20,top/JJ,96,kim/VB,0
21,thailand/NN,0,close/JJ,20
22,also/RB,64,paying/VBG,5
23,try/VB,29,20/CD,30
24,least/JJS,13,walked/VBN,2
25,ever/RB,85,restaurants/VBZ,49
26,access/NN,18,familyfriendly/RB,1
27,art/NN,67,almost/RB,12
28,opening/NN,4,dirty/JJ,3
29,day/NN,104,swimming/NN,1
30,take/VB,52,pool/NN,1
31,must/MD,36,attraction/NN,18
32,saw/VBD,12,recommended/JJ,8
33,experience/NN,78,thing/NN,99
34,bridge/NN,8,eat/NN,174
35,lounge/NN,6,tall/JJ,71
36,,,waiting/NN,16
37,,,matter/NN,2
38,,,school/NN,3
39,,,lets/NNS,4
40,,,parking/VBG,14
41,,,interesting/JJ,20
42,,,hours/NNS,18
43,,,long/RB,31
44,,,money/NN,10
45,,,much/JJ,32
46,,,interesting/VBG,20
47,,,average/JJ,5
48,,,nothing/NN,14
