,긍정,리뷰 수,부정,리뷰 수
0,definitely/RB,63,else/RB,29
1,hotel/NN,54,arrived/VBD,24
2,fun/NN,406,anything/NN,31
3,activities/NNS,71,disappointed/VBN,35
4,loved/VBD,48,mins/NNS,61
5,try/VB,135,almost/RB,50
6,day/NN,646,expectations/NNS,10
7,love/VB,132,waste/NN,32
8,fun/JJ,406,minutes/NNS,93
9,entertainment/NN,33,bring/VBG,37
10,subway/NN,67,pretty/JJ,80
11,roller/NN,106,bad/JJ,74
12,memorable/JJ,6,dont/VBP,149
13,recommend/VBP,127,mostly/RB,42
14,fun/VBN,406,found/VBD,48
15,interesting/JJ,60,air/NN,135
16,bring/VB,37,much/RB,203
17,pm/NN,104,maintained/VBN,16
18,ticket/NN,206,included/VBN,18
19,museum/NN,49,looking/VBG,24
20,balloon/NN,69,everland/VBP,21
21,friendly/JJ,49,entry/NN,40
22,average/NN,34,interesting/VBG,60
23,enjoyed/VBN,108,hours/NNS,173
24,outside/JJ,157,average/JJ,34
25,indoor/JJ,472,admission/NN,38
26,sure/JJ,93,probably/RB,31
27,take/VB,151,everland/VB,21
28,blast/NN,15,didnt/VBP,107
29,u/JJ,1600,queue/VB,259
30,coasters/NNS,39,everland/NN,21
31,many/JJ,246,parking/NN,10
32,especially/RB,70,week/NN,212
33,first/RB,96,thing/NN,314
34,next/JJ,61,pay/VB,100
35,skating/VBG,84,queues/NNS,120
36,surprisingly/RB,10,pass/NN,175
37,twice/RB,22,poor/JJ,15
38,reasonable/JJ,20,closed/VBN,83
39,enjoyed/VBD,108,money/NN,62
40,,,perhaps/RB,10
41,,,hour/NN,249
42,,,disappointed/JJ,35
43,,,would/MD,210
44,,,nothing/NN,32
