,긍정,리뷰 수,부정,리뷰 수
0,mass/NN,110,unless/IN,1
1,around/IN,53,watch/VB,6
2,sunday/JJ,9,asian/JJ,1
3,day/NN,115,missed/VBN,5
4,catholic/JJ,32,bit/NN,17
5,built/VBN,20,huge/JJ,9
6,heart/NN,28,picture/NN,24
7,peace/NN,61,april/NN,0
8,tour/NN,43,compare/NN,11
9,trip/NN,16,important/JJ,11
10,gothic/JJ,18,stroll/VB,6
11,easy/JJ,16,commerce/NN,1
12,outside/IN,35,climb/VBD,7
13,get/VB,39,key/JJ,1
14,worth/VB,42,contrasts/VBZ,1
15,away/RB,13,interesting/VBG,24
16,experience/NN,19,influence/NN,2
17,old/JJ,41,special/JJ,26
18,night/NN,29,opposite/RB,4
19,easily/RB,10,garden/NN,11
20,must/MD,29,interesting/JJ,24
21,structure/NN,25,worth/NN,42
22,peaceful/NN,47,anything/NN,3
23,recommend/VB,15,short/JJ,16
24,expect/VB,16,skip/VB,1
25,beautifully/RB,13,ok/JJ,77
26,worship/NN,17,however/RB,6
27,offers/VBZ,6,wont/VBP,4
28,shop/NN,140,wall/NN,6
29,historical/JJ,9,centenary/JJ,1
30,even/RB,42,believers/NNS,3
31,center/NN,15,streets/NNS,22
32,definitely/RB,9,religious/JJ,25
33,attend/VB,44,say/VB,16
34,traditional/JJ,7,break/NN,9
35,christianity/NN,0,please/NN,5
36,took/VBD,11,plenty/NN,2
37,myeong/NN,26,uphill/VB,2
38,holy/JJ,11,romaneuropean/JJ,1
39,english/JJ,6,youre/NN,21
40,accessible/JJ,9,pass/VB,14
41,looking/VBG,10,history/NN,29
42,landmark/NN,8,building/NN,68
43,,,much/JJ,25
44,,,nothing/NN,8
45,,,ive/JJ,60
46,,,average/JJ,2
47,,,see/VB,97
48,,,way/NN,48
