,긍정,리뷰 수,부정,리뷰 수
0,food/NN,3379,similar/JJ,74
1,facial/JJ,154,repetition/NN,7
2,affordable/JJ,87,another/DT,108
3,day/NN,855,areas/NNS,104
4,definitely/RB,242,repeated/VBN,31
5,kinds/NNS,112,walkathlon/NN,1
6,ones/NNS,141,however/RB,63
7,love/VB,674,meal/NN,69
8,restaurants/NNS,933,comfortably/RB,10
9,compare/NN,163,overpriced/VBN,38
10,try/VB,757,personally/RB,34
11,miss/VB,215,check/NN,155
12,clean/JJ,120,watching/VBG,74
13,socks/NNS,126,shinjuku/NN,1
14,best/JJS,427,assorted/VBN,4
15,accessible/JJ,41,loud/JJ,29
16,cash/NN,64,flavour/NN,22
17,fantastic/JJ,56,sells/VBZ,52
18,delicious/JJ,255,overrated/JJ,13
19,alike/RB,28,brandedfashion/NN,1
20,favorite/JJ,102,anymore/RB,22
21,ladies/NNS,133,follow/VB,29
22,language/NN,52,pricey/JJ,73
23,lining/VBG,18,riddled/VBD,1
24,must/MD,611,better/JJR,215
25,suggest/VBP,70,honestly/RB,8
26,active/JJ,42,unless/IN,39
27,second/JJ,57,block/NN,74
28,late/JJ,307,disappointed/JJ,26
29,dinner/NN,86,collection/NN,8
30,cosmetics/NNS,1024,repetitive/JJ,35
31,remember/VB,49,average/JJ,22
32,loved/VBN,147,elsewhere/RB,45
33,enter/VB,252,rather/RB,64
34,couple/NN,70,didnt/NN,149
35,branded/VBD,97,poor/JJ,10
36,atmosphere/RB,189,prize/NN,5
37,cheaper/JJR,222,prefer/VBP,54
38,hotel/NN,252,crowded/JJ,547
39,modern/JJ,44,countries/NNS,29
40,closed/JJ,61,bad/JJ,47
41,myeongdong/RB,184,reallllllly/RB,1
42,streetfood/NN,57,less/RBR,278
43,safe/JJ,109,mostly/RB,141
44,subway/NN,179,else/RB,126
45,variety/NN,296,touristy/JJ,68
46,,,rude/JJ,27
47,,,nothing/NN,83
